#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
25,Ni(CN)4-2,26,Ni(CN)4-2,0,,0,,0,,,,0.185,0.081,,,0,,0,
26,Ni(CN)5-3,27,Ni(CN)5-3,0,,0,,0,,,,0.25,0.14,,,0,,0,
23,Ni(CO3)2-2,24,Ni(CO3)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
9,Ni(HS)2(aq),10,Ni(HS)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
13,Ni(NH3)2+2,14,Ni(NH3)2+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
14,Ni(NH3)3+2,15,Ni(NH3)3+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
15,Ni(NH3)4+2,16,Ni(NH3)4+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
16,Ni(NH3)5+2,17,Ni(NH3)5+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
17,Ni(NH3)6+2,18,Ni(NH3)6+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
2,Ni(OH)2(aq),3,Ni(OH)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
3,Ni(OH)3-,4,Ni(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
28,Ni(SCN)2(aq),29,Ni(SCN)2(aq),0,,0,,0,,0,,0,,0,,0,,0.38,0.08
29,Ni(SCN)3-,30,Ni(SCN)3-,0,,0,,0,,,,0.66,0.13,,,0,,0,
,Ni+2,1,Ni+2,0.17,0.02,0.37,0.03,0.182,0.01,0,,0,,0,,0,,0,
4,Ni2OH+3,5,Ni2OH+3,0.25,0.1,0.59,0.15,,,0,,0,,0,,0,,0,
5,Ni4(OH)4+4,6,Ni4(OH)4+4,0.43,0.08,1.08,0.08,,,0,,0,,0,,0,,0,
7,NiCl+,8,NiCl+,0.47,0.06,0.47,0.06,,,0,,0,,0,,0,,0,
22,NiCO3(aq),23,NiCO3(aq),0,,0,,0,,0,,0,,0,,0,,0,
6,NiF+,7,NiF+,0.05,0.1,0.34,0.08,,,0,,0,,0,,0,,0,
21,NiHAsO4(aq),22,NiHAsO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
24,NiHCO3+,25,NiHCO3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
19,NiHP2O7-,20,NiHP2O7-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
18,NiHPO4(aq),19,NiHPO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
8,NiHS+,9,NiHS+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
12,NiNH3+2,13,NiNH3+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
11,NiNO3+,12,NiNO3+,0.05,0.1,0.37,0.14,,,0,,0,,0,,0,,0,
1,NiOH+,2,NiOH+,-0.01,0.07,0.14,0.07,,,0,,0,,0,,0,,0,
20,NiP2O7-2,21,NiP2O7-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
27,NiSCN+,28,NiSCN+,0.05,0.1,0.31,0.04,,,0,,0,,0,,0,,0,
10,NiSO4(aq),11,NiSO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
