#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,H2Po(aq),2,H2Po(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,HPo-,3,HPo-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,Po-2,4,Po-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
1,Po(aq),1,Po(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
15,Po(NO3)2+2,23,Po(NO3)2+2,0.7,0.3,0.7,0.3,,,0,,0,,0,,0,,0,
15,Po(NO3)3+,24,Po(NO3)3+,0.5,0.4,0.5,0.4,,,0,,0,,0,,0,,0,
8,Po(OH)2+2,14,Po(OH)2+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
7,Po(OH)3+,13,Po(OH)3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
6,Po(OH)4(aq),12,Po(OH)4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
5,Po(OH)6-2,11,Po(OH)6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
10,Po(OH)Cl4-,18,Po(OH)Cl4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
12,Po(SO4)2(aq),20,Po(SO4)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
13,Po(SO4)3-2,21,Po(SO4)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,Po+2,5,Po+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
,Po+4,16,Po+4,0.8,0.1,0.8,0.1,,,0,,0,,0,,0,,0,
4,PoCl+,9,PoCl+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
3,PoCl2(aq),8,PoCl2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
2,PoCl3-,7,PoCl3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,PoCl4-2,6,PoCl4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,PoCl6-2,17,PoCl6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
14,PoNO3+3,22,PoNO3+3,0.7,0.6,0.7,0.6,,,0,,0,,0,,0,,0,
9,PoOH+3,15,PoOH+3,0.6,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
,PoSO4(aq),10,PoSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
11,PoSO4+2,19,PoSO4+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
