#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
5,CaSeO4(aq),7,CaSeO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
,H2Se(aq),1,H2Se(aq),0,,0,,0,,0,,0,,0,,0,,0,
7,H2SeO3(aq),8,H2SeO3(aq),0,,0,,0,,0,,0,,0,,0,,0,
14,HSe-,17,HSe-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
17,HSe4-,,HSe4-,0,,0,,,,0,,-0.03,0.12,0,,0,,0,
6,HSeO3-,9,HSeO3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,HSeO4-,2,HSeO4-,0,,0,,0,,,,-0.01,0.02,,,0,,0,
4,MgSeO4(aq),6,MgSeO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
3,MnSeO4(aq),5,MnSeO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
10,Ni(SeCN)2(aq),13,Ni(SeCN)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
9,NiSeCN+,12,NiSeCN+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
2,NiSeO4(aq),4,NiSeO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
15,Se-2,18,Se-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
16,Se(aq),,Se(aq),0,,0,,0,,0,,0,,0,,0.0,0.1,0.0,0.1
11,Se2-2,14,Se2-2,0,,0,,0,,,,-0.1,0.1,-0.06,,0,,0,
12,Se3-2,15,Se3-2,0,,0,,0,,,,-0.1,0.1,-0.06,,0,,0,
13,Se4-2,16,Se4-2,0,,0,,0,,,,-0.05,0.09,,,0,,0,
8,SeCN-,11,SeCN-,0,,0,,0,,,,0.05,0.01,,,0,,0,
,SeO3-2,10,SeO3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
1,SeO4-2,3,SeO4-2,0,,0,,0,,,,-0.12,0.06,,,0,,0,
