#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
11,Ca2Zr(OH)6+2,12,Ca2Zr(OH)6+2,0.1,0.1,0.3,0.1,,,0,,0,,0,,0,,0,
12,Ca3Zr(OH)6+4,13,Ca3Zr(OH)6+4,0.4,0.07,0.89,0.12,,,0,,0,,0,,0,,0,
10,CaZr(OH)6(aq),11,CaZr(OH)6(aq),0,,0,,0,,0,,0,,0,,0,,0,
26,Zr(CO3)4-4,27,Zr(CO3)4-4,0,,0,,0,,,,-0.09,0.2,,,0,,0,
25,Zr(NO3)2+2,26,Zr(NO3)2+2,0.15,0.1,0.84,0.11,,,0,,0,,0,,0,,0,
2,Zr(OH)2+2,3,Zr(OH)2+2,0.15,0.1,0.62,0.39,,,0,,0,,0,,0,,0,
3,Zr(OH)4(aq),4,Zr(OH)4(aq),0,,0,,0,,0,,0,,0,,0,,0,
4,Zr(OH)6-2,5,Zr(OH)6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
22,Zr(SO4)2(aq),23,Zr(SO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
23,Zr(SO4)3-2,24,Zr(SO4)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,Zr+4,1,Zr+4,0.33,0.09,0.89,0.1,0.33,0.35,0,,0,,0,,0,,0,
5,Zr3(OH)4+8,6,Zr3(OH)4+8,0.33,0.28,1.89,0.31,2.28,0.35,0,,0,,0,,0,,0,
6,Zr3(OH)9+3,7,Zr3(OH)9+3,0.25,0.1,0.93,0.35,,,0,,0,,0,,0,,0,
8,Zr4(OH)15+,9,Zr4(OH)15+,0.05,0.1,0.09,0.92,-0.02,1.46,0,,0,,0,,0,,0,
9,Zr4(OH)16(aq),10,Zr4(OH)16(aq),0,,0,,0,,0,,0,,0,,0,,0,
7,Zr4(OH)8+8,8,Zr4(OH)8+8,0.75,0.5,3.61,1.02,,,0,,0,,0,,0,,0,
19,ZrCl+3,20,ZrCl+3,0.87,0.1,0.87,0.1,,,0,,0,,0,,0,,0,
20,ZrCl2+2,21,ZrCl2+2,0.84,0.11,0.84,0.11,,,0,,0,,0,,0,,0,
13,ZrF+3,14,ZrF+3,0.25,0.1,0.63,0.1,,,0,,0,,0,,0,,0,
14,ZrF2+2,15,ZrF2+2,0.15,0.1,0.47,0.08,,,0,,0,,0,,0,,0,
15,ZrF3+,16,ZrF3+,0.05,0.1,0.2,0.06,,,0,,0,,0,,0,,0,
16,ZrF4(aq),17,ZrF4(aq),0,,0,,0,,0,,0,,0,,0,,0,
17,ZrF5-,18,ZrF5-,0,,0,,0,,,,-0.14,0.03,,,0,,0,
18,ZrF6-2,19,ZrF6-2,0,,0,,0,,,,-0.15,0.06,,,0,,0,
24,ZrNO3+3,25,ZrNO3+3,0.25,0.1,0.88,0.11,,,0,,0,,0,,0,,0,
1,ZrOH+3,2,ZrOH+3,0.25,0.1,0.57,0.13,,,0,,0,,0,,0,,0,
21,ZrSO4+2,22,ZrSO4+2,0.15,0.1,0.39,0.13,,,0,,0,,0,,0,,0,
