Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
HOx-,HOx-,HOx-,aq,4.25,0.01,7.3,0.1,,,,,1 Ox-2 1 H+ = HOx-
H2Ox(aq),H2Ox(aq),H2Ox(aq),aq,1.4,0.03,3.3,0.5,,,,,1 HOx- 1 H+ = H2Ox(aq)
HCit-2,HCit-2,HCit-2,aq,6.36,0.02,3.3,0.3,222,14,5,120,1 Cit-3 1 H+ = HCit-2
H2Cit-,H2Cit-,H2Cit-,aq,4.78,0.01,-2.4,0.3,167,8,5,120,1 HCit-2 1 H+ = H2Cit-
H3Cit(aq),H3Cit(aq),H3Cit(aq),aq,3.13,0.01,-4.5,0.3,116,6,5,120,1 H2Cit- 1 H+ = H3Cit(aq)
HEdta-3,HEdta-3,HEdta-3,aq,11.24,0.03,-19.8,0.5,,,,,1 Edta-4 1 H+ = HEdta-3
H2Edta-2,H2Edta-2,H2Edta-2,aq,6.8,0.02,-15.2,0.4,,,,,1 HEdta-3 1 H+ = H2Edta-2
H3Edta-,H3Edta-,H3Edta-,aq,3.15,0.02,7.1,0.4,,,,,1 H2Edta-2 1 H+ = H3Edta-
H4Edta(aq),H4Edta(aq),H4Edta(aq),aq,2.23,0.05,1.9,1.5,,,,,1 H3Edta- 1 H+ = H4Edta(aq)
H5Edta+,H5Edta+,H5Edta+,aq,1.3,0.1,,,,,,,1 H4Edta(aq) 1 H+ = H5Edta+
H6Edta+2,H6Edta+2,H6Edta+2,aq,-0.5,0.2,,,,,,,1 H5Edta+ 1 H+ = H6Edta+2
H4Isa(aq),H4Isa(aq),H4Isa(aq),aq,4,0.5,,,,,,,1 H3Isa- 1 H+ = H4Isa(aq)
Na(Edta)-3,Na(Edta)-3,Na(Edta)-3,aq,2.8,0.2,-4,3,,,,,1 Na+ 1 Edta-4 = Na(Edta)-3
KEdta-3,KEdta-3,KEdta-3,aq,1.8,0.3,,,,,,,1 K+ 1 Edta-4 = KEdta-3
Mg(Ox)(aq),Mg(Ox)(aq),Mg(Ox)(aq),aq,3.56,0.04,,,,,,,1 Mg+2 1 Ox-2 = Mg(Ox)(aq)
Mg(Ox)2-2,Mg(Ox)2-2,Mg(Ox)2-2,aq,5.17,0.08,,,,,,,1 Mg+2 2 Ox-2 = Mg(Ox)2-2
Mg(Cit)-,Mg(Cit)-,Mg(Cit)-,aq,4.81,0.03,,,,,,,1 Mg+2 1 Cit-3 = Mg(Cit)-
Mg(HCit)(aq),Mg(HCit)(aq),Mg(HCit)(aq),aq,2.6,0.07,,,,,,,1 Mg+2 1 HCit-2 = Mg(HCit)(aq)
Mg(H2Cit)+,Mg(H2Cit)+,Mg(H2Cit)+,aq,1.31,0.16,,,,,,,1 Mg+2 1 H2Cit- = Mg(H2Cit)+
Mg(Edta)-2,Mg(Edta)-2,Mg(Edta)-2,aq,10.9,0.1,19.8,0.4,,,,,1 Mg+2 1 Edta-4 = Mg(Edta)-2
Mg(HEdta)-,Mg(HEdta)-,Mg(HEdta)-,aq,4.5,0.2,,,,,,,1 Mg(Edta)-2 1 H+ = Mg(HEdta)-
Ca(Ox)(aq),Ca(Ox)(aq),Ca(Ox)(aq),aq,3.19,0.06,,,,,,,1 Ca+2 1 Ox-2 = Ca(Ox)(aq)
Ca(Ox)2-2,Ca(Ox)2-2,Ca(Ox)2-2,aq,4.02,0.19,,,,,,,1 Ca+2 2 Ox-2 = Ca(Ox)2-2
Ca(Cit)-,Ca(Cit)-,Ca(Cit)-,aq,4.8,0.03,0,6,0,,18,45,1 Ca+2 1 Cit-3 = Ca(Cit)-
Ca(HCit)(aq),Ca(HCit)(aq),Ca(HCit)(aq),aq,2.92,0.07,,,,,,,1 Ca+2 1 HCit-2 = Ca(HCit)(aq)
Ca(H2Cit)+,Ca(H2Cit)+,Ca(H2Cit)+,aq,1.53,0.16,,,,,,,1 Ca+2 1 H2Cit- = Ca(H2Cit)+
