Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
MgHPO4w3(cr),Newberyite,MgHPO4(H2O)3,s,17.93,0.23,0.8,,497,,5,80,1 Mg+2 1 H+ 1 PO4-3 3 H2O(l) = MgHPO4w3(cr)
MgHPO4w7(cr),Phosphorröslerite,MgHPO4(H2O)7,s,17.01,0.25,27.9,,356,,5,20,1 Mg+2 1 H+ 1 PO4-3 7 H2O(l) = MgHPO4w7(cr)
MgKPO4w6(cr),K-struvite,MgKPO4(H2O)6,s,10.96,0.31,-6.2,,405,,5,50,1 Mg+2 1 K+ 1 PO4-3 6 H2O(l) = MgKPO4w6(cr)
MgKPO4w1(cr),MgKPO4:H2O(cr),MgKPO4(H2O),s,10.95,1.5,35.9,,581,,40,50,1 Mg+2 1 K+ 1 PO4-3 1 H2O(l) = MgKPO4w1(cr)
Mg2KH(PO4)2w15(cr),Mg2KH(PO4)2:15H2O(cr),Mg2KH(PO4)2(H2O)15,s,28.67,0.6,-58.9,,690,,5,20,2 Mg+2 1 K+ 1 H+ 2 PO4-3 15 H2O(l) = Mg2KH(PO4)2w15(cr)
Mg3(PO4)2(cr),Farringtonite,Mg3(PO4)2,s,22.41,0.3,184.3,,1316,,25,,3 Mg+2 2 PO4-3 = Mg3(PO4)2(cr)
Mg3(PO4)2w4(cr),Mg3(PO4)2:4H2O(cr),Mg3(PO4)2(H2O)4,s,23.5,1.8,232,,1175,,20,85,3 Mg+2 2 PO4-3 4 H2O(l) = Mg3(PO4)2w4(cr)
Mg3(PO4)2w8(cr),Bobierrite,Mg3(PO4)2(H2O)8,s,25.3,1,183.9,,1034,,20,90,3 Mg+2 2 PO4-3 8 H2O(l) = Mg3(PO4)2w8(cr)
Mg3(PO4)2w22(cr),Cattite,Mg3(PO4)2(H2O)22,s,23.03,0.56,-22.4,,449,,5,40,3 Mg+2 2 PO4-3 22 H2O(l) = Mg3(PO4)2w22(cr)
Ca5(PO4)3OH(cr),OH-apatite,Ca5(PO4)3OH,s,58.29,0.15,68,15,1938,50,5,37,5 Ca+2 3 PO4-3 1 OH- = Ca5(PO4)3OH(cr)
Ca5(PO4)3F(cr),F-apatite,Ca5(PO4)3F,s,59.63,0.2,61,15,1887,50,25,45,5 Ca+2 3 PO4-3 1 F- = Ca5(PO4)3F(cr)
Ca5(PO4)3Cl(cr),Cl-apatite,Ca5(PO4)3Cl,s,46,5,120,41,1920,100,25,,5 Ca+2 3 PO4-3 1 Cl- = Ca5(PO4)3Cl(cr)
CaHPO4(cr),Monetite,CaHPO4,s,6.86,0.02,18.8,0.7,345,20,5,37,1 Ca+2 1 HPO4-2 = CaHPO4(cr)
CaHPO4w2(cr),Brushite,CaHPO4(H2O)2,s,6.59,0.02,5.4,1.3,282,20,5,37,1 Ca+2 1 HPO4-2 2 H2O(l) = CaHPO4w2(cr)
Ca3(PO4)2(cr),Tuite,Ca3(PO4)2,s,28.9,0.1,81.2,5,5620,100,5,37,3 Ca+2 2 PO4-3 = Ca3(PO4)2(cr)
CaHK3(PO4)2(cr),CaHK3(PO4)2(cr),CaHK3(PO4)2,s,22.4,0.8,,,,,,,1 Ca+2 1 H+ 3 K+ 2 PO4-3 = CaHK3(PO4)2(cr)
Ca4H(PO4)3w2.5(s),Ca4H(PO4)3:2.5H2O(s),Ca4H(PO4)3(H2O)2.5,s,48.48,0.16,21,19,0,,4,45,4 Ca+2 3 PO4-3 1 H+ 2.5 H2O(l) = Ca4H(PO4)3w2.5(s)
SrHPO4(beta),SrHPO4(beta),SrHPO4,s,6.94,0.07,19.3,3.9,345,50,25,90,1 Sr+2 1 HPO4-2 = SrHPO4(beta)
Sr3(PO4)2(s),Sr3(PO4)2(s),Sr3(PO4)2,s,28.8,0.4,,,,,,,3 Sr+2 2 PO4-3 = Sr3(PO4)2(s)
BaHPO4(cr),BaHPO4(cr),BaHPO4,s,7.2,0.3,,,,,,,1 Ba+2 1 HPO4-2 = BaHPO4(cr)
Ba3(PO4)2(s)  ,Ba3(PO4)2(s)  ,Ba3(PO4)2  ,s,29,0.5,,,,,,,3 Ba+2 2 PO4-3 = Ba3(PO4)2(s) 
