symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H
CSH072+A00001,Ca2.1118Al0.0003Si2.9227O11.0699H6.2242,0.35011763,13.880783,-4687.3938,-4687.3938,-5077.4436,-3.0575374,348.61238,,,,,,,,,,,,,,,,,,
CSH071+A00010,Ca2.0781Al0.003Si2.9368O11.0388H6.1652,0.3486768,13.861948,-4671.0109,-4671.0109,-5059.1235,-2.3333658,348.15347,,,,,,,,,,,,,,,,,,
CSH071+A00102,Ca2.0729Al0.0297Si2.9248O11.0847H6.235,0.34965966,13.901003,-4686.9233,-4686.9233,-5077.5345,-2.2056194,349.10496,,,,,,,,,,,,,,,,,,
CSH074+A01065,Ca2.0125Al0.2887Si2.7105O11.3119H6.891,0.35249886,13.787465,-4745.787,-4745.787,-5157.3051,-2.0652517,346.325,,,,,,,,,,,,,,,,,,
CSH082+A02322,Ca2.0015Al0.5653Si2.4347O11.5683H7.6992,0.35669433,13.660628,-4817.0787,-4817.0787,-5253.7753,-2.2343944,343.2262,,,,,,,,,,,,,,,,,,
CSH091+A03590,Ca2.0003Al0.7926Si2.2074O11.7931H8.3782,0.36067557,13.575406,-4880.7699,-4880.7699,-5339.3316,-1.482072,341.14321,,,,,,,,,,,,,,,,,,
CSH080+A00001,Ca2.2697Al0.0003Si2.8357O11.2116H6.5404,0.35658639,13.958246,-4759.6951,-4759.6951,-5159.7266,-5.9885191,350.50309,,,,,,,,,,,,,,,,,,
CSH080+A00010,Ca2.2692Al0.0028Si2.8349O11.2166H6.5468,0.35669773,13.962975,-4761.4977,-4761.4977,-5161.7572,-5.9721166,350.61828,,,,,,,,,,,,,,,,,,
CSH080+A00100,Ca2.2633Al0.0284Si2.8272O11.2662H6.6118,0.35779482,14.009561,-4779.1489,-4779.1489,-5181.818,-5.8096472,351.75283,,,,,,,,,,,,,,,,,,
CSH080+A01005,Ca2.1744Al0.2723Si2.7105O11.5867H7.166,0.363221,14.18393,-4878.3064,-4878.3064,-5301.0659,-4.4364059,355.99321,,,,,,,,,,,,,,,,,,
