symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H
CSH072+A00001,Ca2.11182Al0.0003Si2.9227O11.06995H6.22456,0.35011763,13.880783,-4687.3938,-4687.3938,-5077.4436,-3.0575374,348.61238,,,,,,,,,,,,,,,,,,
CSH071+A00010,Ca2.07811Al0.00298Si2.93681O11.03879H6.16518,0.3486768,13.861948,-4671.0109,-4671.0109,-5059.1235,-2.3333658,348.15347,,,,,,,,,,,,,,,,,,
CSH071+A00102,Ca2.07291Al0.02975Si2.92483O11.08472H6.23508,0.34965966,13.901003,-4686.9233,-4686.9233,-5077.5345,-2.2056194,349.10496,,,,,,,,,,,,,,,,,,
CSH074+A01065,Ca2.01246Al0.28868Si2.71048O11.31191H6.89094,0.35249886,13.787465,-4745.787,-4745.787,-5157.3051,-2.0652517,346.325,,,,,,,,,,,,,,,,,,
CSH082+A02322,Ca2.00151Al0.56526Si2.43473O11.56827H7.69882,0.35669433,13.660628,-4817.0787,-4817.0787,-5253.7753,-2.2343944,343.2262,,,,,,,,,,,,,,,,,,
CSH091+A03590,Ca2.00027Al0.79257Si2.20743O11.7931H8.37826,0.36067557,13.575406,-4880.7699,-4880.7699,-5339.3316,-1.482072,341.14321,,,,,,,,,,,,,,,,,,
CSH080+A00001,Ca2.26973Al0.00028Si2.83566O11.21162H6.5403,0.35658639,13.958246,-4759.6951,-4759.6951,-5159.7266,-5.9885191,350.50309,,,,,,,,,,,,,,,,,,
CSH080+A00010,Ca2.26916Al0.00284Si2.8349O11.21663H6.54682,0.35669773,13.962975,-4761.4977,-4761.4977,-5161.7572,-5.9721166,350.61828,,,,,,,,,,,,,,,,,,
CSH080+A00100,Ca2.26332Al0.02835Si2.82724O11.26616H6.61164,0.35779482,14.009561,-4779.1489,-4779.1489,-5181.818,-5.8096472,351.75283,,,,,,,,,,,,,,,,,,
CSH080+A01005,Ca2.17438Al0.27229Si2.71053O11.58669H7.16566,0.363221,14.18393,-4878.3064,-4878.3064,-5301.0659,-4.4364059,355.99321,,,,,,,,,,,,,,,,,,
CSH081+A02029,Ca2.03098Al0.5061Si2.49374O11.56775H7.58028,0.35780865,13.762184,-4827.5587,-4827.5587,-5260.9812,-2.7611793,345.70349,,,,,,,,,,,,,,,,,,
CSH088+A03183,Ca2.00148Al0.72441Si2.27559O11.72737H8.17622,0.35954422,13.60327,-4862.6326,-4862.6326,-5314.6358,-1.8195128,341.82411,,,,,,,,,,,,,,,,,,
CSH090+A00001,Ca2.44157Al0.00027Si2.72076O11.32457H6.88212,0.36239758,13.997426,-4818.7239,-4818.7239,-5229.1691,-8.0509134,351.46609,,,,,,,,,,,,,,,,,,
CSH090+A00010,Ca2.44115Al0.00272Si2.72024O11.33003H6.88864,0.36252609,14.002685,-4820.7542,-4820.7542,-5231.4351,-8.0367243,351.5941,,,,,,,,,,,,,,,,,,
CSH090+A00100,Ca2.437Al0.02716Si2.71519O11.38508H6.95392,0.3638242,14.054929,-4841.0783,-4841.0783,-5254.2949,-7.8946215,352.86584,,,,,,,,,,,,,,,,,,
CSH090+A01001,Ca2.37951Al0.26488Si2.64711O11.8477H7.5533,0.37402757,14.491061,-5004.9324,-5004.9324,-5441.628,-6.656812,363.48704,,,,,,,,,,,,,,,,,,
CSH090+A01999,Ca2.24833Al0.49906Si2.49703O11.98788H7.9938,0.37356031,14.348024,-5024.675,-5024.675,-5475.8642,-5.4620836,359.98668,,,,,,,,,,,,,,,,,,
CSH090+A02964,Ca2.08497Al0.68581Si2.31413O11.85562H8.22738,0.36503455,13.845718,-4929.8775,-4929.8775,-5385.0258,-3.2675925,347.73579,,,,,,,,,,,,,,,,,,
CSH099+A00001,Ca2.58466Al0.00026Si2.6047O11.3593H7.1297,0.36567767,13.980845,-4844.0966,-4844.0966,-5261.2875,-8.6968596,351.07449,,,,,,,,,,,,,,,,,,
CSH099+A00010,Ca2.58433Al0.0026Si2.60429O11.36495H7.13628,0.36581337,13.991692,-4846.2144,-4846.2144,-5263.5101,-8.6853295,351.3376,,,,,,,,,,,,,,,,,,
CSH099+A00100,Ca2.58112Al0.026Si2.60042O11.42236H7.2028,0.3671928,14.038347,-4867.5579,-4867.5579,-5287.6444,-8.5700414,352.4742,,,,,,,,,,,,,,,,,,
CSH099+A01000,Ca2.54237Al0.25551Si2.5554O11.95453H7.83622,0.37972066,14.537128,-5062.1933,-5062.1933,-5508.1023,-7.5235316,364.61491,,,,,,,,,,,,,,,,,,
CSH100+A01999,Ca2.4644Al0.49389Si2.47085O12.35126H8.40868,0.3875772,14.839352,-5194.8313,-5194.8313,-5663.1092,-6.6642175,371.96948,,,,,,,,,,,,,,,,,,
CSH100+A02979,Ca2.30746Al0.6884Si2.31064O12.30138H8.68008,0.38151181,14.451476,-5136.2697,-5136.2697,-5611.0071,-5.5730808,362.50398,,,,,,,,,,,,,,,,,,
CSH118+A00001,Ca2.82626Al0.00024Si2.39209O11.21778H7.21396,0.36720939,13.841554,-4830.0741,-4830.0741,-5248.0408,-8.3962625,347.71914,,,,,,,,,,,,,,,,,,
CSH118+A00010,Ca2.8259Al0.00239Si2.39179O11.22336H7.22056,0.36734061,13.839471,-4832.1243,-4832.1243,-5250.5122,-8.3896764,347.66958,,,,,,,,,,,,,,,,,,
CSH118+A00100,Ca2.82311Al0.02389Si2.38883O11.28028H7.28738,0.36870353,13.891715,-4853.0843,-4853.0843,-5274.0791,-8.3214133,348.94077,,,,,,,,,,,,,,,,,,
CSH118+A01000,Ca2.79099Al0.23557Si2.35609O11.82832H7.94362,0.38163803,14.371184,-5051.9083,-5051.9083,-5499.8744,-7.6491354,360.61073,,,,,,,,,,,,,,,,,,
CSH119+A01999,Ca2.74318Al0.46193Si2.31041O12.37716H8.6405,0.39403037,14.860714,-5244.7649,-5244.7649,-5720.6495,-6.8997411,372.52442,,,,,,,,,,,,,,,,,,
CSH119+A02997,Ca2.67437Al0.67346Si2.24694O12.81411H9.27134,0.40282394,15.173749,-5387.5787,-5387.5787,-5887.6438,-6.095553,380.13009,,,,,,,,,,,,,,,,,,
CSH156+A00001,Ca3.23039Al0.00021Si2.07196O10.92368H7.09814,0.36959194,13.687939,-4803.4856,-4803.4856,-5216.801,-6.3196807,344.03193,,,,,,,,,,,,,,,,,,
CSH156+A00010,Ca3.23019Al0.00207Si2.07171O10.92881H7.10416,0.36971549,13.710169,-4805.3895,-4805.3895,-5218.4234,-6.3215938,344.56794,,,,,,,,,,,,,,,,,,
CSH156+A00100,Ca3.22748Al0.02069Si2.06965O10.98056H7.16546,0.3709414,13.747029,-4824.2699,-4824.2699,-5240.0009,-6.3452599,345.46745,,,,,,,,,,,,,,,,,,
CSH156+A01000,Ca3.19678Al0.20471Si2.04754O11.488H7.77812,0.38279111,14.184105,-5006.3557,-5006.3557,-5447.3526,-6.5294665,356.10257,,,,,,,,,,,,,,,,,,
CSH156+A01999,Ca3.15332Al0.40391Si2.02062O12.03563H8.47038,0.39512754,14.636206,-5196.6554,-5196.6554,-5666.2031,-6.5171928,367.1046,,,,,,,,,,,,,,,,,,
CSH155+A02991,Ca3.10297Al0.59886Si2.00223O12.61815H9.22486,0.40793389,15.108745,-5393.0931,-5393.0931,-5893.1506,-5.8823424,378.59948,,,,,,,,,,,,,,,,,,
