symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H
CSH072+A00001x,Ca2.11232Al0.0003Si2.92318O11.07192H6.22558,0.35018393,13.882715,-4688.2727,-4688.2727,-5078.4,-3.0565202,348.65928,,,,,,,,,,,,,,,,,,
CSH072+A00010x,Ca2.11256Al0.00303Si2.92179O11.07781H6.23428,0.35033115,13.88791,-4690.4888,-4690.4888,-5080.912,-3.0567391,348.78584,,,,,,,,,,,,,,,,,,
CSH073+A00090x,Ca2.11281Al0.02629Si2.90796O11.12042H6.30448,0.35133295,13.92472,-4705.8833,-4705.8833,-5098.6638,-3.0663543,349.68327,,,,,,,,,,,,,,,,,,
CSH073+A00106x,Ca2.11694Al0.03071Si2.90264O11.1313H6.326,0.35166411,13.932645,-4710.32,-4710.32,-5103.7778,-3.1642597,349.87663,,,,,,,,,,,,,,,,,,
CSH075+A00180x,Ca2.15206Al0.0517Si2.87335O11.20592H6.45922,0.35414335,13.988375,-4742.3447,-4742.3447,-5140.2689,-3.8615676,351.23514,,,,,,,,,,,,,,,,,,
CSH078+A00339x,Ca2.19973Al0.09584Si2.82625O11.33948H6.68698,0.35828832,14.092811,-4797.4241,-4797.4241,-5203.2603,-4.6756068,353.78051,,,,,,,,,,,,,,,,,,
CSH080+A00001x,Ca2.26993Al0.00028Si2.8359O11.2125H6.5407,0.35661573,13.959129,-4760.0869,-4760.0869,-5160.1519,-5.9869772,350.52455,,,,,,,,,,,,,,,,,,
CSH080+A00010x,Ca2.26937Al0.00284Si2.83517O11.21759H6.54724,0.35672981,13.963923,-4761.9262,-4761.9262,-5162.2226,-5.9704327,350.64127,,,,,,,,,,,,,,,,,,
CSH080+A00100x,Ca2.26357Al0.02835Si2.82755O11.26729H6.61216,0.35783218,14.010668,-4779.6481,-4779.6481,-5182.3603,-5.8077325,351.77971,,,,,,,,,,,,,,,,,,
CSH081+A00616x,Ca2.24572Al0.17006Si2.75978O11.52118H7.00162,0.36349152,14.237535,-4868.8539,-4868.8539,-5285.6578,-5.350811,357.3087,,,,,,,,,,,,,,,,,,
CSH084+A00865x,Ca2.28358Al0.23427Si2.70869O11.68734H7.26992,0.36823531,14.366441,-4934.1403,-4934.1403,-5360.8074,-5.7410266,360.44886,,,,,,,,,,,,,,,,,,
CSH088+A01193x,Ca2.31876Al0.31528Si2.64288O11.8691H7.58332,0.37320685,14.48369,-5003.5288,-5003.5288,-5441.6258,-6.0519646,363.3035,,,,,,,,,,,,,,,,,,
CSH090+A00001x,Ca2.4417Al0.00027Si2.72089O11.3251H6.8824,0.36241537,13.997923,-4818.9609,-4818.9609,-5229.4273,-8.0500437,351.47816,,,,,,,,,,,,,,,,,,
CSH090+A00010x,Ca2.44129Al0.00272Si2.72039O11.33064H6.88898,0.36254621,14.003164,-4821.0218,-4821.0218,-5231.7293,-8.0357186,351.60575,,,,,,,,,,,,,,,,,,
CSH090+A00100x,Ca2.4371Al0.02716Si2.7153O11.3855H6.95412,0.36383818,14.055234,-4841.2644,-4841.2644,-5254.4998,-7.8939408,352.87326,,,,,,,,,,,,,,,,,,
CSH090+A01001x,Ca2.38117Al0.26506Si2.64892O11.85517H7.55714,0.37427299,14.498243,-5008.2167,-5008.2167,-5445.2093,-6.6474419,363.66136,,,,,,,,,,,,,,,,,,
CSH092+A01605x,Ca2.35481Al0.41115Si2.5622O12.06738H7.94292,0.37850691,14.597469,-5077.83,-5077.83,-5528.9605,-6.2819703,366.07315,,,,,,,,,,,,,,,,,,
CSH096+A01978x,Ca2.38315Al0.49263Si2.49038O12.22482H8.24396,0.38264646,14.677135,-5135.8796,-5135.8796,-5597.7178,-6.3759316,368.01218,,,,,,,,,,,,,,,,,,
