symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H
CSH072+K0000,Ca2.1122Si2.9236K0.0006O11.0722H6.225,0.350212,13.84015,-4688.47,-4688.47,-5079.23,-3.05675,347.6158,,,,,,,,,,,,,,,,,,
CSH073+K0073,Ca2.0817Si2.8657K0.2095O11.1042H6.3727,0.356189,13.85903,-4709.85,-4709.85,-5106.27,-4.86736,348.0935,,,,,,,,,,,,,,,,,,
CSH073+K0170,Ca2.0373Si2.7809K0.4731O11.1096H6.5479,0.362601,13.78781,-4719.05,-4719.05,-5123.41,-6.16369,346.3754,,,,,,,,,,,,,,,,,,
CSH074+K0253,Ca2.0092Si2.713K0.6876O11.1319H6.7058,0.368465,13.8051,-4733.1,-4733.1,-5144.83,-6.27981,346.818,,,,,,,,,,,,,,,,,,
CSH076+K0327,Ca2.0022Si2.6297K0.8607O11.1243H6.8647,0.372655,13.85782,-4733.07,-4733.07,-5150.44,-5.7707,348.1355,,,,,,,,,,,,,,,,,,
CSH080+K0000,Ca2.2714Si2.8349K0.0006O11.2131H6.5432,0.356673,13.85635,-4760.51,-4760.51,-5162.15,-6.01573,348.0055,,,,,,,,,,,,,,,,,,
CSH081+K0072,Ca2.2285Si2.7585K0.1988O11.1727H6.6556,0.360025,13.80968,-4748.5,-4748.5,-5153.06,-7.00471,346.8928,,,,,,,,,,,,,,,,,,
CSH081+K0155,Ca2.1601Si2.6785K0.4153O11.0918H6.7341,0.362288,13.64286,-4716.79,-4716.79,-5124.85,-7.29052,342.8438,,,,,,,,,,,,,,,,,,
CSH081+K0239,Ca2.0929Si2.599K0.6205O11.0012H6.8001,0.364001,13.64705,-4679.8,-4679.8,-5088.88,-7.02448,342.9874,,,,,,,,,,,,,,,,,,
CSH081+K0333,Ca2.0319Si2.5143K0.8369O10.9198H6.8817,0.366417,13.63708,-4646.92,-4646.92,-5058.96,-6.11693,342.784,,,,,,,,,,,,,,,,,,
CSH089+K0000,Ca2.4347Si2.7259K0.0004O11.3209H6.8684,0.362203,13.81967,-4816.82,-4816.82,-5229.45,-7.99489,347.109,,,,,,,,,,,,,,,,,,
CSH090+K0056,Ca2.3907Si2.6601K0.1501O11.2483H6.9247,0.363336,13.70269,-4788.72,-4788.72,-5202.81,-8.10767,344.2746,,,,,,,,,,,,,,,,,,
CSH090+K0131,Ca2.3201Si2.5819K0.3381O11.1286H6.9513,0.363779,13.63188,-4740.55,-4740.55,-5153.99,-7.80674,342.5847,,,,,,,,,,,,,,,,,,
CSH090+K0211,Ca2.2476Si2.5015K0.5278O10.9865H6.944,0.363748,13.61468,-4684.8,-4684.8,-5095.7,-7.20036,342.2111,,,,,,,,,,,,,,,,,,
CSH090+K0309,Ca2.1695Si2.4125K0.7456O10.827H6.9194,0.364057,13.54498,-4624.32,-4624.32,-5033.95,-6.2355,340.556,,,,,,,,,,,,,,,,,,
CSH098+K0000,Ca2.5669Si2.6202K0.0002O11.3598H7.1048,0.365384,13.67541,-4842.53,-4842.53,-5263.73,-8.67139,343.5875,,,,,,,,,,,,,,,,,,
CSH099+K0051,Ca2.5294Si2.5527K0.1298O11.2542H7.109,0.36537,13.59789,-4803.65,-4803.65,-5223.6,-8.35284,341.727,,,,,,,,,,,,,,,,,,
CSH099+K0119,Ca2.4626Si2.4832K0.2947O11.1079H7.0631,0.364799,13.60606,-4748.6,-4748.6,-5164.62,-7.80389,341.9762,,,,,,,,,,,,,,,,,,
CSH099+K0199,Ca2.3889Si2.4078K0.4787O10.9421H6.9965,0.364199,13.62905,-4687.12,-4687.12,-5097.74,-7.08766,342.5744,,,,,,,,,,,,,,,,,,
CSH099+K0281,Ca2.3211Si2.3379K0.6571O10.7952H6.9395,0.364087,13.56039,-4633.12,-4633.12,-5041.67,-6.27861,340.9398,,,,,,,,,,,,,,,,,,
CSH106+K0000,Ca2.6797Si2.5208K0.0001O11.3241H7.2055,0.366639,13.58246,-4843.52,-4843.52,-5267.65,-8.68039,341.3389,,,,,,,,,,,,,,,,,,
CSH108+K0046,Ca2.6565Si2.4532K0.112O11.1998H7.1618,0.366154,13.56311,-4802.02,-4802.02,-5222.6,-8.24634,340.9075,,,,,,,,,,,,,,,,,,
CSH108+K0112,Ca2.5919Si2.3896K0.2675O11.0478H7.0859,0.36535,13.67965,-4746.63,-4746.63,-5159.81,-7.63366,343.7758,,,,,,,,,,,,,,,,,,
CSH109+K0191,Ca2.5191Si2.3208K0.444O10.8839H7.0024,0.364695,13.65307,-4686.8,-4686.8,-5095.43,-6.87266,343.1572,,,,,,,,,,,,,,,,,,
CSH109+K0253,Ca2.4669Si2.2717K0.5758O10.773H6.9496,0.364552,13.64489,-4646.4,-4646.4,-5052.26,-6.24864,342.9751,,,,,,,,,,,,,,,,,,
CSH115+K0000,Ca2.7857Si2.4274K0.0001O11.2499H7.2187,0.36709,13.59789,-4834.31,-4834.31,-5257.14,-8.49994,341.7532,,,,,,,,,,,,,,,,,,
CSH118+K0042,Ca2.7754Si2.3602K0.0987O11.1242H7.1581,0.366572,13.57869,-4794.97,-4794.97,-5214.06,-8.00656,341.3257,,,,,,,,,,,,,,,,,,
CSH118+K0107,Ca2.7131Si2.3022K0.2462O10.9786H7.076,0.365804,13.67246,-4742.41,-4742.41,-5153.48,-7.3516,343.6026,,,,,,,,,,,,,,,,,,
CSH118+K0163,Ca2.6613Si2.2567K0.3686O10.8655H7.013,0.365363,13.64716,-4701.33,-4701.33,-5109.24,-6.78194,343.0037,,,,,,,,,,,,,,,,,,
CSH118+K0226,Ca2.608Si2.2104K0.4987O10.7554H6.9545,0.36519,13.62984,-4661.34,-4661.34,-5066.55,-6.14319,342.5992,,,,,,,,,,,,,,,,,,
CSH123+K0000,Ca2.8857Si2.341K0.0001O11.1677H7.1999,0.367338,13.60594,-4823.07,-4823.07,-5244.04,-8.20934,341.9873,,,,,,,,,,,,,,,,,,
CSH127+K0039,Ca2.8867Si2.2744K0.0887O11.0481H7.1365,0.366994,13.60749,-4787.89,-4787.89,-5205.09,-7.64576,342.0669,,,,,,,,,,,,,,,,,,
