symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H
CSH072+N0000,Ca2.0993Si2.9298Na0.0004O11.0585H6.1988,0.349606,13.8742,-4681.538,-4681.538,-5070.823,-2.779868,348.4516,,,,,,,,,,,,,,,,,,
CSH073+N0064,Ca2.0943Si2.86Na0.1837O11.0922H6.3721,0.352374,13.76289,-4700.428,-4700.428,-5095.74,-4.943209,345.7732,,,,,,,,,,,,,,,,,,
CSH074+N0156,Ca2.0491Si2.7686Na0.4311O11.0664H6.5291,0.353429,13.49541,-4690.318,-4690.318,-5092.437,-6.332824,339.2918,,,,,,,,,,,,,,,,,,
CSH075+N0238,Ca2.0148Si2.6919Na0.642O11.0552H6.6712,0.354712,13.34643,-4685.089,-4685.089,-5093.587,-6.614255,335.6842,,,,,,,,,,,,,,,,,,
CSH077+N0318,Ca2.0037Si2.5993Na0.8267O11.0326H6.8339,0.355719,13.34908,-4674.769,-4674.769,-5088.352,-6.156936,335.7595,,,,,,,,,,,,,,,,,,
CSH080+N0000,Ca2.2714Si2.8347Na0.0004O11.2126H6.5432,0.356645,13.95828,-4760.251,-4760.251,-5160.369,-6.016825,350.5039,,,,,,,,,,,,,,,,,,
CSH081+N0064,Ca2.2352Si2.7567Na0.1759O11.1597H6.6463,0.356297,13.79404,-4738.585,-4738.585,-5140.6,-7.038427,346.5463,,,,,,,,,,,,,,,,,,
CSH081+N0142,Ca2.1675Si2.6769Na0.3803O11.0684H6.7139,0.354648,13.48103,-4697.66,-4697.66,-5102.567,-7.385915,338.9487,,,,,,,,,,,,,,,,,,
CSH081+N0226,Ca2.0967Si2.5939Na0.585O10.9632H6.7724,0.352554,13.25164,-4649.857,-4649.857,-5057.27,-7.207815,333.3639,,,,,,,,,,,,,,,,,,
CSH081+N0324,Ca2.0321Si2.5005Na0.8099O10.8667H6.8573,0.351065,13.17198,-4605.703,-4605.703,-5015.344,-6.328921,331.4397,,,,,,,,,,,,,,,,,,
CSH089+N0000,Ca2.4347Si2.7258Na0.0002O11.3206H6.8684,0.362186,13.99634,-4816.66,-4816.66,-5226.687,-7.995503,351.4392,,,,,,,,,,,,,,,,,,
CSH090+N0048,Ca2.397Si2.664Na0.1267O11.246H6.9153,0.360703,13.84854,-4784.48,-4784.48,-5194.223,-8.1532,347.8739,,,,,,,,,,,,,,,,,,
CSH090+N0118,Ca2.327Si2.5864Na0.3045O11.1202H6.9363,0.357812,13.46667,-4729.274,-4729.274,-5140.95,-7.936105,338.5713,,,,,,,,,,,,,,,,,,
CSH090+N0198,Ca2.25Si2.5013Na0.4956O10.9641H6.9274,0.354219,13.3199,-4662.734,-4662.734,-5072.842,-7.376264,334.9952,,,,,,,,,,,,,,,,,,
CSH090+N0302,Ca2.1643Si2.403Na0.7246O10.7831H6.901,0.350367,13.13542,-4587.862,-4587.862,-4995.414,-6.375343,330.5402,,,,,,,,,,,,,,,,,,
CSH098+N0000,Ca2.5669Si2.6201Na0.0001O11.3596H7.1049,0.365374,13.98611,-4842.427,-4842.427,-5258.994,-8.671905,351.2007,,,,,,,,,,,,,,,,,,
CSH099+N0041,Ca2.5375Si2.5592Na0.105O11.2627H7.1086,0.363349,13.82429,-4803.955,-4803.955,-5219.025,-8.444021,347.2935,,,,,,,,,,,,,,,,,,
CSH099+N0105,Ca2.4711Si2.49Na0.2602O11.1127H7.063,0.35987,13.54693,-4743.008,-4743.008,-5156.998,-7.957436,340.5316,,,,,,,,,,,,,,,,,,
CSH099+N0189,Ca2.3904Si2.4077Na0.4553O10.9269H6.9869,0.355758,13.39132,-4669.364,-4669.364,-5079.278,-7.217904,336.7306,,,,,,,,,,,,,,,,,,
CSH099+N0274,Ca2.3153Si2.3299Na0.6393O10.7572H6.9249,0.352016,13.19662,-4601.057,-4601.057,-5007.485,-6.382499,332.0253,,,,,,,,,,,,,,,,,,
CSH106+N0000,Ca2.6797Si2.5208Na0.0001O11.324H7.2053,0.366634,13.9408,-4843.477,-4843.477,-5262,-8.680676,350.111,,,,,,,,,,,,,,,,,,
CSH108+N0036,Ca2.6647Si2.4593Na0.0896O11.2123H7.1684,0.364539,13.62446,-4804.068,-4804.068,-5223.003,-8.338415,342.4145,,,,,,,,,,,,,,,,,,
CSH109+N0099,Ca2.5997Si2.3954Na0.2372O11.0542H7.0902,0.360924,13.5169,-4742.15,-4742.15,-5155.738,-7.774389,339.7839,,,,,,,,,,,,,,,,,,
CSH109+N0181,Ca2.5196Si2.3199Na0.4208O10.8682H6.9968,0.356748,13.35878,-4669.042,-4669.042,-5077.609,-6.993163,335.9574,,,,,,,,,,,,,,,,,,
CSH109+N0248,Ca2.4609Si2.2646Na0.5624O10.7393H6.936,0.353972,13.25248,-4618.199,-4618.199,-5023.615,-6.321309,333.388,,,,,,,,,,,,,,,,,,
CSH115+N0000,Ca2.7857Si2.4275Na0.0001O11.2499H7.2183,0.367088,13.86848,-4834.306,-4834.306,-5252.622,-8.500072,348.3678,,,,,,,,,,,,,,,,,,
CSH118+N0034,Ca2.7819Si2.3645Na0.0811O11.1339H7.1649,0.365124,13.65411,-4796.24,-4796.24,-5213.752,-8.084501,343.1692,,,,,,,,,,,,,,,,,,
CSH118+N0097,Ca2.7186Si2.3056Na0.2227O10.981H7.0797,0.361657,13.52312,-4736.947,-4736.947,-5148.238,-7.465291,339.9523,,,,,,,,,,,,,,,,,,
CSH118+N0155,Ca2.6616Si2.2558Na0.3503O10.8527H7.0087,0.358781,13.4047,-4686.738,-4686.738,-5094.529,-6.874723,337.0859,,,,,,,,,,,,,,,,,,
