XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,Cp,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen,Table4.XNAME,Table4.SOURCE,Table4.ENTAL,Table4.FIRST,Table4.LAST,Table4.INTERV,Table4.G0,Table4.LT1,Table4.UT1,Table4.A1,Table4.B1,Table4.C1,Table4.D1,Table4.E1,Table4.F1,Table4.LT2,Table4.UT2,Table4.A2,Table4.B2,Table4.C2,Table4.D2,Table4.E2,Table4.F2,Table4.LT3,Table4.UT3,Table4.A3,Table4.B3,Table4.C3,Table4.D3,Table4.E3,Table4.F3,Table4.LT4,Table4.UT4,Table4.A4,Table4.B4,Table4.C4,Table4.D4,Table4.E4,Table4.F4,Table4.LT5,Table4.UT5,Table4.A5,Table4.B5,Table4.C5,Table4.D5,Table4.E5,Table4.F5,Table4.LT6,Table4.UT6,Table4.A6,Table4.B6,Table4.C6,Table4.D6,Table4.E6,Table4.F6
H2O,[],(G),298.15,20000,-231478.9532,188.7624364,-241804.9447,33.630731,,,,,,,,H2O_Gas_!!!,20,-241.805,298.15,20000,3,-231478.9532,298.15,1500,27.18002319,0.013809894,197012,0,1.72973E-06,-1.38644E-09,1500,6000,35.3575592,0.012862509,-6791850,0,-2.24363E-06,1.56023E-10,6000,20000,250.1755982,-0.033576965,-1839884568,0,2.14203E-06,-4.77148E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BITOVNIT,NaCa4Al9Si11O40,(C),298.15,1400,-20073190.45,1019.919363,-20914969,1033.280034,BITOVNIT, NaCa4Al9Si11O40,Bytownit,106.604796,10.6604796,Webmineral,data for Na+Ca=1 normalized forumula,BITOVNIT,New,-20915,298.15,1400,1,-20073190.45,298.15,1400,1336.0502,0.2873721,-34530664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDESIN,Na3Ca2Al7Si13O40,(C),298.15,900,-19365238.95,1034.977342,-20203859.25,1025.069314,ANDESIN, Na3Ca2Al7Si13O40,Andesit,86.46991179,8.646991179,Webmineral,data for Na+Ca=1 normalized forumula,ANDESIN,New,-20203.89,298.15,900,1,-19365238.95,298.15,900,1329.98485,0.26833945,-34216940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLIGOKLAS,Na4CaAl6Si14O40,(C),298.15,1400,-19044718.19,1042.506849,-19881759.21,1026.079264,OLIGOKLAS, Na4CaAl6Si14O40,Oligoklas,95.30639967,9.530639967,Webmineral,data for Na+Ca=1 normalized forumula,OLIGOKLAS,New,-19881.79,298.15,1400,1,-19044718.19,298.15,1400,1301.7496,0.2898819,-32188186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LABRADOR,NaCaAl3Si5O16,(C),298.15,1400,-7806851.728,412.4852675,-8142615.636,412.1212919,LABRADOR, NaCaAl3Si5O16,Labradorit,95.57639231,9.557639231,Webmineral,data for Na0.4Ca0.6Al1.6Si2.4O8,LABRADOR,New,-8142.628,298.15,1400,1,-7806851.728,298.15,1400,527.55996,0.1162874,-13343770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEHLENITE,Ca2Al2SiO7,(C),298.15,1863,-3838417.953,198.2938937,-3986393.13,195.77898,GEHLENITE, Ca2Al2SiO7,Gehlenit,90.22371287,9.022371287,Webmineral,,GEHLENITE,Kub,-3986.399,298.15,1863,1,-3838417.953,298.15,1863,275.40872,0.02790061,-7818026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROSSULAR,Ca3Al2Si3O12,(C),298.15,1700,-6364045.25,241.3916008,-6641757.311,323.0606146,GROSSULAR, Ca3Al2Si3O12,Grossular,125.2928968,12.52928968,Webmineral,,GROSSULAR,Kub,-6641.767,298.15,1700,1,-6364045.25,298.15,1700,456.19798,0.04919208,-13138802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMORTHITE,CaAl2Si2O8,(C),298.15,1826,-4052806.244,202.4730587,-4221479.273,157.6569533,AMORTHITE, CaAl2Si2O8,Anorthit,100.892688,10.0892688,Webmineral,data probably for Na0.05Ca0.95Al1.95Si2.05O8,AMORTHITE,Kub,-4221.484,298.15,1826,1,-4052806.244,298.15,1826,296.95117,0.04337771,-13532004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaAl2SiO6,[],(C),298.15,1700,-3160138.856,144.7475517,-3291179.303,156.5452967,CaAl2SiO6, CaAl2SiO6,Kushiroit,63.42337984,6.342337984,Mineralienatlas,,CaAl2SiO6,Kub,-3291.184,298.15,1700,1,-3160138.856,298.15,1700,233.16042,0.02112415,-7370446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMORTHITE,CaAl2Si2O8,(L),298.15,3000,-3889634.143,134.3969335,-4150041.92,380.653,,,,,,,,AMORTHITE,Kub,-4221.484,298.15,3000,1,-3889634.143,298.15,3000,380.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTORFLOGOPIT,KMg3AlSi3F2O10,(C),298.15,1670,-6113175.715,317.5241434,-6369861.73,342.3157434,FTORFLOGOPIT, KMg3AlSi3F2O10,Fluorphlogopit,148.2575778,14.82575778,Webmineral,data for average solid solution,FTORFLOGOPIT,New,-6369.872,298.15,1670,1,-6113175.715,298.15,1670,421.89738,0.07178028,-8976718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K2Al2Si6O16,[],(C),298.15,1473,-7576642.328,476.0637197,-7900838.574,380.8304585,K2Al2Si6O16, K2Al2Si6O16,Orthoclase,109.0865633,10.90865633,Webmineral,die Daten sind für die einfache Formel,K2Al2Si6O16,Kub,-7900.85,298.15,1473,1,-7576642.328,298.15,1473,571.98342,0.07730184,-19041016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTORFLOGOPIT,KMg3AlSi3F2O10,(L),298.15,2500,-5679127.707,352.7790326,-6147590.358,537.5155,,,,,,,,FTORFLOGOPIT,New,-6369.872,298.15,2500,1,-5679127.707,298.15,2500,537.5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KALCILIT,KAlSiO4,(C),298.15,810,-2024511.302,133.0314463,-2108228.408,119.7224346,KALCILIT, KAlSiO4,Kalsilit,60.37497219,6.037497219,Webmineral,,KALCILIT,New,-2108.232,298.15,810,1,-2024511.302,298.15,810,123.10569,0.07261688,-2225356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K2Al2Si6O16,[],(L),298.15,2500,-7655574.281,238.5803601,-7975697.846,765.489,,,,,,,,K2Al2Si6O16,Kub,-7900.85,298.15,2500,1,-7655574.281,298.15,2500,765.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAlSi3O8_GLASS,[GLASS],(C),298.15,1400,-3749351.496,263.3413101,-3903903.603,213.3364576,,,,,,,,KAlSi3O8_GLASS,New,-3903.91,298.15,1400,1,-3749351.496,298.15,1400,259.17868,0.07178028,-5977506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KALIOPHILITE,K2Al2Si2O6,(C),298.15,1400,-4100637.524,266.0628993,-4215619.814,239.51858,KALIOPHILITE,KAlSiO4,,59.69012096,5.969012096,,Kaliophilite is KAlSiO4; Formel war anders,KALIOPHILITE,Kub,-4215.627,298.15,1400,1,-4100637.524,298.15,1400,239.51858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEUCITE,K2Al2Si4O12,(C),298.15,1400,6313720.547,368.1370218,6067032.846,328.19818,LEUCITE, K2Al2Si4O12,,88.67752823,8.867752823,Webmineral,die Daten sind für die einfache Formel,LEUCITE,Kub,6067.023,298.15,1400,1,6313720.547,298.15,1400,328.19818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICROCLINE,K2Al2Si6O16,(C),298.15,1473,-7576543.307,439.2533197,-7911714.574,380.8304585,MICROCLINE, K2Al2Si6O16,,108.6770577,10.86770577,Webmineral,die Daten sind für die einfache Formel,MICROCLINE,Kub,-7911.726,298.15,1473,1,-7576543.307,298.15,1473,571.98342,0.07730184,-19041016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDULARIA,K2Al2Si6O16,(C),298.15,1473,-7579417.438,468.5343197,-7905858.574,380.8304585,ANDULARIA, K2Al2Si6O16,Adular,109.0865633,10.90865633,,das sind noch die Orthoklas Daten. die Daten sind für die einfache Formel,ANDULARIA,Kub,-7905.87,298.15,1473,1,-7579417.438,298.15,1473,571.98342,0.07730184,-19041016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORDIERITE,Mg2Al4Si5O18,(C),298.15,1700,-8722020.749,407.0489168,-9109724.174,427.5127397,CORDIERITE, Mg2Al4Si5O18,Cordierit ,236.3118145,23.63118145,Webmineral,,CORDIERITE,Kub,-9109.737,298.15,1700,1,-8722020.749,298.15,1700,626.1951,0.0911894,-20078400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPHA-SPODUMEN,Al2Si4Li2O12,(C),298.15,1200,-5828622.741,258.5413726,-6091693.467,317.7587485,,,,,,,,ALPHA-SPODUMEN,Kub,-6091.703,298.15,1200,1,-5828622.741,298.15,1200,370.86478,0.13753704,-8366000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg2Al4Si5O18,[],(C),298.15,2000,-8721993.754,407.2646242,-9109680.022,427.5127397,Mg2Al4Si5O18, Mg2Al4Si5O18,Indialit,234.7611132,23.47611132,Webmineral,,Mg2Al4Si5O18,New,-9109.74,298.15,2000,1,-8721993.754,298.15,2000,626.1951,0.0911894,-20078400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETA-SPODUMENE,Al2Si4Li2O12,(C),298.15,1700,-5787536.678,308.7381542,-6035641.234,325.5255933,,,,,,,,BETA-SPODUMENE,Kub,-6035.651,298.15,1700,1,-5787536.678,298.15,1700,414.28432,0.0911894,-10306912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEFELIN-SINT.,NaAlSiO4,(C),298.15,1796,-1991789.57,124.24675,-2074764.526,115.7828884,NEFELIN-SINT., NaAlSiO4,Nephelin,54.90310454,5.490310454,Webmineral,data probably for Na0.75K0.25Al(SiO4),NEFELIN-SINT.,New,-2074.768,298.15,1796,3,-1991789.57,298.15,467,27.73329,0.2953198,0,0,0,0,467,1180,112.06257,0.06709532,0,0,0,0,1180,1796,171.96313,0.00552156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUCRYPTITE,Al2Si2Li2O8,(C),298.15,1600,-4060822.261,207.4996003,-4229424.202,226.5974808,,,,,,,,EUCRYPTITE,Kub,-4229.431,298.15,1600,2,-4060822.261,298.15,1300,308.45442,0.0568888,-8784300,0,0,0,1300,1600,259.346,0.100392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNEGIT,NaAlSiO4,(C),298.15,1700,-1991789.564,124.2469317,-2074764.471,117.5332472,KARNEGIT, NaAlSiO4,Tief-Carnegieit,57.93186496,5.793186496,Materialsproject,,KARNEGIT,New,-2074.768,298.15,1700,2,-1991789.564,298.15,980,123.56582,0.07178028,-2438690,0,0,0,980,1700,181.70952,0.00443398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JADEITE,Na2Al2Si4O12,(C),298.15,1750,-5770513.759,266.907566,-6040660.409,319.6799527,JADEITE, Na2Al2Si4O12,Jadeit,62.88560267,6.288560267,Materialsproject,die Daten sind für die einfache Formel,JADEITE,Kub,-6040.67,298.15,1750,1,-5770513.759,298.15,1750,402.90656,0.09553972,-9930442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOW_ALBIT,Na2Al2Si6O16,(C),298.15,1698,-7507672.978,420.0144127,-7841857.712,409.5901257,LOW_ALBIT, Na2Al2Si6O16,Albit,104.7150913,10.47150913,Materialsproject,Only data for normal albite was found. Data for Na=Al=1 ,LOW_ALBIT,Kub,-7841.87,298.15,1698,1,-7507672.978,298.15,1698,516.1822,0.1162874,-12557366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SILLIMANITE,Al2SiO5,(C),298.15,1500,-2475814.887,96.1795023,-2588436.323,122.5629804,SILLIMANITE, Al2SiO5,Sillimanit,49.87838084,4.987838084,Webmineral,,SILLIMANITE,New,-2588.44,298.15,1500,1,-2475814.887,298.15,1500,164.3919,0.03363132,-4609666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGH_ALBIT,Na2Al2Si6O16,(C),298.15,1688,8143091.569,457.6601051,7820130.898,396.5891585,,,,,,,,HIGH_ALBIT,Kub,7820.119,298.15,1688,2,8143091.569,298.15,973,565.45794,0.08165216,-17175398,0,0,0,973,1688,565.45794,0.08165216,-17175398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULLITE_1,Al6Si2O13,(C),298.15,2023,-6530468.894,274.8558318,-6817569.242,325.3592843,MULLITE, Al6Si2O13,Mullit,101.1900312,10.11900312,Webmineral,data for Al+Si=6 normalised formula,MULLITE,Kub,-6817.579,298.15,2023,2,-6530468.894,298.15,600,233.53689,0.6337245,-5584304,0,-0.000385882,0,600,2023,503.34039,0.03509537,-23006500,0,-2.5098E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIANITE,Al2SiO5,(C),298.15,1500,-2479972.612,92.1637441,-2593791.346,121.7851248,KIANITE, Al2SiO5,Kyanit,44.18143569,4.418143569,Webmineral,,KIANITE,New,-2593.795,298.15,1500,1,-2479972.612,298.15,1500,171.71215,0.02919734,-5212018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
