(NpO2)2(OH)2+2 Cl- 0.15
(NpO2)2(OH)2+2 ClO4- 0.57
(NpO2)3(CO3)6-6 Na+ -0.46
(NpO2)3(OH)5+ Cl- 0.05
(NpO2)3(OH)5+ ClO4- 0.45
(PuO2)2(OH)2+2 Cl- 0.15
(PuO2)2(OH)2+2 ClO4- 0.4
(PuO2)3(CO3)6-6 Na+ 0.37
(UEdtaOH)2-2 Na+ -0.1
(UO2)2(OH)2+2 Cl- 0.69
(UO2)2(OH)2+2 ClO4- 0.57
(UO2)2NpO2(CO3)6-6 Na+ 0.09
(UO2)2OH+3 Cl- 0.25
(UO2)2OH+3 ClO4- 0.6
(UO2)2PuO2(CO3)6-6 Na+ 0.37
(UO2)3(CO3)6-6 Na+ 0.37
(UO2)3(OH)4+2 Cl- 0.5
(UO2)3(OH)4+2 ClO4- 0.89
(UO2)3(OH)5+ Cl- 0.81
(UO2)3(OH)5+ ClO4- 0.45
(UO2)3(OH)7- Na+ -0.05
(UO2)3O(OH)2(HCO3)+ Cl- 0.05
(UO2)4(OH)7+ Cl- 0.05
(UO2)4(OH)7+ ClO4- 0.2
(UO2Cit)2-2 Na+ -0.1
Ac(Edta)- Na+ 0.01
Ac(Ox)2- Na+ 0.21
Ac(Ox)+ Cl- 0.08
Ac(Ox)+ ClO4- 0.08
AcCl+2 Cl- 0.4
AcCl+2 ClO4- 0.4
AcF2+ Cl- 0.2
AcF2+ ClO4- 0.2
AcF+2 Cl- 0.4
AcF+2 ClO4- 0.4
AcH2PO4+2 Cl- 0.4
AcH2PO4+2 ClO4- 0.4
AcOH+2 Cl- 0.4
AcOH+2 ClO4- 0.4
Ac+3 Cl- 0.6
Ac+3 ClO4- 0.6
AcSCN+2 Cl- 0.4
AcSCN+2 ClO4- 0.4
AcSO4+ Cl- 0.2
AcSO4+ ClO4- 0.2
Ag(CN)2- Na+ 0.23
Ag(CN)3-2 Na+ 0.3
Ag(HS)2- Na+ 0.1
Ag(OH)2- Na+ -0.05
Ag(OH)CN- Na+ 0.05
Ag(SeCN)3-2 Na+ -0.1
Ag2S(HS)2-2 Na+ 0.1
AgBr2- Na+ -0.05
AgBr3-2 Na+ -0.1
AgBr4-3 Na+ -0.15
AgCl2- Na+ -0.05
AgCl3-2 Na+ -0.1
AgCl4-3 Na+ -0.15
AgCO3- Na+ -0.05
AgHPO4- Na+ -0.05
AgI2- Na+ -0.05
AgI3-2 Na+ -0.1
AgI4-3 Na+ -0.15
AgSeO3- Na+ -0.05
AgSeO4- Na+ -0.05
AgSO4- Na+ -0.11
Al(OH)2F2- Na+ -0.05
Al(OH)2+ Cl- 0.05
Al(OH)4- Na+ -0.05
Al(SO4)2- Na+ -0.05
Al2(OH)2+4 Cl- 0.36
Al3(OH)4+5 Cl- 0.51
Al13(OH)32+7 Cl- 1.21
AlF2+ Cl- 0.05
AlF4- Na+ -0.05
AlF5-2 Na+ -0.1
AlF6-3 Na+ -0.15
AlF+2 Cl- 0.15
AlOH+2 Cl- 0.15
Al+3 Cl- 0.33
AlSiO(OH)3+2 Cl- 0.15
AlSiO(OH)3+2 ClO4- 0.4
AlSO4+ Cl- 0.05
Am(Cit)2-3 Na+ -0.15
Am(CO3)2- Na+ -0.14
Am(CO3)3-3 Na+ -0.23
Am(Edta)- Na+ 0.01
Am(Edta)OH-2 Na+ -0.1
Am(HCit)2- Na+ -0.05
Am(HCit)+ Cl- 0.2
Am(HCit)+ ClO4- 0.2
Am(Isa)- Na+ -0.05
Am(NO3)2+ Cl- 0.05
Am(NO3)2+ ClO4- 0.2
Am(OH)2+ Cl- -0.27
Am(OH)2+ ClO4- 0.17
Am(Ox)2- Na+ -0.21
Am(Ox)3-3 Na+ -0.23
Am(Ox)+ Cl- 0.08
Am(Ox)+ ClO4- 0.08
Am(SO4)2- Na+ -0.05
AmCl2+ Cl- 0.05
AmCl2+ ClO4- 0.17
AmCl+2 Cl- 0.15
AmCl+2 ClO4- 0.39
AmCO3+ Cl- 0.01
AmCO3+ ClO4- 0.17
AmF2+ Cl- 0.05
AmF2+ ClO4- 0.17
AmF+2 Cl- 0.15
AmF+2 ClO4- 0.39
AmH2PO4+2 Cl- 0.15
AmH2PO4+2 ClO4- 0.39
AmHCO3+2 Cl- 0.16
AmHCO3+2 ClO4- 0.4
AmHPO4+ Cl- 0.05
AmHPO4+ ClO4- 0.2
AmNO3+2 Cl- 0.15
AmNO3+2 ClO4- 0.39
AmO2(CO3)2-3 Na+ -0.33
AmO2(CO3)3-5 Na+ -0.53
AmO2(OH)2- Na+ -0.01
AmO2CO3- Na+ -0.18
AmO2+ Cl- 0.09
AmO2+ ClO4- 0.25
AmOH+2 Cl- -0.04
AmOH+2 ClO4- 0.39
Am+3 Cl- 0.23
Am+3 ClO4- 0.49
AmSCN+2 Cl- 0.15
AmSCN+2 ClO4- 0.39
AmSiO(OH)3+2 Cl- 0.42
AmSiO(OH)3+2 ClO4- 0.42
AmSO4+ Cl- 0.05
AmSO4+ ClO4- 0.22
AsO4-3 Na+ -0.15
B(OH)4- Na+ -0.07
BaF+ Cl- 0.05
BaH2PO4+ Cl- 0.05
BaHCO3+ Cl- 0.05
BaOH+ Cl- 0.05
Ba+2 Cl- 0.07
BaPO4- Na+ -0.05
BaUO2(CO3)3-2 Na+ -0.1
Br- Na+ 0.05
Ca(Cit)- Na+ 0.03
Ca(Edta)-2 Na+ -0.01
Ca(H2Cit)+ Cl- 0.05
Ca(H3Isa)+ Cl- 0.05
Ca(HCit) Cl- 0.01
Ca(HCit) ClO4- 0.01
Ca(HCit) Na+ 0.01
Ca(HEdta)- Na+ 0.11
Ca(Ox)2-2 Na+ -0.15
Ca2Am(OH)4+3 Cl- 0.29
Ca2Am(OH)4+3 ClO4- 0.6
Ca2Cm(OH)4+3 Cl- 0.29
Ca2Cm(OH)4+3 ClO4- 0.6
Ca2Zr(OH)6+2 Cl- 0.1
Ca2Zr(OH)6+2 ClO4- 0.3
Ca3Am(OH)6+3 ClO4- 0.6
Ca3Cm(OH)6+3 ClO4- 0.6
Ca3NpO2(OH)5+2 Cl- -0.2
Ca3NpO2(OH)5+2 ClO4- 0.4
Ca3Zr(OH)6+4 Cl- 0.4
Ca3Zr(OH)6+4 ClO4- 0.89
Ca4Np(OH)8+4 Cl- -0.01
Ca4Np(OH)8+4 ClO4- 0.8
Ca4Pu(OH)8+4 Cl- -0.01
Ca4Pu(OH)8+4 ClO4- 0.21
Ca4Th(OH)8+4 Cl- -0.01
Ca4Th(OH)8+4 ClO4- 0.21
CaAm(OH)3+2 Cl- 0.05
CaAm(OH)3+2 ClO4- 0.4
CaCm(OH)3+2 Cl- 0.05
CaCm(OH)3+2 ClO4- 0.4
CaF+ Cl- 0.1
CaH2PO4+ Cl- 0.05
CaHCO3+ Cl- 0.05
CaNpO2(OH)2+ Cl- -0.07
CaNpO2(OH)2+ ClO4- 0.2
CaOH+ Cl- 0.05
Ca+2 Cl- 0.14
CaPO4- Na+ -0.05
CaSiO(OH)3+ Cl- 0.05
CaSiO(OH)3+ ClO4- 0.2
CaUO2(CO3)3-2 Na+ -0.1
Cd(CO3)2-2 Na+ -0.1
Cd(HS)3- Na+ -0.05
Cd(HS)4-2 Na+ -0.1
Cd(OH)2 Cl- -0.005
Cd(OH)2 ClO4- -0.005
Cd(OH)2 Na+ -0.005
Cd(OH)3- Na+ -0.05
Cd(OH)4-2 Na+ 0.2
Cd(SO4)2-2 Na+ 0.1
Cd2OH+3 Cl- 0.56
Cd2OH+3 ClO4- 0.56
CdCl2 Cl- 0.01
CdCl2 ClO4- 0.01
CdCl2 Na+ 0.01
CdCl3- Na+ -0.08
CdCl4-2 Na+ -0.1
CdCl+ Cl- 0.12
CdCl+ ClO4- 0.12
CdH2PO4+ Cl- 0.2
CdH2PO4+ ClO4- 0.2
CdHCO3+ Cl- 0.2
CdHCO3+ ClO4- 0.2
CdHS+ Cl- 0.2
CdHS+ ClO4- 0.2
CdOH+ Cl- 0.04
CdOH+ ClO4- 0.04
Cd+2 Cl- 0.23
Cd+2 ClO4- 0.23
CdS(HS)- Na+ -0.05
CdSO4 Cl- 0.01
CdSO4 ClO4- 0.01
CdSO4 Na+ 0.01
CfF+2 Cl- 0.15
CfF+2 ClO4- 0.4
Cf+3 Cl- 0.25
Cf+3 ClO4- 0.6
CfSCN+2 Cl- 0.15
CfSCN+2 ClO4- 0.4
CfSO4+ Cl- 0.05
CfSO4+ ClO4- 0.2
Cit-3 Na+ -0.076
Cl- Hg+2 0.34
Cl- Ni+2 0.17
ClO4- HgOH+ 0.06
ClO4- Hg+2 0.34
ClO4- NiOH+ 0.14
ClO4- Ni+2 0.37
Cm(CO3)2- Na+ -0.14
Cm(CO3)3-3 Na+ -0.23
Cm(NO3)2+ Cl- 0.05
Cm(NO3)2+ ClO4- 0.2
Cm(OH)2+ Cl- -0.27
Cm(OH)2+ ClO4- 0.17
Cm(SO4)2- Na+ -0.05
CmCl2+ Cl- 0.05
CmCl2+ ClO4- 0.17
CmCl+2 Cl- 0.15
CmCl+2 ClO4- 0.39
CmCO3+ Cl- 0.01
CmCO3+ ClO4- 0.17
CmF2+ Cl- 0.05
CmF2+ ClO4- 0.17
CmF+2 Cl- 0.15
CmF+2 ClO4- 0.39
CmH2PO4+2 Cl- 0.15
CmH2PO4+2 ClO4- 0.39
CmHCO3+2 Cl- 0.16
CmHCO3+2 ClO4- 0.4
CmHPO4+ Cl- 0.05
CmHPO4+ ClO4- 0.2
CmNO3+2 Cl- 0.15
CmNO3+2 ClO4- 0.39
CmOH+2 Cl- -0.04
CmOH+2 ClO4- 0.39
Cm+3 Cl- 0.23
Cm+3 ClO4- 0.49
CmSCN+2 Cl- 0.15
CmSCN+2 ClO4- 0.39
CmSiO(OH)3+2 Cl- 0.42
CmSiO(OH)3+2 ClO4- 0.42
CmSO4+ Cl- 0.05
CmSO4+ ClO4- 0.22
CN- Na+ 0.07
CO3-2 Na+ -0.08
Cs+ Cl- 0.05
Cs+ ClO4- 0.2
Cu(CO3)2-2 Na+ 0.34
Cu(CO3)OH- Na+ 0.1
Cu(H2PO4)(HPO4)-2 Na+ -0.06
Cu(H2PO4)(HPO4)- Na+ 0.007
Cu(H2PO4)2 Cl- 0.015
Cu(H2PO4)2 ClO4- 0.015
Cu(H2PO4)2 Na+ 0.015
Cu(H2PO4)2- Na+ -0.04
Cu(HPO4)2-2 Na+ -0.02
Cu(HS)2- Na+ -0.05
Cu(OH)2 Cl- 0.09
Cu(OH)2 ClO4- 0.09
