#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,Am+3,1,Am+3,0.23,0.02,0.49,0.03,,,0,,0,,0,,0,,0,
,AmO2+,2,AmO2+,0.09,0.05,0.25,0.05,,,0,,0,,0,,0,,0,
1,AmO2OH(aq),3,AmO2OH(aq),0,,0,,0,,0,,0,,0,,0,,0,
2,AmO2(OH)2-,4,AmO2(OH)2-,0,,0,,0,,,,-0.01,0.07,,,0,,0,
3,AmO2CO3-,5,AmO2CO3-,0,,0,,0,,,,-0.18,0.15,,,0,,0,
4,AmO2(CO3)2-3,6,AmO2(CO3)2-3,0,,0,,0,,,,-0.33,0.17,,,0,,0,
5,AmO2(CO3)3-5,7,AmO2(CO3)3-5,0,,0,,0,,,,-0.53,0.19,-0.22,0.03,0,,0,
6,AmOH+2,8,AmOH+2,-0.04,0.07,0.39,0.1,,,0,,0,,0,,0,,0,
7,Am(OH)2+,9,Am(OH)2+,-0.27,0.2,0.17,0.1,,,0,,0,,0,,0,,0,
8,Am(OH)3(aq),10,Am(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
9,CaAm(OH)3+2,11,CaAm(OH)3+2,0.05,0.04,0.4,0.1,,,0,,0,,0,,0,,0,
10,Ca2Am(OH)4+3,12,Ca2Am(OH)4+3,0.29,0.07,0.6,0.1,,,0,,0,,0,,0,,0,
11,Ca3Am(OH)6+3,13,Ca3Am(OH)6+3,0,0.06,0.6,0.1,,,0,,0,,0,,0,,0,
12,AmF+2,14,AmF+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
13,AmF2+,15,AmF2+,0.05,0.1,0.17,0.1,,,0,,0,,0,,0,,0,
14,AmCl+2,16,AmCl+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
15,AmCl2+,17,AmCl2+,0.05,0.1,0.17,0.1,,,0,,0,,0,,0,,0,
16,AmSO4+,18,AmSO4+,0.05,0.1,0.22,0.08,,,0,,0,,0,,0,,0,
17,Am(SO4)2-,19,Am(SO4)2-,0,,0,,0,,,,-0.05,0.05,,,0,,0,
18,AmNO3+2,20,AmNO3+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
19,Am(NO3)2+,21,Am(NO3)2+,0.05,0.10,0.2,0.1,,,0,,0,,0,,0,,0,
20,AmH2PO4+2,22,AmH2PO4+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
21,AmHPO4+,23,AmHPO4+,0.05,0.10,0.2,0.1,,,0,,0,,0,,0,,0,
22,AmCO3+,24,AmCO3+,0.01,0.05,0.17,0.1,,,0,,0,,0,,0,,0,
23,Am(CO3)2-,25,Am(CO3)2-,0,,0,,0,,,,-0.14,0.06,,,0,,0,
24,Am(CO3)3-3,26,Am(CO3)3-3,0,,0,,0,,,,-0.23,0.07,,,0,,0,
25,AmHCO3+2,27,AmHCO3+2,0.16,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
26,AmSCN+2,28,AmSCN+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
