#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,Cm+3,1,Cm+3,0.23,0.02,0.49,0.03,,,0,,0,,0,,0,,0,
1,CmOH+2,2,CmOH+2,-0.04,0.07,0.39,0.1,,,0,,0,,0,,0,,0,
2,Cm(OH)2+,3,Cm(OH)2+,-0.27,0.2,0.17,0.1,,,0,,0,,0,,0,,0,
3,Cm(OH)3(aq),4,Cm(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
4,CaCm(OH)3+2,5,CaCm(OH)3+2,0.05,0.04,0.4,0.1,,,0,,0,,0,,0,,0,
5,Ca2Cm(OH)4+3,6,Ca2Cm(OH)4+3,0.29,0.07,0.6,0.1,,,0,,0,,0,,0,,0,
6,Ca3Cm(OH)6+3,7,Ca3Cm(OH)6+3,0,0.06,0.6,0.1,,,0,,0,,0,,0,,0,
7,CmF+2,8,CmF+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
8,CmF2+,9,CmF2+,0.05,0.1,0.17,0.1,,,0,,0,,0,,0,,0,
9,CmCl+2,10,CmCl+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
10,CmCl2+,11,CmCl2+,0.05,0.1,0.17,0.1,,,0,,0,,0,,0,,0,
11,CmSO4+,12,CmSO4+,0.05,0.1,0.22,0.08,,,0,,0,,0,,0,,0,
12,Cm(SO4)2-,13,Cm(SO4)2-,0,,0,,0,,,,-0.05,0.05,,,0,,0,
13,CmNO3+2,14,CmNO3+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
14,Cm(NO3)2+,15,Cm(NO3)2+,0.05,0.10,0.2,0.1,,,0,,0,,0,,0,,0,
15,CmH2PO4+2,16,CmH2PO4+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
16,CmHPO4+,17,CmHPO4+,0.05,0.10,0.2,0.1,,,0,,0,,0,,0,,0,
17,CmCO3+,18,CmCO3+,0.01,0.05,0.17,0.1,,,0,,0,,0,,0,,0,
18,Cm(CO3)2-,19,Cm(CO3)2-,0,,0,,0,,,,-0.14,0.06,,,0,,0,
19,Cm(CO3)3-3,20,Cm(CO3)3-3,0,,0,,0,,,,-0.23,0.07,,,0,,0,
20,CmHCO3+2,21,CmHCO3+2,0.16,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
21,CmSCN+2,22,CmSCN+2,0.15,0.1,0.39,0.1,,,0,,0,,0,,0,,0,
