#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
41,Fe(CN)6-3,32,Fe(CN)6-3,0,,0,,0,,,,-0.15,0.2,,,0,,0,
17,Fe(CN)6-4,12,Fe(CN)6-4,0,,0,,0,,,,-0.2,0.3,,,0,,0,
16,Fe(CO3)2-2,11,Fe(CO3)2-2,0,,0,,0,,,,-0.05,0.05,,,0,,0,
39,Fe(CO3)3-3,31,Fe(CO3)3-3,0,,0,,0,,,,-0.23,0.07,,,0,,0,
38,Fe(H2PO4)3(aq),45,Fe(H2PO4)3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
12,Fe(HSeO4)2(aq),39,Fe(HSeO4)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
2,Fe(OH)2(aq),36,Fe(OH)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
22,Fe(OH)2+,18,Fe(OH)2+,0.43,0.1,0.43,0.1,,,0,,0,,0,,0,,0,
3,Fe(OH)3-,3,Fe(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
23,Fe(OH)3(aq),42,Fe(OH)3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
24,Fe(OH)4-,19,Fe(OH)4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
40,Fe(OH)CO3(aq),46,Fe(OH)CO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
44,Fe(SCN)2+,35,Fe(SCN)2+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
34,Fe(SO4)2-,28,Fe(SO4)2-,0,,0,,0,,,,0.24,0.14,,,0,,0,
8,Fe(SO4)2-2,6,Fe(SO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,Fe+2,1,Fe+2,0.17,0.01,0.37,0.04,0.14,0.03,0,,0,,0,,0,,0,
,Fe+3,16,Fe+3,0.76,0.03,0.73,0.04,0.26,0.08,0,,0,,0,,0,,0,
25,Fe2(OH)2+4,20,Fe2(OH)2+4,1,0.1,1,0.1,,,0,,0,,0,,0,,0,
26,Fe3(OH)4+5,21,Fe3(OH)4+5,1,0.2,1,0.2,,,0,,0,,0,,0,,0,
5,FeCl+,5,FeCl+,0.16,0.01,0.2,0.1,,,0,,0,,0,,0,,0,
29,FeCl+2,24,FeCl+2,0.64,0.06,0.63,0.05,,,0,,0,,0,,0,,0,
30,FeCl2+,25,FeCl2+,0.52,0.05,0.52,0.05,,,0,,0,,0,,0,,0,
31,FeCl3(aq),43,FeCl3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
32,FeCl4-,26,FeCl4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
15,FeCO3(aq),41,FeCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
4,FeF+,4,FeF+,0.05,0.1,0.34,0.07,,,0,,0,,0,,0,,0,
27,FeF+2,22,FeF+2,0.46,0.08,0.46,0.08,,,0,,0,,0,,0,,0,
28,FeF2+,23,FeF2+,0.1,0.3,0.1,0.3,,,0,,0,,0,,0,,0,
14,FeH2PO4+,10,FeH2PO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
13,FeHPO4(aq),40,FeHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
11,FeHSeO3(H2SeO3)+,9,FeHSeO3(H2SeO3)+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
10,FeHSeO3+,8,FeHSeO3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
9,FeHSO4+,7,FeHSO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
35,FeHSO4+2,29,FeHSO4+2,0.58,0.13,0.58,0.13,,,0,,0,,0,,0,,0,
1,FeOH+,2,FeOH+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
21,FeOH+2,17,FeOH+2,0.27,0.05,0.27,0.05,,,0,,0,,0,,0,,0,
37,FePO4(aq),44,FePO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
6,FeS(aq),37,FeS(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
43,FeSCN+2,34,FeSCN+2,0.49,0.05,0.49,0.05,0.13,0.04,0,,0,,0,,0,,0,
36,FeSeO3+,30,FeSeO3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
7,FeSO4(aq),38,FeSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
33,FeSO4+,27,FeSO4+,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
19,H2Fe(CN)6-2,14,H2Fe(CN)6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
18,HFe(CN)6-3,13,HFe(CN)6-3,0,,0,,0,,,,-0.15,0.2,,,0,,0,
42,KFe(CN)6-2,33,KFe(CN)6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
20,KFe(CN)6-3,15,KFe(CN)6-3,0,,0,,0,,,,-0.15,0.2,,,0,,0,
