#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
1,LiPO4-2,1,LiPO4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
2,LiHPO4-,2,LiHPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
3,LiH2PO4(aq),3,LiH2PO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
4,NaPO4-2,4,NaPO4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
5,NaHPO4-,5,NaHPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
6,NaH2PO4(aq),6,NaH2PO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
7,KPO4-2,7,KPO4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
8,KHPO4-,8,KHPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
9,KH2PO4(aq),9,KH2PO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
10,MgPO4-,10,MgPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
11,MgHPO4(aq),11,MgHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
12,MgH2PO4+,12,MgH2PO4+,0.05,0.1,,,,,0,,0,,0,,0,,0,
13,CaPO4-,13,CaPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
14,CaHPO4(aq),14,CaHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
15,CaH2PO4+,15,CaH2PO4+,0.05,0.1,,,,,0,,0,,0,,0,,0,
16,SrPO4-,16,SrPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
17,SrHPO4(aq),17,SrHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
18,SrH2PO4+,18,SrH2PO4+,0.05,0.1,,,,,0,,0,,0,,0,,0,
19,BaPO4-,19,BaPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
20,BaHPO4(aq),20,BaHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
21,BaH2PO4+,21,BaH2PO4+,0.05,0.1,,,,,0,,0,,0,,0,,0,
