#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
2,Pa(OH)2+2,3,Pa(OH)2+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
3,Pa(OH)3+,4,Pa(OH)3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
,Pa+4,1,Pa+4,0.35,0.1,0.8,0.1,,,0,,0,,0,,0,,0,
,PaO(OH)+2,6,PaO(OH)+2,0.15,0.1,0.39,0.14,,,0,,0,,0,,0,,0,
5,PaO(OH)2+,7,PaO(OH)2+,0.05,0.1,0.26,0.13,,,0,,0,,0,,0,,0,
6,PaO(OH)3(aq),8,PaO(OH)3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
7,PaO(OH)4-,9,PaO(OH)4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
12,PaO(SO4)2-,14,PaO(SO4)2-,0,,0,,0,,,,0.22,0.19,,,0,,0,
13,PaO(SO4)3-3,15,PaO(SO4)3-3,0,,0,,0,,,,0.03,0.2,,,0,,0,
4,PaO+3,5,PaO+3,0.25,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
8,PaOF+2,10,PaOF+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
9,PaOF2+,11,PaOF2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
10,PaOF3(aq),12,PaOF3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
1,PaOH+3,2,PaOH+3,0.25,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
11,PaOSO4+,13,PaOSO4+,0.05,0.1,0.59,0.21,,,0,,0,,0,,0,,0,
