#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
1,Pb(aq),1,Pb(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
14,Pb(CO3)2-2,15,Pb(CO3)2-2,0,,0,,0,,,,-0.2,0.12,,,0,,0,
17,Pb(CO3)Cl-,18,Pb(CO3)Cl-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
16,Pb(CO3)OH-,17,Pb(CO3)OH-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
19,Pb(HPO4)2-2,20,Pb(HPO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
23,Pb(HS)2(aq),24,Pb(HS)2(aq),0,,0,,0,,0,,0,,0,,0.055,0.1,0.055,0.1
3,Pb(OH)2(aq),4,Pb(OH)2(aq),0,,0,,0,,0,,0,,0,,-0.26,0.05,-0.26,0.05
4,Pb(OH)3-,5,Pb(OH)3-,0,,0,,0,,,,-0.01,0.06,,,0,,0,
22,Pb(SO4)2-2,23,Pb(SO4)2-2,0,,0,,0,,,,-0.11,0.2,,,0,,0,
,Pb+2,2,Pb+2,0.15,0.02,0.15,0.02,,,0,,0,,0,,0,,0,
5,Pb2OH+3,6,Pb2OH+3,0.34,0.1,0.34,0.1,,,0,,0,,0,,0,,0,
6,Pb3(OH)4+2,7,Pb3(OH)4+2,-0.5,0.06,-0.5,0.06,,,0,,0,,0,,0,,0,
7,Pb4(OH)4+4,8,Pb4(OH)4+4,-0.15,0.06,-0.15,0.06,,,0,,0,,0,,0,,0,
8,Pb6(OH)8+4,9,Pb6(OH)8+4,-0.63,0.08,-0.63,0.08,,,0,,0,,0,,0,,0,
9,PbCl+,10,PbCl+,0.04,0.02,0.04,0.02,,,0,,0,,0,,0,,0,
10,PbCl2(aq),11,PbCl2(aq),0,,0,,0,,0,,0,,0,,-0.05,0.03,-0.05,0.03
11,PbCl3-,12,PbCl3-,0,,0,,0,,,,-0.08,0.04,,,0,,0,
12,PbCl4-2,13,PbCl4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
13,PbCO3(aq),14,PbCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
20,PbH2PO4+,21,PbH2PO4+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
15,PbHCO3+,16,PbHCO3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
18,PbHPO4(aq),19,PbHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
2,PbOH+,3,PbOH+,-0.05,0.05,-0.05,0.05,,,0,,0,,0,,0,,0,
24,PbS(HS)-,25,PbS(HS)-,0,,0,,0,,,,0.08,0.1,,,0,,0,
21,PbSO4(aq),22,PbSO4(aq),0,,0,,0,,0,,0,,0,,0.05,0.07,0.05,0.07
