#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
1,Pd(aq),1,Pd(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,Pd+2,2,Pd+2,0.82,0.13,0.82,0.13,,,0,,0,,0,,0,,0,
2,PdOH+,3,PdOH+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
3,Pd(OH)2(aq),4,Pd(OH)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
4,Pd(OH)3-,5,Pd(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
5,PdCl+,6,PdCl+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
6,PdCl2(aq),7,PdCl2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
7,PdCl3-,8,PdCl3-,0,,0,,0,,,,-0.02,0.1,,,0,,0,
8,PdCl4-2,9,PdCl4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
9,PdNH3+2,10,PdNH3+2,0.82,0.13,0.82,0.13,,,0,,0,,0,,0,,0,
10,Pd(NH3)2+2,11,Pd(NH3)2+2,0.82,0.13,0.82,0.13,,,0,,0,,0,,0,,0,
11,Pd(NH3)3+2,12,Pd(NH3)3+2,0.82,0.13,0.82,0.13,,,0,,0,,0,,0,,0,
12,Pd(NH3)4+2,13,Pd(NH3)4+2,0.82,0.13,0.82,0.13,,,0,,0,,0,,0,,0,
