#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,Sm+3,1,Sm+3,0.25,0.01,0.47,0.01,0.07,0.01,0,,0,,0,,0,,0,
1,SmOH+2,2,SmOH+2,0.15,0.1,-0.2,0.21,,,0,,0,,0,,0,,0,
2,Sm(OH)2+,3,Sm(OH)2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
3,Sm(OH)3(aq),4,Sm(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
4,Sm(OH)4-,5,Sm(OH)4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
5,Sm2(OH)2+4,6,Sm2(OH)2+4,0.35,0.1,0.71,0.13,,,0,,0,,0,,0,,0,
6,Sm3(OH)5+4,7,Sm3(OH)5+4,0.35,0.1,0.48,0.17,,,0,,0,,0,,0,,0,
7,SmF+2,8,SmF+2,0.15,0.03,0.32,0.03,0,0.04,0,,0,,0,,0,,0,
8,SmF2+,9,SmF2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
9,SmSO4+,10,SmSO4+,0.05,0.1,0.27,0.09,,,0,,0,,0,,0,,0,
10,Sm(SO4)2-,11,Sm(SO4)2-,0,,0,,0,,,,0.22,0.2,,,0,,0,
11,SmCO3+,12,SmCO3+,0.05,0.1,0.15,0.18,,,0,,0,,0,,0,,0,
12,Sm(CO3)2-,13,Sm(CO3)2-,0,,0,,0,,,,-1.17,0.32,,,0,,0,
13,SmH2PO4+2,14,SmH2PO4+2,0.15,0.1,0.18,0.08,,,0,,0,,0,,0,,0,
,Eu+3,15,Eu+3,0.26,0.005,0.47,0.01,0.08,0.001,0,,0,,0,,0,,0,
14,EuOH+2,16,EuOH+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
15,Eu(OH)2+,17,Eu(OH)2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
16,Eu(OH)3(aq),18,Eu(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
17,Eu(OH)4-,19,Eu(OH)4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
18,EuF+2,20,EuF+2,0.15,0.03,0.32,0.03,0.01,0.03,0,,0,,0,,0,,0,
19,EuF2+,21,EuF2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
20,EuSO4+,22,EuSO4+,0.05,0.1,0.27,0.09,,,0,,0,,0,,0,,0,
21,Eu(SO4)2-,23,Eu(SO4)2-,0,,0,,0,,,,0.22,0.2,,,0,,0,
22,EuCO3+,24,EuCO3+,0.05,0.1,0.15,0.18,,,0,,0,,0,,0,,0,
23,Eu(CO3)2-,25,Eu(CO3)2-,0,,0,,0,,,,-1.17,0.32,,,0,,0,
24,EuH2PO4+2,26,EuH2PO4+2,0.15,0.1,0.18,0.08,,,0,,0,,0,,0,,0,
,Ho+3,27,Ho+3,0.29,0.01,0.49,0.01,0.16,0.01,0,,0,,0,,0,,0,
25,HoOH+2,28,HoOH+2,0.15,0.1,-0.05,0.12,,,0,,0,,0,,0,,0,
26,Ho(OH)2+,29,Ho(OH)2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
27,Ho(OH)3(aq),30,Ho(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
28,Ho(OH)4-,31,Ho(OH)4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
29,HoF+2,32,HoF+2,0.18,0.03,0.34,0.03,0.09,0.04,0,,0,,0,,0,,0,
30,HoF2+,33,HoF2+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
31,HoSO4+,34,HoSO4+,0.05,0.1,0.27,0.09,,,0,,0,,0,,0,,0,
32,Ho(SO4)2-,35,Ho(SO4)2-,0,,0,,0,,,,0.22,0.2,,,0,,0,
33,HoCO3+,36,HoCO3+,0.05,0.1,0.15,0.18,,,0,,0,,0,,0,,0,
34,Ho(CO3)2-,37,Ho(CO3)2-,0,,0,,0,,,,-1.17,0.32,,,0,,0,
35,HoH2PO4+2,38,HoH2PO4+2,0.15,0.1,0.18,0.08,,,0,,0,,0,,0,,0,
