#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
20,Sn(H2PO4)2(aq),34,Sn(H2PO4)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
23,Sn(HPO4)2-2,15,Sn(HPO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
24,Sn(HPO4)3-4,16,Sn(HPO4)3-4,0,,0,,0,,,,-0.2,0.3,,,0,,0,
18,Sn(NO3)2(aq),33,Sn(NO3)2(aq),0,,0,,0,,0,,0,,0,,0.13,0.111,0.13,0.111
2,Sn(OH)2(aq),27,Sn(OH)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
3,Sn(OH)3-,3,Sn(OH)3-,0,,0,,0,,,,0.22,0.03,,,0,,0,
27,Sn(OH)4(aq),36,Sn(OH)4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
28,Sn(OH)5-,20,Sn(OH)5-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
29,Sn(OH)6-2,21,Sn(OH)6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
5,Sn(OH)Cl(aq),28,Sn(OH)Cl(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,Sn+2,1,Sn+2,0.14,0.1,0.19,0.04,,,0,,0,,0,,0,,0,
,Sn+4,19,Sn+4,0.7,0.2,0.7,0.2,,,0,,0,,0,,0,,0,
4,Sn3(OH)4+2,4,Sn3(OH)4+2,-0.02,0.16,-0.02,0.16,,,0,,0,,0,,0,,0,
13,SnBr+,10,SnBr+,0.15,0.07,0.15,0.07,,,0,,0,,0,,0,,0,
14,SnBr2(aq),31,SnBr2(aq),0,,0,,0,,0,,0,,0,,0.14,0.07,0.14,0.07
15,SnBr3-,11,SnBr3-,0,,0,,0,,,,0.16,0.08,,,0,,0,
9,SnCl+,7,SnCl+,0.04,0.05,0.04,0.05,,,0,,0,,0,,0,,0,
31,SnCl+3,23,SnCl+3,0.56,0.21,0.56,0.21,,,0,,0,,0,,0,,0,
10,SnCl2(aq),30,SnCl2(aq),0,,0,,0,,0,,0,,0,,0,0.06,0,0.06
32,SnCl2+2,24,SnCl2+2,0.49,0.2,0.49,0.2,,,0,,0,,0,,0,,0,
11,SnCl3-,8,SnCl3-,0,,0,,0,,,,0.07,0.06,,,0,,0,
12,SnCl4-2,9,SnCl4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
33,SnCl4(aq),37,SnCl4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
34,SnCl5-,25,SnCl5-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
35,SnCl6-2,26,SnCl6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
6,SnF+,5,SnF+,0.14,0.1,0.14,0.1,,,0,,0,,0,,0,,0,
7,SnF2(aq),29,SnF2(aq),0,,0,,0,,0,,0,,0,,0.01,0.1,0.01,0.1
8,SnF3-,6,SnF3-,0,,0,,0,,,,-0.05,0.31,,,0,,0,
30,SnF6-2,22,SnF6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
19,SnH2PO4+,13,SnH2PO4+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
21,SnH2PO4HPO4-,14,SnH2PO4HPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
22,SnHPO4(aq),35,SnHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
17,SnNO3+,12,SnNO3+,0.17,0.09,0.17,0.09,,,0,,0,,0,,0,,0,
1,SnOH+,2,SnOH+,-0.07,0.13,-0.07,0.13,,,0,,0,,0,,0,,0,
25,SnPO4-,17,SnPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
26,SnSCN+,18,SnSCN+,-0.17,0.29,-0.17,0.29,,,0,,0,,0,,0,,0,
16,SnSO4(aq),32,SnSO4(aq),0,,0,,0,,0,,0,,0,,0.19,0.35,0.19,0.35
