#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,Tc+3,1,Tc+3,0.25,0.10,0.6,0.1,,,0,,0,,0,,0,,0,
,TcO(OH)2(aq),2,TcO(OH)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
1,TcO(OH)3-,3,TcO(OH)3-,0,,0,,0,,,,-0.08,0.04,,,0,,0,
2,Tc2O2(OH)2+2,4,Tc2O2(OH)2+2,-0.43,0.11,0.4,0.1,,,0,,0,,0,,0,,0,
7,TcCl6-2,5,TcCl6-2,0,,0,,0,,,,-0.10,0.10,,,0,,0,
6,TcCl5-,6,TcCl5-,0,,0,,0,,,,-0.05,0.10,,,0,,0,
5,Tc2OCl10-4,7,Tc2OCl10-4,0,,0,,0,,,,0.89,0.4,,,0,,0,
3,TcCO3(OH)2(aq),8,TcCO3(OH)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
4,TcCO3(OH)3-,9,TcCO3(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,TcO4-,10,TcO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
