#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
50,Al(OH)2+,41,Al(OH)2+,0.05,0.1,,,,,0,,0,,0,,0,,0,
63,Al(OH)2F(aq),54,Al(OH)2F(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
64,Al(OH)2F2-,55,Al(OH)2F2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
51,Al(OH)3(aq),42,Al(OH)3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
52,Al(OH)4-,43,Al(OH)4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
66,Al(SO4)2-,57,Al(SO4)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,Al+3,39,Al+3,0.33,0.02,,,,,0,,0,,0,,0,,0,
55,Al13(OH)32+7,46,Al13(OH)32+7,1.21,0.08,,,,,0,,0,,0,,0,,0,
53,Al2(OH)2+4,44,Al2(OH)2+4,0.36,0.08,,,,,0,,0,,0,,0,,0,
54,Al3(OH)4+5,45,Al3(OH)4+5,0.51,0.07,,,,,0,,0,,0,,0,,0,
56,AlF+2,47,AlF+2,0.15,0.1,,,,,0,,0,,0,,0,,0,
57,AlF2+,48,AlF2+,0.05,0.1,,,,,0,,0,,0,,0,,0,
58,AlF3(aq),49,AlF3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
59,AlF4-,50,AlF4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
60,AlF5-2,51,AlF5-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
61,AlF6-3,52,AlF6-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
49,AlOH+2,40,AlOH+2,0.15,0.1,,,,,0,,0,,0,,0,,0,
62,AlOHF2(aq),53,AlOHF2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
65,AlSO4+,56,AlSO4+,0.05,0.2,,,,,0,,0,,0,,0,,0,
,Ba+2,33,Ba+2,0.07,0.01,,,,,0,,0,,0,,0,,0,
30,BaCO3(aq),37,BaCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
29,BaF+,35,BaF+,0.05,0.1,,,,,0,,0,,0,,0,,0,
31,BaHCO3+,36,BaHCO3+,0.05,0.1,,,,,0,,0,,0,,0,,0,
28,BaOH+,34,BaOH+,0.05,0.1,,,,,0,,0,,0,,0,,0,
32,BaSO4(aq),38,BaSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
,Ca+2,21,Ca+2,0.14,0.01,,,,,0,,0,,0,,0,,0,
20,CaCO3(aq),25,CaCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
19,CaF+,23,CaF+,0.1,0.06,,,,,0,,0,,0,,0,,0,
21,CaHCO3+,24,CaHCO3+,0.05,0.1,,,,,0,,0,,0,,0,,0,
18,CaOH+,22,CaOH+,0.05,0.1,,,,,0,,0,,0,,0,,0,
22,CaSO4(aq),26,CaSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
,K+,10,K+,0,0.01,,,,,0,,0,,0,,0,,0,
10,KCO3-,13,KCO3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
11,KHCO3(aq),12,KHCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
9,KOH(aq),11,KOH(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
12,KSO4-,14,KSO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,Li+,1,Li+,0.1,0.01,,,,,0,,0,,0,,0,,0,
2,LiF(aq),3,LiF(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
1,LiOH(aq),2,LiOH(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
3,LiSO4-,4,LiSO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,Mg+2,15,Mg+2,0.19,0.02,,,,,0,,0,,0,,0,,0,
15,MgCO3(aq),19,MgCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,
14,MgF+,17,MgF+,-0.02,0.06,,,,,0,,0,,0,,0,,0,
16,MgHCO3+,18,MgHCO3+,0.05,0.1,,,,,0,,0,,0,,0,,0,
