#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,Ox-2,1,Ox-2,0,,0,,0,,,,-0.08,0.01,0.07,0.08,0,,0,
1,HOx-,2,HOx-,0,,0,,0,,,,-0.07,0.01,-0.01,0.08,0,,0,
2,H2Ox(aq),3,H2Ox(aq),0,,0,,0,,0,,0,,0,,0,0.01,0,0.01
,Cit-3,4,Cit-3,0,,0,,0,,,,-0.076,0.03,0.02,0.02,0,,0,
3,HCit-2,5,HCit-2,0,,0,,0,,,,-0.04,0.02,-0.01,0.02,0,,0,
4,H2Cit-,6,H2Cit-,0,,0,,0,,,,-0.05,0.01,-0.04,0.01,0,,0,
5,H3Cit(aq),7,H3Cit(aq),0,,0,,0,,0,,0,,0,,0,0.01,0,0.01
,Edta-4,8,Edta-4,0,,0,,0,,,,0.32,0.14,1.07,0.19,0,,0,
6,HEdta-3,9,HEdta-3,0,,0,,0,,,,-0.1,0.14,0.31,0.18,0,,0,
7,H2Edta-2,10,H2Edta-2,0,,0,,0,,,,-0.37,0.14,-0.17,0.18,0,,0,
8,H3Edta-,11,H3Edta-,0,,0,,0,,,,-0.33,0.14,-0.14,0.17,0,,0,
9,H4Edta(aq),12,H4Edta(aq),0,,0,,0,,0,,0,,0,,-0.29,0.14,-0.29,0.14
10,H5Edta+,13,H5Edta+,-0.23,0.15,-0.23,0.15,,,0,,0,,0,,0,,0,
11,H6Edta+2,14,H6Edta+2,-0.2,0.16,-0.2,0.16,,,0,,0,,0,,0,,0,
,H3Isa-,15,H3Isa-,0,,0,,0,,,,-0.05,0.1,-0.05,0.1,0,,0,
12,H4Isa(aq),16,H4Isa(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
13,Na(Edta)-3,17,Na(Edta)-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
14,KEdta-3,18,KEdta-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
15,Mg(Ox)(aq),19,Mg(Ox)(aq),0,,0,,0,,0,,0,,0,,0,0.03,,
16,Mg(Ox)2-2,20,Mg(Ox)2-2,0,,0,,0,,,,-0.15,0.03,,,0,,0,
22,Ca(Ox)(aq),21,Ca(Ox)(aq),0,,0,,0,,0,,0,,0,,0,0.03,,
23,Ca(Ox)2-2,22,Ca(Ox)2-2,0,,0,,0,,,,-0.15,0.03,,,0,,0,
17,Mg(Cit)-,23,Mg(Cit)-,0,,0,,0,,,,0.03,0.03,,,0,,0,
18,Mg(HCit)(aq),24,Mg(HCit)(aq),0,,0,,0,,0,,0,,0,,0.02,0.05,,
19,Mg(H2Cit)+,25,Mg(H2Cit)+,0.05,0.1,,,,,0,,0,,0,,0,,0,
24,Ca(Cit)-,26,Ca(Cit)-,0,,0,,0,,,,0.03,0.03,,,0,,0,
25,Ca(HCit)(aq),27,Ca(HCit)(aq),0,,0,,0,,0,,0,,0,,0.02,0.05,,
26,Ca(H2Cit)+,28,Ca(H2Cit)+,0.05,0.1,,,,,0,,0,,0,,0,,0,
20,Mg(Edta)-2,29,Mg(Edta)-2,0,,0,,0,,,,-0.01,0.15,,,0,,0,
21,Mg(HEdta)-,30,Mg(HEdta)-,0,,0,,0,,,,0.11,0.2,,,0,,0,
27,Ca(Edta)-2,31,Ca(Edta)-2,0,,0,,0,,,,-0.01,0.15,,,0,,0,
28,Ca(HEdta)-,32,Ca(HEdta)-,0,,0,,0,,,,0.11,0.2,,,0,,0,
29,Ca(H3Isa)+,33,Ca(H3Isa)+,0.05,0.1,,,,,0,,0,,0,,0,,0,
30,Ca(H2Isa)(aq),34,Ca(H2Isa)(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
31,Ni(Ox)(aq),35,Ni(Ox)(aq),0,,0,,0,,0,,0,,0,,-0.07,0.03,,
32,Ni(Ox)2-2,36,Ni(Ox)2-2,0,,0,,0,,,,-0.26,0.03,,,0,,0,
36,Ni(H2Cit)+,37,Ni(H2Cit)+,0.12,0.5,0.12,0.5,,,0,,0,,0,,0,,0,
35,Ni(HCit)(aq),38,Ni(HCit)(aq),0,,0,,0,,0,,0,,0,,-0.07,0.5,-0.07,0.5
33,Ni(Cit)-,39,Ni(Cit)-,0,,0,,0,,,,0.22,0.5,,,0,,0,
34,Ni(Cit)2-4,40,Ni(Cit)2-4,0,,0,,0,,,,-0.2,0.1,,,0,,0,
38,Ni(HEdta)-,41,Ni(HEdta)-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
37,Ni(Edta)-2,42,Ni(Edta)-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
39,Ni(H3Isa)+,43,Ni(H3Isa)+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
40,UOx+2,44,UOx+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
41,U(Ox)2(aq),45,U(Ox)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
42,U(Ox)3-2,46,U(Ox)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
43,U(Ox)4-4,47,U(Ox)4-4,0,,0,,0,,,,-0.2,0.1,,,0,,0,
44,UEdta(aq),48,UEdta(aq),0,,0,,0,,0,,0,,0,,-0.19,0.19,-0.19,0.19
45,UEdtaOH-,49,UEdtaOH-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
46,(UEdtaOH)2-2,50,(UEdtaOH)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
47,UEdta(OH)2-2,51,UEdta(OH)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
48,UO2Ox(aq),52,UO2Ox(aq),0,,0,,0,,0,,0,,0,,-0.05,0.06,-0.05,0.06
49,UO2(Ox)2-2,53,UO2(Ox)2-2,0,,0,,0,,,,-0.18,0.07,,,0,,0,
50,UO2(Ox)3-4,54,UO2(Ox)3-4,0,,0,,0,,,,-0.01,0.11,,,0,,0,
51,UO2Cit-,55,UO2Cit-,0,,0,,0,,,,-0.11,0.09,,,0,,0,
52,(UO2Cit)2-2,56,(UO2Cit)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
53,UO2(HCit)(aq),57,UO2(HCit)(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
54,UO2Edta-2,58,UO2Edta-2,0,,0,,0,,,,-0.22,0.18,,,0,,0,
55,(UO2)2Edta(aq),59,(UO2)2Edta(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
56,UO2(HEdta)-,60,UO2(HEdta)-,0,,0,,0,,,,-0.18,0.16,,,0,,0,
57,UO2(H3Isa)+,61,UO2(H3Isa)+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
58,UO2(H3Isa)2(aq),62,UO2(H3Isa)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
59,UO2(H3Isa)3-,63,UO2(H3Isa)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
60,Np(Ox)+2,64,Np(Ox)+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
61,Np(Ox)2(aq),65,Np(Ox)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
62,Np(Ox)3-2,66,Np(Ox)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
63,Np(Edta)(aq),67,Np(Edta)(aq),0,,0,,0,,0,,0,,0,,-0.19,0.19,-0.19,0.19
64,Np(OH)3(H3Isa)(aq),68,Np(OH)3(H3Isa)(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
65,Np(OH)3(H3Isa)2-,69,Np(OH)3(H3Isa)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
66,Np(OH)4(H3Isa)-,70,Np(OH)4(H3Isa)-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
67,Np(OH)4(H3Isa)2-2,71,Np(OH)4(H3Isa)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
68,NpO2Ox-,72,NpO2Ox-,0,,0,,0,,,,-0.4,0.1,,,0,,0,
69,NpO2(Ox)2-3,73,NpO2(Ox)2-3,0,,0,,0,,,,-0.3,0.2,,,0,,0,
70,NpO2Cit-2,74,NpO2Cit-2,0,,0,,0,,,,-0.06,0.03,,,0,,0,
73,NpO2(H2Edta)-,75,NpO2(H2Edta)-,0,,0,,0,,,,-0.18,0.16,,,0,,0,
72,NpO2(HEdta)-2,76,NpO2(HEdta)-2,0,,0,,0,,,,0.07,0.16,,,0,,0,
71,NpO2Edta-3,77,NpO2Edta-3,0,,0,,0,,,,0.2,0.16,,,0,,0,
74,NpO2EdtaOH-4,78,NpO2EdtaOH-4,0,,0,,0,,,,0.32,0.14,,,0,,0,
75,Pu(Ox)+,79,Pu(Ox)+,0.05,0.1,,,,,0,,0,,0,,0,,0,
76,Pu(Ox)2-,80,Pu(Ox)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
77,Pu(Ox)3-3,81,Pu(Ox)3-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
78,Pu(Cit)(aq),82,Pu(Cit)(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
79,Pu(HCit)+,83,Pu(HCit)+,0.05,0.1,,,,,0,,0,,0,,0,,0,
80,Pu(Edta)-,84,Pu(Edta)-,0,,0,,0,,,,0.01,0.16,,,0,,0,
81,Pu(HEdta)(aq),85,Pu(HEdta)(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
82,Pu(Ox)+2,86,Pu(Ox)+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
83,Pu(Ox)2(aq),87,Pu(Ox)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
84,Pu(Ox)3-2,88,Pu(Ox)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
85,Pu(Edta)(aq),89,Pu(Edta)(aq),0,,0,,0,,0,,0,,0,,-0.19,0.19,-0.19,0.19
86,Pu(Edta)OH-,90,Pu(Edta)OH-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
87,Pu(Edta)(OH)2-2,91,Pu(Edta)(OH)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
88,Am(Ox)+,92,Am(Ox)+,0.08,0.05,0.08,0.05,,,0,,0,,0,,0,,0,
89,Am(Ox)2-,93,Am(Ox)2-,0,,0,,0,,,,-0.21,0.08,,,0,,0,
90,Am(Ox)3-3,94,Am(Ox)3-3,0,,0,,0,,,,-0.23,0.1,,,0,,0,
91,Am(Cit)(aq),95,Am(Cit)(aq),0,,0,,0,,0,,0,,0,,0,0.05,,
92,Am(Cit)2-3,96,Am(Cit)2-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
93,Am(HCit)+,97,Am(HCit)+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
94,Am(HCit)2-,98,Am(HCit)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
95,Am(Edta)-,99,Am(Edta)-,0,,0,,0,,,,0.01,0.16,,,0,,0,
96,Am(HEdta)(aq),100,Am(HEdta)(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
97,Am(Edta)OH-2,101,Am(Edta)OH-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
98,Am(Isa)-,102,Am(Isa)-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
