Symbol,Atomic Number,Atomic Mass,Default Valence,DfGm [kJ/mol],DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Al,13,26.9815,3,0,0,28.3,,24.2,
Am,95,243.061,3,0,0,55.4,,,
As,33,74.9216,5,0,0,35.1,,24.64,
B,5,10.812,3,0,0,5.9,,11.087,
Ba,56,137.328,2,0,0,62.42,,,
Br,35,79.904,-1,0,0,76.105,,37.845,
C,6,12.0108,4,0,0,5.74,,8.517,
Ca,20,40.078,2,0,0,41.59,,25.929,
Cl,17,35.453,-1,0,0,111.54,,16.974,
Cm,96,247,3,0,0,70.8,,,
Cs,55,132.905,1,0,0,85.23,,32.21,
Cu,29,63.546,2,0,0,33.15,,24.44,
Eu,63,151.964,3,0,0,77.8,,27.65,
F,9,18.9984,-1,0,0,101.395,,15.652,
Fe,26,55.845,2,0,0,27.085,,25.084,
H,1,1.00795,1,0,0,65.34,,14.418,
I,53,126.904,-1,0,0,58.07,,27.219,
K,19,39.0983,1,0,0,64.68,,29.6,
Li,3,6.941,1,0,0,29.12,,24.86,
Mg,12,24.305,2,0,0,32.67,,24.869,
Mn,25,54.938,2,0,0,32.01,,26.32,
Mo,42,95.94,6,0,0,28.581,,24.06,
N,7,14.0067,5,0,0,95.805,,14.562,
Na,11,22.9898,1,0,0,51.3,,28.23,
Nb,41,92.906,5,0,0,36.4,,24.6,
Ni,28,58.693,2,0,0,29.87,,26.07,
Np,93,237.048,6,0,0,50.46,,29.62,
O,8,15.9994,-2,0,0,102.576,,14.689,
P,15,30.9738,5,0,0,41.09,,23.824,
Pd,46,106.42,2,0,0,37.8,,25.9,
Pu,94,244.064,6,0,0,54.46,,31.49,
Ra,88,226.025,2,0,0,71,,,
S,16,32.067,6,0,0,32.054,,22.75,
Se,34,78.96,4,0,0,42.09,,25.09,
Si,14,28.0855,4,0,0,18.81,,19.789,
Sn,50,118.711,2,0,0,51.18,,27.11,
Sr,38,87.65,2,0,0,55.7,,,
Tc,43,97.907,7,0,0,32.5,,24.9,
Th,90,232.038,4,0,0,52.64,,26.23,
U,92,238.029,6,0,0,50.2,,27.66,
Zr,40,91.224,4,0,0,39.08,,26.08,
Zn,30,65.38,2,0,0,41.63,0.15,25.39,0.04
Cd,48,112.414,2,0,0,51.8,0.15,26.02,0.04
Cf,98,251,3,0,0,81,5,,
Pa,46,231.036,5,0,0,51.6,0.8,28.2,0.4
Ti,22,47.867,4,0,0,30.72,,,
Ac,89,227,3,0,0,61.9,,26,
Ag,47,107.868,1,0,0,42.55,,25.35,
Po,84,209,4,0,0,62.8,,,
Pb,82,207.2,2,0,0,64.8,0.3,26.65,0.1
Hg,80,200.592,2,0,0,75.9,,,
Sm,62,150.36,3,0,0,69.64,,29.53,
Ho,67,164.93,3,0,0,75.76,,27.15,
Zz,0,0,0,0,0,-65.34,,-14.418,
Cit,102,189.1,-3,0,0,0,,0,
Edta,103,288.212,-4,0,0,0,,0,
Isa,104,176.125,-4,0,0,0,,0,
Ox,105,88.019,-2,0,0,0,,0,
N_atm,99,14.0067,0,0,0,95.805,,14.562,
