Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Ag(aq),Ag(aq),Ag|0|(aq),aq,-6.4,0.5,33.7,8.5,0,,20,280,1 Ag(cr) = Ag(aq)
AgOH(aq),AgOH(aq),AgOH(aq),aq,-11.75,0.14,78.8,4.7,0,,25,90,1 Ag+ 1 H2O(l) -1 H+ = AgOH(aq) 
Ag(OH)2-,Ag(OH)2-,Ag(OH)2-,aq,-24.34,0.14,69.1,4.7,0,,25,90,1 Ag+ 2 H2O(l) -2 H+ = Ag(OH)2-
AgF(aq),AgF(aq),AgF(aq),aq,0.11,0.1,-11.7,4.2,0,,15,25,1 Ag+ 1 F- = AgF(aq)
AgCl(aq),AgCl(aq),AgCl(aq),aq,3.23,0.11,-27.6,4.2,0,,5,160,1 Ag+ 1 Cl- = AgCl(aq)
AgCl2-,AgCl2-,AgCl2-,aq,5.15,0.11,-21.3,1.3,0,,5,160,1 Ag+ 2 Cl- = AgCl2-
AgCl3-2,AgCl3-2,AgCl3-2,aq,5.04,0.08,-41.8,2.1,0,,5,160,1 Ag+ 3 Cl- = AgCl3-2
AgCl4-3,AgCl4-3,AgCl4-3,aq,3.64,0.11,-69.9,4.2,0,,5,160,1 Ag+ 4 Cl- = AgCl4-3
AgBr(aq),AgBr(aq),AgBr(aq),aq,4.54,0.1,-32.9,4,0,,18,300,1 Ag+ 1 Br- = AgBr(aq)
AgBr2-,AgBr2-,AgBr2-,aq,7.48,0.1,-48,4,0,,18,300,1 Ag+ 2 Br- = AgBr2-
AgBr3-2,AgBr3-2,AgBr3-2,aq,8.3,0.2,-52.7,,,,20,70,1 Ag+ 3 Br- = AgBr3-2
AgBr4-3,AgBr4-3,AgBr4-3,aq,7.2,,,,,,,,1 Ag+ 4 Br- = AgBr4-3
AgI(aq),AgI(aq),AgI(aq),aq,6.29,0.1,-68.3,4,0,,18,250,1 Ag+ 1 I- = AgI(aq)
AgI2-,AgI2-,AgI2-,aq,11.42,0.1,-80,4,0,,18,250,1 Ag+ 2 I- = AgI2-
AgI3-2,AgI3-2,AgI3-2,aq,13.24,0.1,-101.4,4,0,,18,250,1 Ag+ 3 I- = AgI3-2
AgI4-3,AgI4-3,AgI4-3,aq,13.1,,,,,,,,1 Ag+ 4 I- = AgI4-3
AgCO3-,AgCO3-,AgCO3-,aq,2.4,,,,,,,,1 Ag+ 1 CO3-2 = AgCO3-
AgHPO4-,AgHPO4-,AgHPO4-,aq,4.5,,,,,,,,1 Ag+ 1 HPO4-2 = AgHPO4-
AgSO4-,AgSO4-,AgSO4-,aq,1.18,0.07,6.3,1.3,,,25,,1 Ag+ 1 SO4-2 = AgSO4-
AgHS(aq),AgHS(aq),AgHS|-2|(aq),aq,13.5,,,,,,,,1 Ag+ 1 HS- = AgHS(aq)
Ag(HS)2-,Ag(HS)2-,Ag(HS|-2|)2-,aq,17.4,0.28,-61.1,3.6,0,,25,350,1 Ag+ 2 HS- = Ag(HS)2-
Ag2S(HS)2-2,Ag2S(HS)2-2,Ag2S|-2|(HS|-2|)2-2,aq,31.1,,,,,,,,2 Ag+ 3 HS- -1 H+ = Ag2S(HS)2-2
AgSeO4-,AgSeO4-,AgSe|+6|O4-,aq,1,0.5,,,,,,,1 Ag+ 1 SeO4-2 = AgSeO4-
AgSeO3-,AgSeO3-,AgSe|+4|O3-,aq,3.1,0.3,,,,,,,1 Ag+ 1 SeO3-2 = AgSeO3-
Ag2Se(aq),Ag2Se(aq),Ag2Se|-2|(aq),aq,-7.66,0.5,,,,,,,1 Ag2Se(alpha) = Ag2Se(aq)
Ag(CN)2-,Ag(CN)2-,Ag(C|0|N|-1|)2-,aq,20.88,0.2,,,,,,,1 Ag+ 2 CN- = Ag(CN)2-
Ag(CN)3-2,Ag(CN)3-2,Ag(C|0|N|-1|)3-2,aq,21.8,0.2,,,,,,,1 Ag+ 3 CN- = Ag(CN)3-2
Ag(OH)CN-,Ag(OH)CN-,Ag(OH)C|0|N|-1|-,aq,13.3,0.3,,,,,,,1 Ag+ 1 OH- 1 CN- = Ag(OH)CN-
Ag(SeCN)3-2,Ag(SeCN)3-2,Ag(Se|0|C|0|N|-1|)3-2,aq,52.94,0.6,,,,,,,1 Ag+ 3 CN- 3 HSe- -3 H+ -6 e- = Ag(SeCN)3-2
