Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
FeOH+,FeOH+,FeOH+,aq,-9.43,0.1,54.6,0.9,0,,25,300,1 Fe+2 1 H2O(l) -1 H+ = FeOH+
Fe(OH)2(aq),Fe(OH)2(aq),Fe(OH)2(aq),aq,-20.52,0.08,115.4,1,0,,25,300,1 Fe+2 2 H2O(l) -2 H+ = Fe(OH)2(aq)
Fe(OH)3-,Fe(OH)3-,Fe(OH)3-,aq,-32.68,0.15,140.3,2.2,0,,25,300,1 Fe+2 3 H2O(l) -3 H+ = Fe(OH)3-
FeF+,FeF+,FeF+,aq,1.7,0.2,,,,,,,1 Fe+2 1 F- = FeF+
FeCl+,FeCl+,FeCl+,aq,-1,0.8,21.55,1.77,0,,10,200,1 Fe+2 1 Cl- = FeCl+
FeS(aq),FeS(aq),FeS|-2|(aq),aq,-8.8,1.1,,,,,,,1 Fe+2 1 H2S(aq) -2 H+ = FeS(aq)
FeSO4(aq),FeSO4(aq),FeSO4(aq),aq,2.44,0.03,8.4,6.2,0,,10,35,1 Fe+2 1 SO4-2 = FeSO4(aq)
Fe(SO4)2-2,Fe(SO4)2-2,Fe(SO4)2-2,aq,2,0.4,,,,,,,1 Fe+2 2 SO4-2 = Fe(SO4)2-2
FeHSO4+,FeHSO4+,FeHSO4+,aq,3.068,,,,,,,,1 Fe+2 1 SO4-2 1 H+ = FeHSO4+
FeHSeO3+,FeHSeO3+,FeHSeO3+,aq,3.7,1.05,,,,,,,1 Fe+2 1 HSeO3- = FeHSeO3+
FeHSeO3(H2SeO3)+,FeHSeO3(H2SeO3)+,FeHSe|+4|O3(H2Se|+4|O3)+,aq,7,1,,,,,,,1 Fe+2 1 HSeO3- 1 H2SeO3(aq) = FeHSeO3(H2SeO3)+
Fe(HSeO4)2(aq),Fe(HSeO4)2(aq),Fe(HSe|+6|O4)2(aq),aq,5.7,1,,,,,,,1 Fe+2 2 HSeO4- = Fe(HSeO4)2(aq)
FeHPO4(aq),FeHPO4(aq),FeHPO4(aq),aq,3.6,1,,,,,,,1 Fe+2 1 HPO4-2 = FeHPO4(aq)
FeH2PO4+,FeH2PO4+,FeH2PO4+,aq,2.7,1,,,,,,,1 Fe+2 1 H2PO4- = FeH2PO4+
FeCO3(aq),FeCO3(aq),FeCO3(aq),aq,-4.77,0.27,,,,,,,1 Fe+2 1 HCO3- -1 H+ = FeCO3(aq)
Fe(CO3)2-2,Fe(CO3)2-2,Fe(CO3)2-2,aq,-13.33,0.29,,,,,,,1 Fe+2 2 HCO3- -2 H+ = Fe(CO3)2-2
Fe(CN)6-4,Fe(CN)6-4,Fe(C|0|N|-1|)6-4,aq,40.41,4.57,-358.9,30.1,,,25,,1 Fe+2 6 CN- = Fe(CN)6-4
HFe(CN)6-3,HFe(CN)6-3,HFe(C|0|N|-1|)6-3,aq,4.28,0.1,2.1,3,,,25,,1 Fe(CN)6-4 1 H+ = HFe(CN)6-3
H2Fe(CN)6-2,H2Fe(CN)6-2,H2Fe(C|0|N|-1|)6-2,aq,2.4,0.3,,,,,,,1 HFe(CN)6-3 1 H+ = H2Fe(CN)6-2
