Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Hg(aq),Hg(aq),Hg|0|(aq),aq,-6.53,0.03,23,2.2,0,,0,90,1 Hg(l) = Hg(aq)
Hg2OH+,Hg2OH+,Hg|+2|Hg|0|OH+,aq,-4.6,0.5,,,,,,,1 Hg2+2 1 H2O(l) -1 H+ = Hg2OH+
HgOH+,HgOH+,HgOH+,aq,-3.4,0.08,,,,,,,1 Hg+2 1 H2O(l) -1 H+ = HgOH+
Hg(OH)2(aq),Hg(OH)2(aq),Hg(OH)2(aq),aq,-5.98,0.06,51,1.8,,,,,1 Hg+2 2 H2O(l) -2 H+ = Hg(OH)2(aq) 
Hg(OH)3-,Hg(OH)3-,Hg(OH)3-,aq,-21.1,0.3,,,,,,,1 Hg+2 3 H2O(l) -3 H+ = Hg(OH)3-
HgCl+,HgCl+,HgCl+,aq,7.31,0.04,-21.3,0.7,,,,,1 Hg+2 1 Cl- = HgCl+
HgCl2(aq),HgCl2(aq),HgCl2(aq),aq,14,0.07,-49.1,1,,,,,1 Hg+2 2 Cl- = HgCl2(aq)
HgCl3-,HgCl3-,HgCl3-,aq,0.925,0.09,0.5,2.5,,,,,1 HgCl2(aq) 1 Cl- = HgCl3-
HgCl4-2,HgCl4-2,HgCl4-2,aq,0.61,0.12,-10.5,2.5,,,,,1 HgCl3- 1 Cl- = HgCl4-2
HgOHCl(aq),HgOHCl(aq),HgOHCl(aq),aq,4.27,0.35,,,,,,,1 Hg+2 1 Cl- 1 H2O(l) -1 H+ = HgOHCl(aq)
HgCO3(aq),HgCO3(aq),HgCO3(aq),aq,-0.7,0.2,,,,,,,1 Hg(OH)2(aq) 1 CO2(g) -1 H2O(l) = HgCO3(aq)
HgOHCO3-,HgOHCO3-,HgOHCO3-,aq,0.98,0.1,,,,,,,1 Hg(OH)2(aq) 1 HCO3- -1 H2O(l) = HgOHCO3-
HgHCO3+,HgHCO3+,HgHCO3+,aq,3.63,0.1,,,,,,,1 Hg(OH)2(aq) 1 CO2(g) 1 H+ -1 H2O(l) = HgHCO3+
HgHPO4(aq),HgHPO4(aq),HgHPO4(aq),aq,10.9,0.6,,,,,,,1 Hg+2 1 HPO4-2 = HgHPO4(aq)
HgPO4-,HgPO4-,HgPO4-,aq,5.3,0.6,,,,,,,1 Hg+2 1 HPO4-2 -1 H+ = HgPO4-
HgSO4(aq),HgSO4(aq),HgSO4(aq),aq,2.8,0.2,,,,,,,1 Hg+2 1 SO4-2 = HgSO4(aq)
Hg(SO4)2-2,Hg(SO4)2-2,Hg(SO4)2-2,aq,3.8,,,,,,,,1 Hg+2 2 SO4-2 = Hg(SO4)2-2
Hg(HS)2(aq),Hg(HS)2(aq),Hg(HS|-2|)2(aq),aq,37.8,,,,,,,,1 Hg+2 2 HS- = Hg(HS)2(aq)
HgS(HS)-,HgS(HS)-,HgS|-2|(HS|-2|)-,aq,31.5,0.2,,,,,,,1 Hg+2 2 HS- -1 H+= HgS(HS)-
HgS2-2,HgS2-2,HgS|-2|2-2,aq,22.3,0.2,,,,,,,1 Hg+2 2 HS- -2 H+ = HgS2-2
