Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
NiOH+,NiOH+,NiOH+,aq,-9.54,0.14,53.8,1.7,0,,15,42,1 Ni+2 1 H2O(l) -1 H+ = NiOH+
Ni(OH)2(aq),Ni(OH)2(aq),Ni(OH)2(aq),aq,-18,,90,,0,,150,300,1 Ni+2 2 H2O(l) -2 H+ = Ni(OH)2(aq)
Ni(OH)3-,Ni(OH)3-,Ni(OH)3-,aq,-29.2,1.7,121.2,6.5,0,,150,300,1 Ni+2 3 H2O(l) -3 H+ = Ni(OH)3-
Ni2OH+3,Ni2OH+3,Ni2OH+3,aq,-10.6,1,45.9,6,,,25,,2 Ni+2 1 H2O(l) -1 H+ = Ni2OH+3
Ni4(OH)4+4,Ni4(OH)4+4,Ni4(OH)4+4,aq,-27.52,0.15,190,10,,,25,,4 Ni+2 4 H2O(l) -4 H+ = Ni4(OH)4+4
NiF+,NiF+,NiF+,aq,1.43,0.08,9.5,3,,,25,,1 Ni+2 1 F- = NiF+
NiCl+,NiCl+,NiCl+,aq,0.08,0.6,,,,,,,1 Ni+2 1 Cl- = NiCl+
NiHS+,NiHS+,NiHS|-2|+,aq,5.5,0.2,,,,,,,1 Ni+2 1 HS- = NiHS+
Ni(HS)2(aq),Ni(HS)2(aq),Ni(HS|-2|)2(aq),aq,11.1,0.1,,,,,,,1 Ni+2 2 HS- = Ni(HS)2(aq)
NiSO4(aq),NiSO4(aq),NiSO4(aq),aq,2.35,0.03,5.66,0.81,0,,0,45,1 Ni+2 1 SO4-2 = NiSO4(aq)
NiNO3+,NiNO3+,NiNO3+,aq,0.5,1,,,,,,,1 Ni+2 1 NO3- = NiNO3+
NiNH3+2,NiNH3+2,NiN|-3|H3+2,aq,2.7,,,,,,,,1 Ni+2 1 NH3(aq) = NiNH3+2
Ni(NH3)2+2,Ni(NH3)2+2,Ni(N|-3|H3)2+2,aq,4.9,,,,,,,,1 Ni+2 2 NH3(aq) = Ni(NH3)2+2
Ni(NH3)3+2,Ni(NH3)3+2,Ni(N|-3|H3)3+2,aq,6.5,,,,,,,,1 Ni+2 3 NH3(aq) = Ni(NH3)3+2
Ni(NH3)4+2,Ni(NH3)4+2,Ni(N|-3|H3)4+2,aq,7.6,,,,,,,,1 Ni+2 4 NH3(aq) = Ni(NH3)4+2
Ni(NH3)5+2,Ni(NH3)5+2,Ni(N|-3|H3)5+2,aq,8.3,,,,,,,,1 Ni+2 5 NH3(aq) = Ni(NH3)5+2
Ni(NH3)6+2,Ni(NH3)6+2,Ni(N|-3|H3)6+2,aq,8.2,,,,,,,,1 Ni+2 6 NH3(aq) = Ni(NH3)6+2
NiHPO4(aq),NiHPO4(aq),NiHPO4(aq),aq,3.05,0.09,,,,,,,1 Ni+2 1 HPO4-2 = NiHPO4(aq)
NiHP2O7-,NiHP2O7-,NiHP2O7-,aq,5.14,0.25,47.9,15,0,,5,35,1 Ni+2 1 HP2O7-3 = NiHP2O7-
NiP2O7-2,NiP2O7-2,NiP2O7-2,aq,8.73,0.25,30.6,10,0,,5,35,1 Ni+2 1 P2O7-4 = NiP2O7-2
NiHAsO4(aq),NiHAsO4(aq),NiHAsO4(aq),aq,2.9,0.3,,,,,,,1 Ni+2 1 HAsO4-2 = NiHAsO4(aq)
NiCO3(aq),NiCO3(aq),NiCO3(aq),aq,4.2,0.4,,,,,,,1 Ni+2 1 CO3-2 = NiCO3(aq)
Ni(CO3)2-2,Ni(CO3)2-2,Ni(CO3)2-2,aq,6,,,,,,,,1 Ni+2 2 CO3-2 = Ni(CO3)2-2
NiHCO3+,NiHCO3+,NiHCO3+,aq,1,,,,,,,,1 Ni+2 1 HCO3- = NiHCO3+
Ni(CN)4-2,Ni(CN)4-2,Ni(C|0|N|-1|)4-2,aq,30.2,0.12,-180.7,4,,,25,,1 Ni+2 4 CN- = Ni(CN)4-2
Ni(CN)5-3,Ni(CN)5-3,Ni(C|0|N|-1|)5-3,aq,28.5,0.5,-191.1,8,,,25,,1 Ni+2 5 CN- = Ni(CN)5-3
NiSCN+,NiSCN+,NiS|0|C|0|N|-1|+,aq,1.81,0.04,-11.8,5,0,,5,45,1 Ni+2 1 SCN- = NiSCN+
Ni(SCN)2(aq),Ni(SCN)2(aq),Ni(S|0|C|0|N|-1|)2(aq),aq,2.69,0.07,-21,8,0,,5,35,1 Ni+2 2 SCN- = Ni(SCN)2(aq)
Ni(SCN)3-,Ni(SCN)3-,Ni(S|0|C|0|N|-1|)3-,aq,3.02,0.18,-29,10,,,25,,1 Ni+2 3 SCN- = Ni(SCN)3-
