Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
NpO2OH+,NpO2OH+,Np|+6|O2OH+,aq,-5.1,0.4,,,,,,,1 NpO2+2 1 H2O(l) -1 H+ = NpO2OH+
NpO2(OH)2(aq),NpO2(OH)2(aq),Np|+6|O2(OH)2(aq),aq,-12.2,,,,,,,,1 NpO2+2 2 H2O(l) -2 H+ = NpO2(OH)2(aq)
NpO2(OH)3-,NpO2(OH)3-,Np|+6|O2(OH)3-,aq,-21.2,1.1,,,,,,,1 NpO2+2 3 H2O(l) -3 H+ = NpO2(OH)3-
NpO2(OH)4-2,NpO2(OH)4-2,Np|+6|O2(OH)4-2,aq,-33.0,1.1,,,,,,,1 NpO2+2 4 H2O(l) -4 H+ = NpO2(OH)4-2
(NpO2)2(OH)2+2,(NpO2)2(OH)2+2,(Np|+6|O2)2(OH)2+2,aq,-6.27,0.21,,,,,,,2 NpO2+2 2 H2O(l) -2 H+ = (NpO2)2(OH)2+2
(NpO2)3(OH)5+,(NpO2)3(OH)5+,(Np|+6|O2)3(OH)5+,aq,-17.12,0.22,,,,,,,3 NpO2+2 5 H2O(l) -5 H+ = (NpO2)3(OH)5+
NpO2F+,NpO2F+,Np|+6|O2F+,aq,4.57,0.07,,,,,,,1 NpO2+2 1 F- = NpO2F+
NpO2F2(aq),NpO2F2(aq),Np|+6|O2F2(aq),aq,7.6,0.08,,,,,,,1 NpO2+2 2 F- = NpO2F2(aq)
NpO2Cl+,NpO2Cl+,Np|+6|O2Cl+,aq,0.4,0.17,,,,,,,1 NpO2+2 1 Cl- = NpO2Cl+
NpO2IO3+,NpO2IO3+,Np|+6|O2I|+5|O3+,aq,1.2,0.3,,,,,,,1 NpO2+2 1 IO3- = NpO2IO3+
NpO2SO4(aq),NpO2SO4(aq),Np|+6|O2SO4(aq),aq,3.28,0.06,16.7,0.5,,,,,1 NpO2+2 1 SO4-2 = NpO2SO4(aq)
NpO2(SO4)2-2,NpO2(SO4)2-2,Np|+6|O2(SO4)2-2,aq,4.7,0.1,26,1.2,,,,,1 NpO2+2 2 SO4-2 = NpO2(SO4)2-2
NpO2H2PO4+,NpO2H2PO4+,Np|+6|O2H2PO4+,aq,3.32,0.5,,,,,,,1 NpO2+2 1 H2PO4- = NpO2H2PO4+
NpO2HPO4(aq),NpO2HPO4(aq),Np|+6|O2HPO4(aq),aq,6.2,0.7,,,,,,,1 NpO2+2 1 HPO4-2 = NpO2HPO4(aq)
NpO2(HPO4)2-2,NpO2(HPO4)2-2,Np|+6|O2(HPO4)2-2,aq,9.5,1,,,,,,,1 NpO2+2 2 HPO4-2 = NpO2(HPO4)2-2
NpO2CO3(aq),NpO2CO3(aq),Np|+6|O2CO3(aq),aq,9.86,0.10,,,,,,,1 NpO2+2 1 CO3-2 = NpO2CO3(aq)
NpO2(CO3)2-2,NpO2(CO3)2-2,Np|+6|O2(CO3)2-2,aq,15,,,,,,,,1 NpO2+2 2 CO3-2 = NpO2(CO3)2-2
NpO2(CO3)3-4,NpO2(CO3)3-4,Np|+6|O2(CO3)3-4,aq,19.9,0.5,-41.9,4.1,,,,,1 NpO2+2 3 CO3-2 = NpO2(CO3)3-4
