Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
SmOH+2,SmOH+2,SmOH+2,aq,-7.76,0.09,42.7,5.4,0,,25,55,1 Sm+3 1 H2O(l) -1 H+ = SmOH+2
Sm(OH)2+,Sm(OH)2+,Sm(OH)2+,aq,-15.22,0.3,,,,,,,1 Sm+3 2 H2O(l) -2 H+ = Sm(OH)2+
Sm(OH)3(aq),Sm(OH)3(aq),Sm(OH)3(aq),aq,-23.82,0.3,,,,,,,1 Sm+3 3 H2O(l) -3 H+ = Sm(OH)3(aq)
Sm(OH)4-,Sm(OH)4-,Sm(OH)4-,aq,-36.32,0.3,,,,,,,1 Sm+3 4 H2O(l) -4 H+ = Sm(OH)4-
Sm2(OH)2+4,Sm2(OH)2+4,Sm2(OH)2+4,aq,-14.5,0.4,,,,,,,2 Sm+3 2 H2O(l) -2 H+ = Sm2(OH)2+4
Sm3(OH)5+4,Sm3(OH)5+4,Sm3(OH)5+4,aq,-33.9,0.3,,,,,,,3 Sm+3 5 H2O(l) -5 H+ = Sm3(OH)5+4
SmF+2,SmF+2,SmF+2,aq,4.17,0.07,8.07,1.23,0,,5,45,1 Sm+3 1 F- = SmF+2
SmF2+,SmF2+,SmF2+,aq,6.7,0.3,18.7,1.7,0,,5,45,1 Sm+3 2 F- = SmF2+
SmSO4+,SmSO4+,SmSO4+,aq,3.95,0.08,,,,,,,1 Sm+3 1 SO4-2 = SmSO4+
Sm(SO4)2-,Sm(SO4)2-,Sm(SO4)2-,aq,5.7,0.2,,,,,,,1 Sm+3 2 SO4-2 = Sm(SO4)2-
SmCO3+,SmCO3+,SmCO3+,aq,8.1,0.2,,,,,,,1 Sm+3 1 CO3-2 = SmCO3+
Sm(CO3)2-,Sm(CO3)2-,Sm(CO3)2-,aq,12.1,0.3,,,,,,,1 Sm+3 2 CO3-2 = Sm(CO3)2-
SmH2PO4+2,SmH2PO4+2,SmH2PO4+2,aq,0.89,0.13,14.7,,0,,25,80,1 Sm+3 1 H3PO4(aq) -1 H+ = SmH2PO4+2
EuOH+2,EuOH+2,EuOH+2,aq,-7.64,0.04,,,,,,,1 Eu+3 1 H2O(l) -1 H+ = EuOH+2
Eu(OH)2+,Eu(OH)2+,Eu(OH)2+,aq,-15.1,0.2,,,,,,,1 Eu+3 2 H2O(l) -2 H+ = Eu(OH)2+
Eu(OH)3(aq),Eu(OH)3(aq),Eu(OH)3(aq),aq,-23.7,0.1,,,,,,,1 Eu+3 3 H2O(l) -3 H+ = Eu(OH)3(aq)
Eu(OH)4-,Eu(OH)4-,Eu(OH)4-,aq,-36.2,0.5,,,,,,,1 Eu+3 4 H2O(l) -4 H+ = Eu(OH)4-
EuF+2,EuF+2,EuF+2,aq,4.28,0.07,8.1,0.91,0,,5,45,1 Eu+3 1 F- = EuF+2
EuF2+,EuF2+,EuF2+,aq,6.81,0.3,18.5,2.3,0,,5,45,1 Eu+3 2 F- = EuF2+
EuSO4+,EuSO4+,EuSO4+,aq,3.95,0.08,,,,,,,1 Eu+3 1 SO4-2 = EuSO4+
Eu(SO4)2-,Eu(SO4)2-,Eu(SO4)2-,aq,5.7,0.2,,,,,,,1 Eu+3 2 SO4-2 = Eu(SO4)2-
EuCO3+,EuCO3+,EuCO3+,aq,8.1,0.2,,,,,,,1 Eu+3 1 CO3-2 = EuCO3+
Eu(CO3)2-,Eu(CO3)2-,Eu(CO3)2-,aq,12.1,0.3,,,,,,,1 Eu+3 2 CO3-2 = Eu(CO3)2-
EuH2PO4+2,EuH2PO4+2,EuH2PO4+2,aq,0.89,0.13,14.7,,0,,25,80,1 Eu+3 1 H3PO4(aq) -1 H+ = EuH2PO4+2
HoOH+2,HoOH+2,HoOH+2,aq,-7.41,0.07,49,2.9,0,,25,55,1 Ho+3 1 H2O(l) -1 H+ = HoOH+2
Ho(OH)2+,Ho(OH)2+,Ho(OH)2+,aq,-14.87,0.3,,,,,,,1 Ho+3 2 H2O(l) -2 H+ = Ho(OH)2+
Ho(OH)3(aq),Ho(OH)3(aq),Ho(OH)3(aq),aq,-23.47,0.3,,,,,,,1 Ho+3 3 H2O(l) -3 H+ = Ho(OH)3(aq)
Ho(OH)4-,Ho(OH)4-,Ho(OH)4-,aq,-35.97,0.3,,,,,,,1 Ho+3 4 H2O(l) -4 H+ = Ho(OH)4-
HoF+2,HoF+2,HoF+2,aq,4.29,0.07,9.83,0.83,0,,5,45,1 Ho+3 1 F- = HoF+2
HoF2+,HoF2+,HoF2+,aq,6.73,0.3,21,1.6,0,,5,45,1 Ho+3 2 F- = HoF2+
HoSO4+,HoSO4+,HoSO4+,aq,3.95,0.08,,,,,,,1 Ho+3 1 SO4-2 = HoSO4+
Ho(SO4)2-,Ho(SO4)2-,Ho(SO4)2-,aq,5.7,0.2,,,,,,,1 Ho+3 2 SO4-2 = Ho(SO4)2-
HoCO3+,HoCO3+,HoCO3+,aq,8.1,0.2,,,,,,,1 Ho+3 1 CO3-2 = HoCO3+
Ho(CO3)2-,Ho(CO3)2-,Ho(CO3)2-,aq,12.1,0.3,,,,,,,1 Ho+3 2 CO3-2 = Ho(CO3)2-
HoH2PO4+2,HoH2PO4+2,HoH2PO4+2,aq,0.89,0.13,14.7,,0,,25,80,1 Ho+3 1 H3PO4(aq) -1 H+ = HoH2PO4+2
