Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
ThOH+3,ThOH+3,ThOH+3,aq,-2.5,0.5,44.2,6.3,0,,0,95,1 Th+4 1 H2O(l) -1 H+ = ThOH+3
Th(OH)2+2,Th(OH)2+2,Th(OH)2+2,aq,-6.2,0.5,85.7,41.4,0,,0,95,1 Th+4 2 H2O(l) -2 H+ = Th(OH)2+2
Th(OH)4(aq),Th(OH)4(aq),Th(OH)4(aq),aq,-17.4,0.7,,,,,,,1 Th+4 4 H2O(l) -4 H+ = Th(OH)4(aq)
Th2(OH)2+6,Th2(OH)2+6,Th2(OH)2+6,aq,-5.9,0.5,58.3,5.7,0,,0,95,2 Th+4 2 H2O(l) -2 H+ = Th2(OH)2+6
Th2(OH)3+5,Th2(OH)3+5,Th2(OH)3+5,aq,-6.8,0.2,,,,,,,2 Th+4 3 H2O(l) -3 H+ = Th2(OH)3+5
Th4(OH)8+8,Th4(OH)8+8,Th4(OH)8+8,aq,-20.4,0.4,243,21.3,0,,0,95,4 Th+4 8 H2O(l) -8 H+ = Th4(OH)8+8
Th4(OH)12+4,Th4(OH)12+4,Th4(OH)12+4,aq,-26.6,0.2,,,,,,,4 Th+4 12 H2O(l) -12 H+ = Th4(OH)12+4
Th6(OH)14+10,Th6(OH)14+10,Th6(OH)14+10,aq,-36.8,1.2,,,,,,,6 Th+4 14 H2O(l) -14 H+ = Th6(OH)14+10
Th6(OH)15+9,Th6(OH)15+9,Th6(OH)15+9,aq,-36.8,1.5,472.8,22,0,,0,95,6 Th+4 15 H2O(l) -15 H+ = Th6(OH)15+9
Ca4Th(OH)8+4,Ca4Th(OH)8+4,Ca4Th(OH)8+4,aq,-62.4,0.6,,,,,,,4 Ca+2 1 Th+4 8 H2O(l) -8 H+ = Ca4Th(OH)8+4
ThF+3,ThF+3,ThF+3,aq,8.87,0.15,-0.4,2,,,25,,1 Th+4 1 F- = ThF+3
ThF2+2,ThF2+2,ThF2+2,aq,15.63,0.23,-3.3,0.4,,,25,,1 Th+4 2 F- = ThF2+2
ThF3+,ThF3+,ThF3+,aq,20.67,0.16,,,,,,,1 Th+4 3 F- = ThF3+
ThF4(aq),ThF4(aq),ThF4(aq),aq,25.58,0.18,,,,,,,1 Th+4 4 F- = ThF4(aq)
ThF6-2,ThF6-2,ThF6-2,aq,29.23,0.62,,,,,,,1 Th+4 6 F- = ThF6-2
ThCl+3,ThCl+3,ThCl+3,aq,1.7,0.1,,,,,,,1 Th+4 1 Cl- = ThCl+3
ThIO3+3,ThIO3+3,ThI|+5|O3+3,aq,4.14,0.1,,,,,,,1 Th+4 1 IO3- = ThIO3+3
Th(IO3)2+2,Th(IO3)2+2,Th(I|+5|O3)2+2,aq,6.97,0.12,,,,,,,1 Th+4 2 IO3- = Th(IO3)2+2
Th(IO3)3+,Th(IO3)3+,Th(I|+5|O3)3+,aq,9.87,0.11,,,,,,,1 Th+4 3 IO3- = Th(IO3)3+
ThSO4+2,ThSO4+2,ThSO4+2,aq,6.17,0.32,20.92,0.74,,,25,,1 Th+4 1 SO4-2 = ThSO4+2
Th(SO4)2(aq),Th(SO4)2(aq),Th(SO4)2(aq),aq,9.69,0.27,40.38,1.08,,,25,,1 Th+4 2 SO4-2 = Th(SO4)2(aq)
