Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Fe(OH)2(s),"""white rust""",Fe(OH)2,s,-12.26,0.88,,,,,,,1 Fe+2 2 H2O(l) -2 H+ = Fe(OH)2(s)
Fe4(OH)8Clwn(s),"Fe4(OH)8Cl:nH2O(s) ""chloride green rust one""",Fe|+2|3Fe|+3|(OH)8Cl,s,-39.7,3.5,,,,,,,4 Fe+2 1 Cl- 8 H2O(l) -7 H+ -0.5 H2(g) = Fe4(OH)8Clwn(s)
Fe2Cl(OH)3(beta),Fe-hibbingite,Fe2Cl(OH)3,s,-17.2,0.2,,,,,,,2 Fe+2 1 Cl- 3 H2O(l) -3 H+ = Fe2Cl(OH)3(beta)
FeS(mackinawite),mackinawite,FeS|-2|,s,-3.8,0.4,,,,,,,1 Fe+2 1 H2S(aq) -2 H+ = FeS(mackinawite)
FeS(troilite),troilite,FeS|-2|,s,-3,0.52,27.98,2.55,,,25,,1 Fe+2 1 H2S(aq) -2 H+ = FeS(troilite)
Fe0.9S(cr),5C pyrrhotite,Fe0.7Fe|+3|0.2S|-2|,s,0.61,0.54,15.93,2.72,,,25,,0.7 Fe+2 0.2 Fe+3 1 H2S(aq) -2 H+ = Fe0.9S(cr)
Fe0.875S(cr),4C pyrrhotite,Fe0.625Fe|+3|0.25S|-2|,s,1.51,0.52,12.02,2.53,,,25,,0.625 Fe+2 0.25 Fe+3 1 H2S(aq) -2 H+ = Fe0.875S(cr)
FeS2(pyrite),pyrite,FeS|0|S|-2|,s,2.84,0.86,-6.14,3.85,,,25,,1 Fe+2 2 H2S(aq) -4 H+ -2 e- = FeS2(pyrite)
FeS2(marcasite),marcasite,FeS|0|S|-2|,s,2.16,0.86,-1.94,3.86,,,25,,1 Fe+2 2 H2S(aq) -4 H+ -2 e- = FeS2(marcasite)
Fe3S4(cr),greigite,Fe|+2|Fe|+3|2S|-2|4,s,13.18,2.31,,,,,,,1 Fe+2 2 Fe+3 4 H2S(aq) -8 H+ = Fe3S4(cr)
Fe6(OH)12SO4wn(s),"Fe6(OH)12SO4:nH2O(s) ""sulfate green rust two""",Fe|+2|4Fe|+3|2(OH)12SO4,s,-55.2,5.3,,,,,,,6 Fe+2 1 SO4-2 12 H2O(l) -10 H+ -1 H2(g) = Fe6(OH)12SO4wn(s)
Fe1.042Se(cr),Fe1.042Se(cr),Fe|+2|Fe|0|0.042Se|-2|,s,0.39,0.79,5.08,4.5,,,25,,1.042 Fe+2 1 H2Se(aq) 0.084 e- -2 H+ = Fe1.042Se(cr)
