,#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,11,Zn(CO3)2-2,12,Zn(CO3)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,16,Zn(H2PO4)(HPO4)-,17,Zn(H2PO4)(HPO4)-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,15,Zn(H2PO4)2(aq),16,Zn(H2PO4)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,20,Zn(HPO4)(PO4)-3,21,Zn(HPO4)(PO4)-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
,18,Zn(HPO4)2-2,19,Zn(HPO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,19,Zn(HPO4)3-4,20,Zn(HPO4)3-4,0,,0,,0,,,,-0.2,0.1,,,0,,0,
,24,Zn(HS)2(aq),25,Zn(HS)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,25,Zn(HS)3-,26,Zn(HS)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,2,Zn(OH)2(aq),3,Zn(OH)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,21,Zn(OH)2HPO4-2,22,Zn(OH)2HPO4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,3,Zn(OH)3-,4,Zn(OH)3-,0,,0,,0,,,,0.07,0.06,,,0,,0,
,4,Zn(OH)4-2,5,Zn(OH)4-2,0,,0,,0,,,,0.13,0.08,,,0,,0,
,23,Zn(SO4)2-2,24,Zn(SO4)2-2,0,,0,,0,,,,0.38,0.1,,,0,,0,
DComp,,,1,Zn+2,0.35,0.01,0.35,0.01,,,0,,0,,0,,0,,0,
,13,Zn2CO3+2,14,Zn2CO3+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
,5,Zn2OH+3,6,Zn2OH+3,0.86,0.1,0.86,0.1,,,0,,0,,0,,0,,0,
,6,ZnCl+,7,ZnCl+,0.24,0.02,0.24,0.02,,,0,,0,,0,,0,,0,
,7,ZnCl2(aq),8,ZnCl2(aq),0,,0,,0,,0,,0,,0,,0.21,0.04,0.21,0.04
,8,ZnCl3-,9,ZnCl3-,0,,0,,0,,,,0.17,0.13,,,0,,0,
,9,ZnCl4-2,10,ZnCl4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,10,ZnCO3(aq),11,ZnCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,14,ZnH2PO4+,15,ZnH2PO4+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
,12,ZnHCO3+,13,ZnHCO3+,0.45,0.05,0.45,0.05,,,0,,0,,0,,0,,0,
,17,ZnHPO4(aq),18,ZnHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
,1,ZnOH+,2,ZnOH+,0.19,0.02,0.19,0.02,,,0,,0,,0,,0,,0,
,26,ZnS(HS)-,27,ZnS(HS)-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
,22,ZnSO4(aq),23,ZnSO4(aq),0,,0,,0,,0,,0,,0,,0.27,0.05,0.27,0.05
