#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
12,Ac(Cit)(aq),13,Ac(Cit)(aq),0,,0,,0,,0,,0,,0,,0,0.05,0,0.05
13,Ac(Edta)-,14,Ac(Edta)-,0,,0,,0,,,,0.01,0.16,,,0,,0,
2,Ac(OH)3(aq),3,Ac(OH)3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
10,Ac(Oxa)+,11,Ac(Oxa)+,0.08,0.1,0.08,0.1,,,0,,0,,0,,0,,0,
11,Ac(Oxa)2-,12,Ac(Oxa)2-,0,,0,,0,,,,0.21,0.08,,,0,,0,
,Ac+3,1,Ac+3,0.6,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
6,AcCl+2,7,AcCl+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
3,AcF+2,4,AcF+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
4,AcF2+,5,AcF2+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
5,AcF3(aq),6,AcF3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
7,AcH2PO4+2,8,AcH2PO4+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
14,AcHEdta(aq),15,AcHEdta(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
1,AcOH+2,2,AcOH+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
9,AcSCN+2,10,AcSCN+2,0.4,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
8,AcSO4+,9,AcSO4+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
