#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
11,Cd(CO3)2-2,12,Cd(CO3)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
18,Cd(HS)2(aq),19,Cd(HS)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
19,Cd(HS)3-,20,Cd(HS)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
20,Cd(HS)4-2,21,Cd(HS)4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
2,Cd(OH)2(aq),3,Cd(OH)2(aq),0,,0,,0,,0,,0,,0,,-0.01,0.04,-0.01,0.04
3,Cd(OH)3-,4,Cd(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
4,Cd(OH)4-2,5,Cd(OH)4-2,0,,0,,0,,,,0.2,0.05,,,0,,0,
16,Cd(SO4)2-2,17,Cd(SO4)2-2,0,,0,,0,,,,0.1,0.11,,,0,,0,
,Cd+2,1,Cd+2,0.23,0.04,0.23,0.04,,,0,,0,,0,,0,,0,
5,Cd2OH+3,6,Cd2OH+3,0.56,0.07,0.56,0.07,,,0,,0,,0,,0,,0,
6,CdCl+,7,CdCl+,0.12,0.05,0.12,0.05,,,0,,0,,0,,0,,0,
7,CdCl2(aq),8,CdCl2(aq),0,,0,,0,,0,,0,,0,,0.02,0.05,0.02,0.05
8,CdCl3-,9,CdCl3-,0,,0,,0,,,,-0.08,0.08,,,0,,0,
9,CdCl4-2,10,CdCl4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
10,CdCO3(aq),11,CdCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
14,CdH2PO4+,15,CdH2PO4+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
12,CdHCO3+,13,CdHCO3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
13,CdHPO4(aq),14,CdHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
17,CdHS+,18,CdHS+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
1,CdOH+,2,CdOH+,0.04,0.06,0.04,0.06,,,0,,0,,0,,0,,0,
21,CdS(HS)-,22,CdS(HS)-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
15,CdSO4(aq),16,CdSO4(aq),0,,0,,0,,0,,0,,0,,0.02,0.07,0.02,0.07
