#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
1,Hg(aq),1,Hg(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
18,Hg(HS)2(aq),20,Hg(HS)2(aq),0,,0,,0,,0,,0,,0,,0.055,0.1,0.055,0.1
4,Hg(OH)2(aq),6,Hg(OH)2(aq),0,,0,,0,,0,,0,,0,,-0.08,0.05,-0.08,0.05
5,Hg(OH)3-,7,Hg(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
17,Hg(SO4)2-2,19,Hg(SO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,Hg+2,4,Hg+2,0.34,0.03,0.34,0.03,,,0,,0,,0,,0,,0,
,Hg2+2,2,Hg2+2,0.09,0.02,0.09,0.02,,,0,,0,,0,,0,,0,
2,Hg2OH+,3,Hg2OH+,-0.13,0.16,-0.13,0.16,,,0,,0,,0,,0,,0,
6,HgCl+,8,HgCl+,0.15,0.05,0.15,0.05,,,0,,0,,0,,0,,0,
7,HgCl2(aq),9,HgCl2(aq),0,,0,,0,,0,,0,,0,,0.01,0.04,0.01,0.04
8,HgCl3-,10,HgCl3-,0,,0,,0,,,,0.05,0.06,,,0,,0,
9,HgCl4-2,11,HgCl4-2,0,,0,,0,,,,0.08,0.09,,,0,,0,
11,HgCO3(aq),13,HgCO3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
13,HgHCO3+,15,HgHCO3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
14,HgHPO4(aq),16,HgHPO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
3,HgOH+,5,HgOH+,0.06,0.05,0.06,0.05,,,0,,0,,0,,0,,0,
10,HgOHCl(aq),12,HgOHCl(aq),0,,0,,0,,0,,0,,0,,-0.01,0.09,-0.01,0.09
12,HgOHCO3-,14,HgOHCO3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
15,HgPO4-,17,HgPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
19,HgS(HS)-,21,HgS(HS)-,0,,0,,0,,,,0.08,0.1,,,0,,0,
20,HgS2-2,22,HgS2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
16,HgSO4(aq),18,HgSO4(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
