#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,NpO2+2,1,NpO2+2,0.15,0.1,0.46,0.05,,,0,,0,,0,,0,,0,
1,NpO2OH+,2,NpO2OH+,0.05,0.1,-0.06,0.4,,,0,,0,,0,,0,,0,
2,NpO2(OH)2(aq),3,NpO2(OH)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
3,NpO2(OH)3-,4,NpO2(OH)3-,0,,0,,0,,,,-0.2,0.02,,,0,,0,
4,NpO2(OH)4-2,5,NpO2(OH)4-2,0,,0,,0,,,,-0.12,0.04,,,0,,0,
5,(NpO2)2(OH)2+2,6,(NpO2)2(OH)2+2,0.15,0.1,0.57,0.1,,,0,,0,,0,,0,,0,
6,(NpO2)3(OH)5+,7,(NpO2)3(OH)5+,0.05,0.1,0.45,0.2,,,0,,0,,0,,0,,0,
7,NpO2F+,8,NpO2F+,0.05,0.1,0.29,0.12,,,0,,0,,0,,0,,0,
8,NpO2F2(aq),9,NpO2F2(aq),0,,0,,0,,0,,0,,0,,0,,0,
9,NpO2Cl+,10,NpO2Cl+,0.05,0.1,0.5,0.14,,,0,,0,,0,,0,,0,
10,NpO2IO3+,11,NpO2IO3+,0.05,0.1,0.33,0.04,,,0,,0,,0,,0,,0,
11,NpO2SO4(aq),12,NpO2SO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
12,NpO2(SO4)2-2,13,NpO2(SO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
13,NpO2H2PO4+,14,NpO2H2PO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
14,NpO2HPO4(aq),15,NpO2HPO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
15,NpO2(HPO4)2-2,16,NpO2(HPO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
16,NpO2CO3(aq),17,NpO2CO3(aq),0,,0,,0,,0,,0,,0,,0,,0,
17,NpO2(CO3)2-2,18,NpO2(CO3)2-2,0,,0,,0,,,,-0.02,0.14,,,0,,0,
18,NpO2(CO3)3-4,19,NpO2(CO3)3-4,0,,0,,0,,,,-0.4,0.19,-0.62,0.42,0,,0,
19,(NpO2)3(CO3)6-6,20,(NpO2)3(CO3)6-6,0,,0,,0,,,,-0.46,0.73,,,0,,0,
20,(NpO2)2CO3(OH)3-,21,(NpO2)2CO3(OH)3-,0,,0,,0,,,,0,0.05,,,0,,0,
21,(UO2)2NpO2(CO3)6-6,22,(UO2)2NpO2(CO3)6-6,0,,0,,0,,,,0.09,0.71,,,0,,0,
,NpO2+,23,NpO2+,0.09,0.05,0.25,0.05,,,0,,0,,0,,0,,0,
22,NpO2(OH)(aq),24,NpO2(OH)(aq),0,,0,,0,,0,,0,,0,,0,,0,
23,NpO2(OH)2-,25,NpO2(OH)2-,0,,0,,0,,,,-0.01,0.07,,,0,,0,
24,CaNpO2(OH)2+,26,CaNpO2(OH)2+,-0.07,0.08,0.2,0.1,,,0,,0,,0,,0,,0,
25,Ca3NpO2(OH)5+2,27,Ca3NpO2(OH)5+2,-0.2,0.11,0.4,0.1,,,0,,0,,0,,0,,0,
26,NpO2F(aq),28,NpO2F(aq),0,,0,,0,,0,,0,,0,,0,,0,
27,NpO2F2-,29,NpO2F2-,0,,0,,0,,,,-0.01,0.07,,,0,,0,
28,NpO2IO3(aq),30,NpO2IO3(aq),0,,0,,0,,0,,0,,0,,0,,0,
29,NpO2SO4-,31,NpO2SO4-,0,,0,,0,,,,0.07,0.13,,,0,,0,
30,NpO2H2PO4(aq),32,NpO2H2PO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
31,NpO2HPO4-,33,NpO2HPO4-,0,,0,,0,,,,-0.05,0.11,,,0,,0,
32,NpO2CO3-,34,NpO2CO3-,0,,0,,0,,,,-0.18,0.15,,,0,,0,
33,NpO2(CO3)2-3,35,NpO2(CO3)2-3,0,,0,,0,,,,-0.33,0.17,,,0,,0,
34,NpO2(CO3)3-5,36,NpO2(CO3)3-5,0,,0,,0,,,,-0.53,0.19,-0.22,0.03,0,,0,
35,NpO2CO3OH-2,37,NpO2CO3OH-2,0,,0,,0,,,,-0.1,0.1,0,,0,,0,
36,NpO2CO3(OH)2-3,38,NpO2CO3(OH)2-3,0,,0,,0,,,,-0.15,0.1,0,,0,,0,
37,NpO2(CO3)2OH-4,39,NpO2(CO3)2OH-4,0,,0,,0,,,,-0.4,0.19,,,0,,0,
38,NpO2SCN(aq),40,NpO2SCN(aq),0,,0,,0,,0,,0,,0,,0,,0,
,Np+4,41,Np+4,0.35,0.1,0.84,0.06,,,0,,0,,0,,0,,0,
39,NpOH+3,42,NpOH+3,0.25,0.1,0.5,0.05,,,0,,0,,0,,0,,0,
40,Np(OH)2+2,43,Np(OH)2+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
41,Np(OH)3+,44,Np(OH)3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
42,Np(OH)4(aq),45,Np(OH)4(aq),0,,0,,0,,0,,0,,0,,0,,0,
43,Ca4Np(OH)8+4,46,Ca4Np(OH)8+4,-0.01,0.1,0.8,0.1,,,0,,0,,0,,0,,0,
44,NpF+3,47,NpF+3,0.25,0.1,0.58,0.07,,,0,,0,,0,,0,,0,
45,NpF2+2,48,NpF2+2,0.15,0.1,0.38,0.17,,,0,,0,,0,,0,,0,
46,NpCl+3,49,NpCl+3,0.25,0.1,0.81,0.19,,,0,,0,,0,,0,,0,
47,NpI+3,50,NpI+3,0.25,0.1,0.88,0.26,,,0,,0,,0,,0,,0,
48,NpSO4+2,51,NpSO4+2,0.15,0.1,0.5,0.11,,,0,,0,,0,,0,,0,
49,Np(SO4)2(aq),52,Np(SO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
50,NpNO3+3,53,NpNO3+3,0.25,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
51,Np(CO3)4-4,54,Np(CO3)4-4,0,,0,,0,,,,-0.2,0.3,,,0,,0,
