#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,PuO2+2 ,1,PuO2+2 ,0.19,0.09,0.46,0.05,,,0,,0,,0,,0,,0,
1,PuO2OH+,2,PuO2OH+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
2,PuO2(OH)2(aq),3,PuO2(OH)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
3,PuO2(OH)3-,4,PuO2(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,,
4,(PuO2)2(OH)2+2,5,(PuO2)2(OH)2+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
5,PuO2F+,6,PuO2F+,0.05,0.1,0.29,0.11,,,0,,0,,0,,0,,0,
6,PuO2F2(aq),7,PuO2F2(aq),0,,0,,0,,0,,0,,0,,0,,0,
7,PuO2Cl+,8,PuO2Cl+,0.36,0.06,0.5,0.09,,,0,,0,,0,,0,,0,
8,PuO2Cl2(aq),9,PuO2Cl2(aq),0,,0,,0,,0,,0,,0,,0,,0,
9,PuO2SO4(aq),10,PuO2SO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
10,PuO2(SO4)2-2,11,PuO2(SO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
11,PuO2PO4-,12,PuO2PO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
12,PuO2HPO4(aq),13,PuO2HPO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
13,PuO2H2PO4+,14,PuO2H2PO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
14,PuO2(H2PO4)2(aq),15,PuO2(H2PO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
15,PuO2CO3(aq),16,PuO2CO3(aq),0,,0,,0,,0,,0,,0,,0,,0,
16,PuO2(CO3)2-2,17,PuO2(CO3)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
17,PuO2(CO3)3-4,18,PuO2(CO3)3-4,0,,0,,0,,,,-0.2,0.30,,,0,,0,
18,(PuO2)3(CO3)6-6,19,(PuO2)3(CO3)6-6,0,,0,,0,,,,0.37,0.11,,,0,,0,
19,(UO2)2PuO2(CO3)6-6,20,(UO2)2PuO2(CO3)6-6,0,,0,,0,,,,0.37,0.11,,,0,,0,
,PuO2+,21,PuO2+,0.05,0.1,0.24,0.05,,,0,,0,,0,,0,,0,
20,PuO2OH(aq),22,PuO2OH(aq),0,,0,,0,,0,,0,,0,,0,,0,
21,PuO2SO4-,23,PuO2SO4-,0,,0,,0,,,,0.07,0.13,,,0,,0,
22,PuO2CO3-,24,PuO2CO3-,0,,0,,0,,,,-0.18,0.18,,,0,,0,
23,PuO2(CO3)2-3,25,PuO2(CO3)2-3,0,,0,,0,,,,-0.15,0.2,,,0,,0,
24,PuO2(CO3)3-5,26,PuO2(CO3)3-5,0,,0,,0,,,,-0.25,0.4,,,0,,0,
,Pu+4,27,Pu+4,0.37,0.1,0.82,0.07,,,0,,0,,0,,0,,0,
25,PuOH+3,28,PuOH+3,0.2,0.1,0.5,0.05,,,0,,0,,0,,0,,0,
