#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
9,AlSiO(OH)3+2,10,AlSiO(OH)3+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
13,AmSiO(OH)3+2,14,AmSiO(OH)3+2,0.42,0.1,0.42,0.1,,,0,,0,,0,,0,,0,
4,CaSiO(OH)3+,5,CaSiO(OH)3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
5,CaSiO2(OH)2(aq),6,CaSiO2(OH)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
14,CmSiO(OH)3+2,15,CmSiO(OH)3+2,0.42,0.1,0.42,0.1,,,0,,0,,0,,0,,0,
12,EuSiO(OH)3+2,13,EuSiO(OH)3+2,0.42,0.1,0.42,0.1,,,0,,0,,0,,0,,0,
,SmSiO(OH)3+2,,SmSiO(OH)3+2,0.42,0.1,0.42,0.1,,,0,,0,,0,,0,,0,
,HoSiO(OH)3+2,,HoSiO(OH)3+2,0.42,0.1,0.42,0.1,,,0,,0,,0,,0,,0,
11,FeSiO(OH)3+2,12,FeSiO(OH)3+2,0.04,0.15,0.04,0.15,,,0,,0,,0,,0,,0,
6,MgSiO(OH)3+,7,MgSiO(OH)3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
7,MgSiO2(OH)2(aq),8,MgSiO2(OH)2(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
8,NiSiO(OH)3+,9,NiSiO(OH)3+,0.5,0.16,0.5,0.16,,,0,,0,,0,,0,,0,
21,NpO2SiO(OH)3(aq),22,NpO2SiO(OH)3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
23,NpO2SiO(OH)3+,24,NpO2SiO(OH)3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
17,NpSiO(OH)3+2,18,NpSiO(OH)3+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
19,NpSiO(OH)3+3,20,NpSiO(OH)3+3,0.44,0.3,0.44,0.3,,,0,,0,,0,,0,,0,
22,PuO2SiO(OH)3(aq),23,PuO2SiO(OH)3(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
24,PuO2SiO(OH)3+,25,PuO2SiO(OH)3+,0.2,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
18,PuSiO(OH)3+2,19,PuSiO(OH)3+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
20,PuSiO(OH)3+3,21,PuSiO(OH)3+3,0.55,0.28,0.55,0.28,,,0,,0,,0,,0,,0,
,Si(OH)4(aq),1,Si(OH)4(aq),0,,0,,0,,0,,0,,0,,0.03,0.06,0.03,0.06
3,Si4O8(OH)4-4,4,Si4O8(OH)4-4,0,,0,,0,,,,0,0.13,,,0,,0,
10,SiAlO3(OH)4-3,11,SiAlO3(OH)4-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
1,SiO(OH)3-,2,SiO(OH)3-,0,,0,,0,,,,-0.05,0.07,,,0,,0,
2,SiO2(OH)2-2,3,SiO2(OH)2-2,0,,0,,0,,,,-0.07,0.09,,,0,,0,
15,Th(OH)3(SiO(OH)3)3-2,16,Th(OH)3(SiO(OH)3)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
16,UO2SiO(OH)3+,17,UO2SiO(OH)3+,0.3,0.1,0.3,0.1,,,,,0,,,,0,,0,
