#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
10,Ca4Th(OH)8+4,11,Ca4Th(OH)8+4,-0.01,0.1,0.21,0.17,,,0,,0,,0,,0,,0,
29,Th(CO3)5-6,30,Th(CO3)5-6,0,,0,,0,,,,-0.3,0.15,,,0,,0,
27,Th(H2PO4)2+2,28,Th(H2PO4)2+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
28,Th(H3PO4)(H2PO4)+3,29,Th(H3PO4)(H2PO4)+3,0.25,0.1,0.5,0.1,,,0,,0,,0,,0,,0,
18,Th(IO3)2+2,19,Th(IO3)2+2,0.15,0.1,0.43,0.18,,,0,,0,,0,,0,,0,
19,Th(IO3)3+,20,Th(IO3)3+,0.05,0.1,0.25,0.15,,,0,,0,,0,,0,,0,
24,Th(NO3)2+2,25,Th(NO3)2+2,0.15,0.1,0.43,0.18,,,0,,0,,0,,0,,0,
32,Th(OH)2(CO3)2-2,33,Th(OH)2(CO3)2-2,0,,0,,0,,,,-0.1,0.2,,,0,,0,
2,Th(OH)2+2,3,Th(OH)2+2,0.13,0.05,0.33,0.1,0.1,0.15,0,,0,,0,,0,,0,
31,Th(OH)2CO3(aq),32,Th(OH)2CO3(aq),0,,0,,0,,0,,0,,0,,0,,0,
33,Th(OH)3CO3-,34,Th(OH)3CO3-,0,,0,,0,,,,-0.05,0.2,,,0,,0,
3,Th(OH)4(aq),4,Th(OH)4(aq),0,,0,,0,,0,,0,,0,,0,,0,
34,Th(OH)4CO3-2,35,Th(OH)4CO3-2,0,,0,,0,,,,-0.1,0.2,,,0,,0,
36,Th(SCN)2+2,37,Th(SCN)2+2,0.15,0.1,0.38,0.2,,,0,,0,,0,,0,,0,
21,Th(SO4)2(aq),22,Th(SO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
22,Th(SO4)3-2,23,Th(SO4)3-2,0,,0,,0,,-0.068,0.003,-0.091,0.038,-0.091,0.038,0,,0,
,Th+4,1,Th+4,0.25,0.03,0.7,0.1,0.31,0.12,0,,0,,0,,0,,0,
4,Th2(OH)2+6,5,Th2(OH)2+6,0.4,0.16,1.22,0.24,0.69,0.26,0,,0,,0,,0,,0,
5,Th2(OH)3+5,6,Th2(OH)3+5,0.29,0.09,0.91,0.21,0.69,0.25,0,,0,,0,,0,,0,
7,Th4(OH)12+4,8,Th4(OH)12+4,0.25,0.2,0.56,0.42,0.42,0.5,0,,0,,0,,0,,0,
6,Th4(OH)8+8,7,Th4(OH)8+8,0.7,0.2,1.69,0.42,1.59,0.51,0,,0,,0,,0,,0,
8,Th6(OH)14+10,9,Th6(OH)14+10,0.83,0.3,2.2,0.3,2.9,0.5,0,,0,,0,,0,,0,
9,Th6(OH)15+9,10,Th6(OH)15+9,0.72,0.3,1.85,0.74,2.2,0.77,0,,0,,0,,0,,0,
16,ThCl+3,17,ThCl+3,0.62,0.11,0.62,0.11,,,0,,0,,0,,0,,0,
11,ThF+3,12,ThF+3,0.25,0.10,0.48,0.08,0.25,0.2,0,,0,,0,,0,,0,
12,ThF2+2,13,ThF2+2,0.15,0.10,0.3,0.1,0.15,0.2,0,,0,,0,,0,,0,
13,ThF3+,14,ThF3+,0.05,0.10,0.1,0.1,0,0.2,0,,0,,0,,0,,0,
14,ThF4(aq),15,ThF4(aq),0,,0,,0,,0,,0,,0,,0,,0,
15,ThF6-2,16,ThF6-2,0,,0,,0,,,,-0.3,0.06,,,0,,0,
25,ThH2PO4+3,26,ThH2PO4+3,0.25,0.1,0.5,0.1,,,0,,0,,0,,0,,0,
26,ThH3PO4+4,27,ThH3PO4+4,0.35,0.1,0.7,0.1,,,0,,0,,0,,0,,0,
17,ThIO3+3,18,ThIO3+3,0.25,0.1,0.56,0.14,,,0,,0,,0,,0,,0,
23,ThNO3+3,24,ThNO3+3,0.25,0.1,0.56,0.14,,,0,,0,,0,,0,,0,
30,ThOH(CO3)4-5,31,ThOH(CO3)4-5,0,,0,,0,,,,-0.22,0.13,,,0,,0,
1,ThOH+3,2,ThOH+3,0.19,0.05,0.48,0.08,0.2,0.15,0,,0,,0,,0,,0,
35,ThSCN+3,36,ThSCN+3,0.25,0.1,0.5,0.1,,,0,,0,,0,,0,,0,
20,ThSO4+2,21,ThSO4+2,0.14,0.15,0.3,0.1,,,0,,0,,0,,0,,0,
