#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
,UO2+2,1,UO2+2,0.21,0.02,0.46,0.03,0.24,0.03,0,,0,,0,,0,,0,
1,UO2OH+,2,UO2OH+,0.05,0.1,-0.06,0.4,0.51,1.4,0,,0,,0,,0,,0,
2,UO2(OH)2(aq),3,UO2(OH)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
3,UO2(OH)3-,4,UO2(OH)3-,0,,0,,0,,,,-0.24,0.09,,,0,,0,
4,UO2(OH)4-2,5,UO2(OH)4-2,0,,0,,0,,,,0.01,0.04,,,0,,0,
5,(UO2)2OH+3,6,(UO2)2OH+3,0.25,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
6,(UO2)2(OH)2+2,7,(UO2)2(OH)2+2,0.69,0.07,0.57,0.07,0.49,0.09,0,,0,,0,,0,,0,
7,(UO2)3(OH)4+2,8,(UO2)3(OH)4+2,0.5,0.18,0.89,0.23,0.72,1,0,,0,,0,,0,,0,
8,(UO2)3(OH)5+,9,(UO2)3(OH)5+,0.81,0.17,0.45,0.15,0.41,0.22,0,,0,,0,,0,,0,
9,(UO2)3(OH)7-,10,(UO2)3(OH)7-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
10,(UO2)4(OH)7+,11,(UO2)4(OH)7+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
11,UO2F+,12,UO2F+,0.05,0.1,0.28,0.04,,,0,,0,,0,,0,,0,
12,UO2F2(aq),13,UO2F2(aq),0,,0,,0,,0,,0,,0,,0,,0.13,0.05
13,UO2F3-,14,UO2F3-,0,,0,,0,,,,-0.14,0.05,,,0,,0,
14,UO2F4-2,15,UO2F4-2,0,,0,,0,,,,-0.3,0.06,,,0,,0,
15,UO2Cl+,16,UO2Cl+,0.33,0.04,0.33,0.04,,,0,,0,,0,,0,,0,
16,UO2Cl2(aq),17,UO2Cl2(aq),0,,0,,0,,0,,0,,0,,0,,0,
17,UO2IO3+,18,UO2IO3+,0.05,0.1,0.33,0.04,,,0,,0,,0,,0,,0,
18,UO2(IO3)2(aq),19,UO2(IO3)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
19,UO2SO4(aq),20,UO2SO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
20,UO2(SO4)2-2,21,UO2(SO4)2-2,0,,0,,0,,,,-0.12,0.06,,,0,,0,
21,UO2(SO4)3-4,22,UO2(SO4)3-4,0,,0,,0,,,,-0.26,0.05,,,0,,0,
22,UO2HSeO3+,23,UO2HSeO3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
23,UO2(HSeO3)2(aq),24,UO2(HSeO3)2(aq),0,,0,,0,,0,,0,,0,,0,,0.00,0.10
24,UO2SeO4(aq),25,UO2SeO4(aq),0,,0,,0,,0,,0,,0,,0,,0.00,0.10
25,UO2(SeO4)2-2,26,UO2(SeO4)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
26,UO2NO3+,27,UO2NO3+,0.05,0.1,0.33,0.04,,,0,,0,,0,,0,,0,
27,UO2PO4-,28,UO2PO4-,0,,0,,0,,,,-0.09,0.05,,,0,,0,
28,UO2HPO4(aq),29,UO2HPO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
29,UO2H2PO4+,30,UO2H2PO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
30,UO2H3PO4+2,31,UO2H3PO4+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
31,UO2(H2PO4)2(aq),32,UO2(H2PO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
32,UO2(H2PO4)(H3PO4)+,33,UO2(H2PO4)(H3PO4)+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
33,UO2HAsO4(aq),34,UO2HAsO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
34,UO2H2AsO4+,35,UO2H2AsO4+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
35,UO2(H2AsO4)2(aq),36,UO2(H2AsO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
36,UO2CO3(aq),37,UO2CO3(aq),0,,0,,0,,0,,0,,0,,0,,0.15,0.06
37,UO2(CO3)2-2,38,UO2(CO3)2-2,0,,0,,0,,,,-0.15,0.08,,,0,,0,
38,UO2(CO3)3-4,39,UO2(CO3)3-4,0,,0,,0,,,,-0.01,0.11,,,0,,0,
39,(UO2)3(CO3)6-6,40,(UO2)3(CO3)6-6,0,,0,,0,,,,0.37,0.11,,,0,,0,
40,(UO2)2CO3(OH)3-,41,(UO2)2CO3(OH)3-,0,,0,,0,,,,0,0.05,,,0,,0,
41,(UO2)3O(OH)2(HCO3)+,42,(UO2)3O(OH)2(HCO3)+,0.05,0.1,0,0.1,,,0,,0,,0,,0,,0,
42,UO2CO3F-,43,UO2CO3F-,0,,0,,0,,,,0,0.05,,,0,,0,
43,UO2CO3F2-2,44,UO2CO3F2-2,0,,0,,0,,,,-0.02,0.09,,,0,,0,
44,UO2CO3F3-3,45,UO2CO3F3-3,0,,0,,0,,,,-0.25,0.05,,,0,,0,
45,MgUO2(CO3)3-2,46,MgUO2(CO3)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
46,Mg2UO2(CO3)3(aq),47,Mg2UO2(CO3)3(aq),0,,0,,0,,,,0,,0,,0,,0.00,0.10
47,CaUO2(CO3)3-2,48,CaUO2(CO3)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
48,Ca2UO2(CO3)3(aq),49,Ca2UO2(CO3)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
49,SrUO2(CO3)3-2,50,SrUO2(CO3)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
50,Sr2UO2(CO3)3(aq),51,Sr2UO2(CO3)3(aq),0,,0,,0,,,,0,,0,,0,,0.00,0.10
51,BaUO2(CO3)3-2,52,BaUO2(CO3)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
52,Ba2UO2(CO3)3(aq),53,Ba2UO2(CO3)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
53,UO2SCN+,54,UO2SCN+,0.05,0.1,0.26,0.04,,,0,,0,,0,,0,,0,
54,UO2(SCN)2(aq),55,UO2(SCN)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
55,UO2(SCN)3-,56,UO2(SCN)3-,0,,0,,0,,,,0,0.05,,,0,,0,
,UO2+,57,UO2+,0.05,0.1,0.26,0.03,,,0,,0,,0,,0,,0,
56,UO2(CO3)3-5,58,UO2(CO3)3-5,0,,0,,0,,,,-0.92,0.23,,,0,,0,
,U+4,59,U+4,0.35,0.1,0.76,0.06,,,0,,0,,0,,0,,0,
57,UOH+3,60,UOH+3,0.25,0.1,0.48,0.08,,,0,,0,,0,,0,,0,
58,U(OH)2+2,61,U(OH)2+2,0.15,0.1,0.4,0.1,,,0,,0,,0,,0,,0,
59,U(OH)3+,62,U(OH)3+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
60,U(OH)4(aq),63,U(OH)4(aq),0,,0,,0,,0,,0,,0,,0,,0,
61,UF+3,64,UF+3,0.25,0.1,0.48,0.08,,,0,,0,,0,,0,,0,
62,UF2+2,65,UF2+2,0.3,0.1,0.3,0.1,,,0,,0,,0,,0,,0,
63,UF3+,66,UF3+,0.1,0.1,0.1,0.1,,,0,,0,,0,,0,,0,
64,UF4(aq),67,UF4(aq),0,,0,,0,,0,,0,,0,,0,,0,
65,UF5-,68,UF5-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
66,UF6-2,69,UF6-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
67,UCl+3,70,UCl+3,0.59,0.1,0.59,0.1,,,0,,0,,0,,0,,0,
68,UI+3,71,UI+3,0.25,0.1,0.55,0.1,,,0,,0,,0,,0,,0,
69,USO4+2,72,USO4+2,0.15,0.1,0.3,0.1,,,0,,0,,0,,0,,0,
70,U(SO4)2(aq),73,U(SO4)2(aq),0,,0,,0,,0,,0,,0,,0,,0,
71,UNO3+3,74,UNO3+3,0.25,0.1,0.62,0.08,,,0,,0,,0,,0,,0,
72,U(NO3)2+2,75,U(NO3)2+2,0.15,0.1,0.49,0.14,,,0,,0,,0,,0,,0,
73,UH2PO4+3,76,UH2PO4+3,0.25,0.1,0.6,0.1,,,0,,0,,0,,0,,0,
74,U(CO3)4-4,77,U(CO3)4-4,0,,0,,0,,,,-0.09,0.1,,,0,,0,
75,U(CO3)5-6,78,U(CO3)5-6,0,,0,,0,,,,-0.3,0.15,-0.7,0.31,0,,0,
76,UCO3(OH)3-,79,UCO3(OH)3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
77,USCN+3,80,USCN+3,0.25,0.1,0.52,0.1,,,0,,0,,0,,0,,0,
78,U(SCN)2+2,81,U(SCN)2+2,0.15,0.1,0.3,0.1,,,0,,0,,0,,0,,0,
