#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
13,As(OH)3(aq),,As(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
14,As(OH)4-,,As(OH)4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
15,AsO4-3,,AsO4-3,0,,0,,0,,,,-0.15,0.2,,,0,,0,
1,B(OH)3(aq),1,B(OH)3(aq),0,,0,,0,,0,,0,,0,,0,,0,
16,B(OH)4-,,B(OH)4-,0,,0,,0,,,,-0.07,0.05,,,0,,0,
2,Br-,2,Br-,0,,0,,0,,0.13,0.02,0.05,0.01,0.01,0.02,0,,0,
17,CH4(aq),13,CH4(aq),0,,0,,0,,0,,0,,0,,0,,0,
18,CN-,14,CN-,0,,0,,0,,,,0.07,0.03,,,0,,0,
19,CO2(aq),15,CO2(aq),0,,0,,0,,0,,0,,0,,0,,0,
20,CO3-2,16,CO3-2,0,,0,,0,,,,-0.08,0.03,0.02,0.01,0,,0,
4,Cs+,4,Cs+,0.05,0.1,0.2,0.1,,,0,,0,,0,,0,,0,
5,F-,5,F-,0,,0,,0,,,,0.02,0.02,0.03,0.02,0,,0,
6,H+,6,H+,0.12,0.01,0.14,0.02,0.07,0.01,0,,0,,0,,0,,0,
21,H2(aq),17,H2(aq),0,,0,,0,,0,,0,,0,,0,,0,
22,H2AsO4-,18,H2AsO4-,0,,0,,0,,,,-0.01,0.01,,,0,,0,
23,H2PO4-,19,H2PO4-,0,,0,,0,,,,-0.08,0.04,-0.14,0.04,0,,0,
24,H2S(aq),20,H2S(aq),0,,0,,0,,0,,0,,0,,0.055,0.004,0,
25,H3AsO4(aq),21,H3AsO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
26,H3PO4(aq),22,H3PO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
7,HAsO4-2,7,HAsO4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
27,HCN(aq),23,HCN(aq),0,,0,,0,,0,,0,,0,,0,,0,
8,HCO3-,8,HCO3-,0,,0,,0,,,,0,0.02,-0.06,0.05,0,,0,
28,HF(aq),24,HF(aq),0,,0,,0,,0,,0,,0,,0,,0,
29,HF2-,25,HF2-,0,,0,,0,,,,-0.11,0.06,,,0,,0,
30,HIO3(aq),26,HIO3(aq),0,,0,,0,,0,,0,,0,,0,,0,
31,HP2O7-3,27,HP2O7-3,0,,0,,0,,,,-0.15,0.2,,,0,,0,
9,HPO4-2,9,HPO4-2,0,,0,,0,,,,-0.15,0.06,-0.1,0.06,0,,0,
32,HS-,28,HS-,0,,0,,0,,,,0.08,0.01,,,0,,0,
33,HSO3-,29,HSO3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
34,HSO4-,30,HSO4-,0,,0,,0,,,,-0.01,0.02,,,0,,0,
10,I-,10,I-,0,,0,,0,,0.16,0.01,0.08,0.02,0.02,0.01,0,,0,
35,I2(aq),31,I2(aq),0,,0,,0,,0,,0,,0,,0,,0,
36,I3-,32,I3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
37,IO3-,33,IO3-,0,,0,,0,,,,-0.06,0.02,,,0,,0,
38,N2(aq),34,N2(aq),0,,0,,0,,0,,0,,0,,0,,0,
39,NH3(aq),35,NH3(aq),0,,0,,0,,0,,0,,0,,0,,0,
40,NH4+,36,NH4+,-0.01,0.01,-0.08,0.04,-0.06,0.03,0,,0,,0,,0,,0,
11,NO3-,11,NO3-,0,,0,,0,,0.08,0.01,-0.04,0.03,-0.11,0.04,0,,0,
41,O2(aq),37,O2(aq),0,,0,,0,,0,,0,,0,,0,,0,
42,OH-,38,OH-,0,,0,,0,,-0.02,0.03,0.04,0.01,0.09,0.01,0,,0,
43,P2O7-4,39,P2O7-4,0,,0,,0,,,,-0.26,0.05,-0.15,0.05,0,,0,
44,PO4-3,40,PO4-3,0,,0,,0,,,,-0.25,0.03,-0.09,0.02,0,,0,
45,S-2,41,S-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
46,S2O3-2,42,S2O3-2,0,,0,,0,,,,-0.08,0.05,,,0,,0,
47,SCN-,43,SCN-,0,,0,,0,,,,0.05,0.01,-0.01,0.01,0,,0,
48,SO3-2,44,SO3-2,0,,0,,0,,,,-0.08,0.05,,,0,,0,
12,SO4-2,12,SO4-2,0,,0,,0,,-0.03,0.04,-0.12,0.06,-0.06,0.02,0,,0,
,S(aq),,S(aq),0,0.05,0,0.05,0,,0,,0,0.05,0,,0,0.1,0,0.1
