Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
H2Po(aq),H2Po(aq),H2Po|-2|(aq),aq,206.5,,,,,,,
HPo-,HPo-,HPo|-2|-,aq,209.3,,,,,,,
Po-2,Po-2,Po|-2|-2,aq,274,,,,,,,
Po+2,Po+2,Po|2|+2,aq,124.1,,,,,,,
PoCl4-2,PoCl4-2,Po|2|Cl4-2,aq,-443.9,,,,,,,
PoSO4(aq),PoSO4(aq),Po|2|SO4(aq),aq,-626.3,,,,,,,
Po+4,Po+4,Po+4,aq,276.5,,,,,,,
PoCl6-2,PoCl6-2,PoCl6-2,aq,-555.3,,,,,,,
PoO2(s),PoO2(s),PoO2,s,-192.1,,,,,,,
Po(cr),Polonium,Po|0|,s,0,,0,,62.8,,,
