Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Si(OH)4(aq),Si(OH)4(aq),Si(OH)4(aq),aq,-1309.183,1.12,-1461.723,1.082,178.851,2.178,237.37,2.024
SiO2(cr),Quartz,SiO2,s,-856.29,1.002,-910.7,1,41.46,0.2,44.602,0.3
Smectite_MX80,Smectite_MX80,(Na0.409K0.024Ca0.009)(Si3.738Al0.262)(Al1.598 Mg0.214Fe|+3|0.173Fe|+2|0.035)O10(OH)2,s,-5293.18,5.4,-5656.37,5.4,301.92,0.2,322.74,
Saponite_SapCa-2,Saponite_SapCa-2,(Na0.394K0.021Ca0.038)(Si3.569Al0.397)(Mg2.949 Fe|+3|0.034 Fe|+2|0.021)O10(OH)2,s,-5622.45,5,-5994.06,4.9,314.55,1.6,346.87,
Nontronite_Nau-1,Nontronite_Nau-1,(Ca0.247K0.020)(Si3.458Al0.542)(Fe|+3|1.688Al0.276Mg0.068)O10(OH)2,s,-4684.90,6.5,-5035.69,5.3,332.75,7,335.15,
Beidellite_SBld-1,Beidellite_SBld-1,(Ca0.185K0.104)(Si3.574Al0.426)(Al1.812Mg0.090 Fe|+3|0.112)O10(OH)2,s,-5357.24,6.5,-5720.69,6.5,293.53,0.4,318.58,
Illite_IMt-2,Illite_IMt-2,(K0.762Na0.044)(Si3.387Al0.613)(Al1.427Fe|+3|0.292Mg0.241 Fe|+2|0.084)O10(OH)2,s,-5325.87,8.5,-5711.25,8.5,324.92,0.2,328.21,
Vermiculite_SO,Vermiculite_SO,Ca0.445(Si2.778Al1.222)(Al0.192Mg2.468Fe|+3|0.226Fe|+2|0.028Ti0.018Mn0.007)O10(OH)2,s,-5671.20,5.7,-6034.41,5.7,325.77,0.5,346.39,
Ripidolite_Cca-2,Ripidolite_Cca-2,(Si2.633Al1.367)(Al1.116Fe|+3|0.215Mg2.952Fe|+2|1.712Mn0.012)(Ca0.011)O10(OH)8,s,-7593.46,8.7,-8240.14,8.6,469.4,2.9,547.02,
Berthierine_ISGS,Berthierine_ISGS,(Si1.332Al0.668)(Al0.976Fe|+3|0.182Fe|+2|1.44Mg0.157)O5(OH)4,s,-3461.94,7.3,-3774.46,6.3,257,6.7,263.57,
Montmorillonite(MgK),Montmorillonite(MgK),K0.34Mg0.34Al1.66Si4O10(OH)2,s,-5332.65,,-5703.51,,273.04,,311.33,
Montmorillonite(MgNa),Montmorillonite(MgNa),Na0.34Mg0.34Al1.66Si4O10(OH)2,s,-5322.35,,-5690.41,,277.88,,310.6,
Montmorillonite(MgCa),Montmorillonite(MgCa),Ca0.17Mg0.34Al1.66Si4O10(OH)2,s,-5322.63,,-5690.29,,268.85,,305.88,
Montmorillonite(MgMg),Montmorillonite(MgMg),Mg0.17Mg0.34Al1.66Si4O10(OH)2,s,-5309,,-5676.01,,269.52,,304.71,
Montmorillonite(HcK),Montmorillonite(HcK),K0.6Mg0.6Al1.4Si4O10(OH)2,s,-5388.47,,-5757.74,,296.34,,319.96,
Montmorillonite(HcNa),Montmorillonite(HcNa),Na0.6Mg0.6Al1.4Si4O10(OH)2,s,-5370.31,,-5734.63,,304.9,,318.67,
Montmorillonite(HcCa),Montmorillonite(HcCa),Ca0.3Mg0.6Al1.4Si4O10(OH)2,s,-5370.8,,-5734.42,,288.96,,310.34,
Montmorillonite(HcMg),Montmorillonite(HcMg),Mg0.3Mg0.6Al1.4Si4O10(OH)2,s,-5346.75,,-5709.22,,290.13,,308.29,
Saponite(K),Saponite(K),K0.34Mg3Al0.34Si3.66O10(OH)2,s,-5632.9,,-6010.39,,293.96,,334.54,
Saponite(Na),Saponite(Na),Na0.34Mg3Al0.34Si3.66O10(OH)2,s,-5623.07,,-5997.76,,298.8,,333.81,
Saponite(Ca),Saponite(Ca),Ca0.17Mg3Al0.34Si3.66O10(OH)2,s,-5624.15,,-5998.44,,289.78,,329.09,
Saponite(Mg),Saponite(Mg),Mg0.17Mg3Al0.34Si3.66O10(OH)2,s,-5610.7,,-5984.34,,290.44,,327.93,
Saponite(FeK),Saponite(FeK),K0.34Mg2Fe|+2|Al0.34Si3.66O10(OH)2,s,-5284.04,,-5645.53,,342.04,,344.95,
Saponite(FeNa),Saponite(FeNa),Na0.34Mg2Fe|+2|Al0.34Si3.66O10(OH)2,s,-5275.2,,-5633.89,,346.87,,344.23,
Saponite(FeCa),Saponite(FeCa),Ca0.17Mg2Fe|+2|Al0.34Si3.66O10(OH)2,s,-5275.28,,-5633.57,,337.85,,339.5,
Saponite(FeMg),Saponite(FeMg),Mg0.17Mg2Fe|+2|Al0.34Si3.66O10(OH)2,s,-5261.84,,-5619.48,,338.52,,338.33,
Nontronite(K),Nontronite(K),K0.34Fe|+3|1.67Al0.67Si3.66O10(OH)2,s,-4638.59,,-4994.27,,323.66,,334.23,
Nontronite(Na),Nontronite(Na),Na0.34Fe|+3|1.67Al0.67Si3.66O10(OH)2,s,-4628.76,,-4981.64,,328.49,,333.5,
Nontronite(Ca),Nontronite(Ca),Ca0.17Fe|+3|1.67Al0.67Si3.66O10(OH)2,s,-4629.84,,-4982.32,,319.47,,328.78,
Nontronite(Mg),Nontronite(Mg),Mg0.17Fe|+3|1.67Al0.67Si3.66O10(OH)2,s,-4616.39,,-4968.22,,320.14,,327.62,
Beidellite(K),Beidellite(K),K0.34Al2.34Si3.66O10(OH)2,s,-5376.58,,-5749.86,,266.65,,310.35,
Beidellite(Na),Beidellite(Na),Na0.34Al2.34Si3.66O10(OH)2,s,-5376.75,,-5747.23,,271.49,,309.62,
Beidellite(Ca),Beidellite(Ca),Ca0.17Al2.34Si3.66O10(OH)2,s,-5367.83,,-5737.91,,262.47,,304.9,
Beidellite(Mg),Beidellite(Mg),Mg0.17Al2.34Si3.66O10(OH)2,s,-5354.38,,-5723.81,,263.13,,303.74,
Illite(Mg),Illite(Mg),K0.85Mg0.25Al2.35Si3.4O10(OH)2,s,-5509.03,,-5881.39,,306.28,,326.41,
Illite(FeII),Illite(FeII),K0.85Fe|+2|0.25Al2.35Si3.4O10(OH)2,s,-5426.71,,-5796.29,,314.23,,329,
Illite(FeIII),Illite(FeIII),K0.85Fe|+3|0.25Al2.6Si3.15O10(OH)2,s,-5423.28,,-5795.39,,308.1,,329.28,
Illite(Al),Illite(Al),K0.85Al2.85Si3.15O10(OH)2,s,-5537.36,,-5913.65,,294.41,,325.7,
Vermiculite(K),Vermiculite(K),K0.86Mg3Al0.86Si3.14O10(OH)2,s,-5792.89,,-6173.41,,322.36,,350.19,
Vermiculite(Na),Vermiculite(Na),Na0.86Mg3Al0.86Si3.14O10(OH)2,s,-5769.82,,-6143.26,,334.6,,348.34,
Vermiculite(Ca),Vermiculite(Ca),Ca0.43Mg3Al0.86Si3.14O10(OH)2,s,-5775.64,,-6148.06,,311.78,,336.4,
Vermiculite(Mg),Vermiculite(Mg),Mg0.43Mg3Al0.86Si3.14O10(OH)2,s,-5742.33,,-6113.11,,313.46,,333.46,
Berthierine(FeIII),Berthierine(FeIII),(Fe|+2|2.34Fe|+3|0.33Al0.33)(Si1.34Al0.66)O5(OH)4,s,-3153.29,,-3458.03,,287.97,,297.41,
Berthierine(FeII),Berthierine(FeII),(Fe|+2|2Al)(SiAl)O5(OH)4,s,-3454.11,,-3770.46,,253.07,,283.5,
Cronstedtite,Cronstedtite,(Fe|+2|2Fe|+3|)(SiFe|+3|)O5(OH)4,s,-2616.84,,-2914.55,,313.16,,257.02,
Glauconite,Glauconite,K0.75(Mg0.25Fe|+2|0.25Fe|+3|1.25Al0.25)(Al0.25Si3.75)O10(OH)2,s,-4800.21,,-5151.13,,366.58,,344.54,
Analcime,Analcime,Na2Al2Si4O12(H2O)2,s,-6139.7,,-6575.84,,469,,425,
Low-silica_P-Na,Low-silica_P-Na,Na2Al2Si2O8(H2O)3.8,s,-4858.72,,-5314.82,,374,,384,
Phillipsite-Na,Phillipsite-Na,Na2.5Al2.5Si5.5O16(H2O)5,s,-8717.83,,-9438.72,,692,,620,
Phillipsite-NaK,Phillipsite-NaK,Na1.5KAl2.5Si5.5O16(H2O)5,s,-8741.26,,-9461.67,,707,,626,
Linda_type_A,Linda_type_A,Na1.98Al1.98Si2.02O8(H2O)5.31,s,-5203.75,,-5701.89,,584,,513,
Molecular_sieve_4Å,Molecular_sieve_4Å,Na2Al2Si2O8(H2O)4.5,s,-5029.88,,-5486.36,,536,,475,
Hydrosodalite,Hydrosodalite,Na8Al6Si6O24(OH)2(H2O)2,s,-13221.4,,-14120.1,,943,,895,
Sodalite,Sodalite,Na8Al6Si6O24Cl2,s,-12719.1,,-13473.4,,848,,812,
