Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
PuO2OH+,PuO2OH+,Pu|+6|O2OH+,aq,-5.5,0.5,28,15,,,,,1 PuO2+2 1 H2O(l) -1 H+ = PuO2OH+
PuO2(OH)2(aq),PuO2(OH)2(aq),Pu|+6|O2(OH)2(aq),aq,-13.2,1.5,,,,,,,1 PuO2+2 2 H2O(l) -2 H+ = PuO2(OH)2(aq)
PuO2(OH)3-,PuO2(OH)3-,Pu|+6|O2(OH)3-,aq,-24.0,1.6,,,,,,,1 PuO2+2 3 H2O(l) -3 H+ = PuO2(OH)3-
(PuO2)2(OH)2+2,(PuO2)2(OH)2+2,(Pu|+6|O2)2(OH)2+2,aq,-7.5,1,65.4,1.0,,,,,2 PuO2+2 2 H2O(l) -2 H+ = (PuO2)2(OH)2+2
PuO2F+,PuO2F+,Pu|+6|O2F+,aq,4.56,0.2,,,,,,,1 PuO2+2 1 F- = PuO2F+
PuO2F2(aq),PuO2F2(aq),Pu|+6|O2F2(aq),aq,7.25,0.45,,,,,,,1 PuO2+2 2 F- = PuO2F2(aq)
PuO2Cl+,PuO2Cl+,Pu|+6|O2Cl+,aq,0.23,0.03,,,,,,,1 PuO2+2 1 Cl- = PuO2Cl+
PuO2Cl2(aq),PuO2Cl2(aq),Pu|+6|O2Cl2(aq),aq,-1.15,0.3,,,,,,,1 PuO2+2 2 Cl- = PuO2Cl2(aq)
PuO2SO4(aq),PuO2SO4(aq),Pu|+6|O2SO4(aq),aq,3.38,0.2,16.1,0.6,,,,,1 PuO2+2 1 SO4-2 = PuO2SO4(aq)
PuO2(SO4)2-2,PuO2(SO4)2-2,Pu|+6|O2(SO4)2-2,aq,4.4,0.2,43,9,,,,,1 PuO2+2 2 SO4-2 = PuO2(SO4)2-2
PuO2PO4-,PuO2PO4-,Pu|+6|O2PO4-,aq,11.76,0.70,,,,,,,1 PuO2+2 1 PO4-3 = PuO2PO4-
PuO2HPO4(aq),PuO2HPO4(aq),Pu|+6|O2HPO4(aq),aq,7.24,,,,,,,,1 PuO2+2 1 HPO4-2 = PuO2HPO4(aq)
PuO2H2PO4+,PuO2H2PO4+,Pu|+6|O2H2PO4+,aq,3.26,,,,,,,,1 PuO2+2 1 H2PO4- = PuO2H2PO4+
PuO2(H2PO4)2(aq),PuO2(H2PO4)2(aq),Pu|+6|O2(H2PO4)2(aq),aq,4.92,,,,,,,,1 PuO2+2 2 H2PO4- = PuO2(H2PO4)2(aq)
PuO2CO3(aq),PuO2CO3(aq),Pu|+6|O2CO3(aq),aq,9.5,0.5,,,,,,,1 PuO2+2 1 CO3-2 = PuO2CO3(aq)
PuO2(CO3)2-2,PuO2(CO3)2-2,Pu|+6|O2(CO3)2-2,aq,14.7,0.5,-27,4,,,,,1 PuO2+2 2 CO3-2 = PuO2(CO3)2-2
