Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
SnOH+,SnOH+,SnOH+,aq,-3.53,0.4,,,,,,,1 Sn+2 1 H2O(l) -1 H+ = SnOH+
Sn(OH)2(aq),Sn(OH)2(aq),Sn(OH)2(aq),aq,-7.68,0.4,,,,,,,1 Sn+2 2 H2O(l) -2 H+ = Sn(OH)2(aq)
Sn(OH)3-,Sn(OH)3-,Sn(OH)3-,aq,-17,0.6,,,,,,,1 Sn+2 3 H2O(l) -3 H+ = Sn(OH)3-
Sn3(OH)4+2,Sn3(OH)4+2,Sn3(OH)4+2,aq,-5.6,0.47,,,,,,,3 Sn+2 4 H2O(l) -4 H+ = Sn3(OH)4+2
Sn(OH)Cl(aq),Sn(OH)Cl(aq),Sn(OH)Cl(aq),aq,-2.5,0.3,,,,,,,1 Sn+2 1 H2O(l) 1 Cl- -1 H+ = Sn(OH)Cl(aq)
SnF+,SnF+,SnF+,aq,5.25,0.19,,,,,,,1 Sn+2 1 F- = SnF+
SnF2(aq),SnF2(aq),SnF2(aq),aq,8.89,0.21,,,,,,,1 Sn+2 2 F- = SnF2(aq)
SnF3-,SnF3-,SnF3-,aq,11.5,1,,,,,,,1 Sn+2 3 F- = SnF3-
SnCl+,SnCl+,SnCl+,aq,1.41,0.2,2.25,,0,,25,200,1 Sn+2 1 Cl- = SnCl+
SnCl2(aq),SnCl2(aq),SnCl2(aq),aq,2.22,0.2,-4.81,,187,,25,300,1 Sn+2 2 Cl- = SnCl2(aq)
SnCl3-,SnCl3-,SnCl3-,aq,2.37,0.2,-17,,408,,25,300,1 Sn+2 3 Cl- = SnCl3-
SnCl4-2,SnCl4-2,SnCl4-2,aq,2.03,0.2,0,,0,,25,150,1 Sn+2 4 Cl- = SnCl4-2
SnBr+,SnBr+,SnBr+,aq,1.33,0.18,5.1,2,0,,0,45,1 Sn+2 1 Br- = SnBr+
SnBr2(aq),SnBr2(aq),SnBr2(aq),aq,1.97,0.21,12.9,2,0,,0,45,1 Sn+2 2 Br- = SnBr2(aq)
SnBr3-,SnBr3-,SnBr3-,aq,1.93,0.27,7.2,4,0,,0,45,1 Sn+2 3 Br- = SnBr3-
SnSO4(aq),SnSO4(aq),SnSO4(aq),aq,3.43,0.25,,,,,,,1 Sn+2 1 SO4-2 = SnSO4(aq)
SnNO3+,SnNO3+,SnNO3+,aq,1.27,0.31,,,,,,,1 Sn+2 1 NO3- = SnNO3+
Sn(NO3)2(aq),Sn(NO3)2(aq),Sn(NO3)2(aq),aq,1.39,0.53,,,,,,,1 Sn+2 2 NO3- = Sn(NO3)2(aq)
SnH2PO4+,SnH2PO4+,SnH2PO4+,aq,3.4,0.2,,,,,,,1 Sn+2 1 H2PO4- = SnH2PO4+
Sn(H2PO4)2(aq),Sn(H2PO4)2(aq),Sn(H2PO4)2(aq),aq,6.1,0.2,,,,,,,1 Sn+2 2 H2PO4- = Sn(H2PO4)2(aq)
SnH2PO4HPO4-,SnH2PO4HPO4-,SnH2PO4HPO4-,aq,10.5,0.2,,,,,,,1 Sn+2 1 H2PO4- 1 HPO4-2 = SnH2PO4HPO4-
SnHPO4(aq),SnHPO4(aq),SnHPO4(aq),aq,9.6,0.2,,,,,,,1 Sn+2 1 HPO4-2 = SnHPO4(aq)
Sn(HPO4)2-2,Sn(HPO4)2-2,Sn(HPO4)2-2,aq,13.6,0.2,,,,,,,1 Sn+2 2 HPO4-2 = Sn(HPO4)2-2
Sn(HPO4)3-4,Sn(HPO4)3-4,Sn(HPO4)3-4,aq,13.5,0.2,,,,,,,1 Sn+2 3 HPO4-2 = Sn(HPO4)3-4
SnPO4-,SnPO4-,SnPO4-,aq,18.1,0.2,,,,,,,1 Sn+2 1 PO4-3 = SnPO4-
SnSCN+,SnSCN+,SnS|0|C|0|N|-1|+,aq,1.5,0.7,,,,,,,1 Sn+2 1 SCN- = SnSCN+
Sn(OH)4(aq),Sn(OH)4(aq),Sn|+4|(OH)4(aq),aq,7.54,0.69,,,,,,,1 Sn+4 4 H2O(l) -4 H+ = Sn(OH)4(aq)
Sn(OH)5-,Sn(OH)5-,Sn|+4|(OH)5-,aq,-8.6,0.4,,,,,,,1 Sn(OH)4(aq) 1 H2O(l) -1 H+ = Sn(OH)5-
Sn(OH)6-2,Sn(OH)6-2,Sn|+4|(OH)6-2,aq,-18.67,0.3,,,,,,,1 Sn(OH)4(aq) 2 H2O(l) -2 H+ = Sn(OH)6-2
SnF6-2,SnF6-2,Sn|+4|F6-2,aq,25,,,,,,,,1 Sn+4 6 F- = SnF6-2
SnCl+3,SnCl+3,Sn|+4|Cl+3,aq,3.19,0.5,,,,,,,1 Sn+4 1 Cl- = SnCl+3
SnCl2+2,SnCl2+2,Sn|+4|Cl2+2,aq,5.95,0.36,,,,,,,1 Sn+4 2 Cl- = SnCl2+2
SnCl4(aq),SnCl4(aq),Sn|+4|Cl4(aq),aq,9.57,0.32,,,,,,,1 Sn+4 4 Cl- = SnCl4(aq)
SnCl5-,SnCl5-,Sn|+4|Cl5-,aq,10.93,0.41,,,,,,,1 Sn+4 5 Cl- = SnCl5-
SnCl6-2,SnCl6-2,Sn|+4|Cl6-2,aq,9.83,0.49,,,,,,,1 Sn+4 6 Cl- = SnCl6-2
