Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
UO2OH+,UO2OH+,U|+6|O2OH+,aq,-5.25,0.24,43.3,2.3,,,,,1 UO2+2 1 H2O(l) -1 H+ = UO2OH+
UO2(OH)2(aq),UO2(OH)2(aq),U|+6|O2(OH)2(aq),aq,-12.15,0.07,,,,,,,1 UO2+2 2 H2O(l) -2 H+ = UO2(OH)2(aq)
UO2(OH)3-,UO2(OH)3-,U|+6|O2(OH)3-,aq,-20.25,0.42,,,,,,,1 UO2+2 3 H2O(l) -3 H+ = UO2(OH)3-
UO2(OH)4-2,UO2(OH)4-2,U|+6|O2(OH)4-2,aq,-32.4,0.68,,,,,,,1 UO2+2 4 H2O(l) -4 H+ = UO2(OH)4-2
(UO2)2OH+3,(UO2)2OH+3,(U|+6|O2)2OH+3,aq,-2.7,1,,,,,,,2 UO2+2 1 H2O(l) -1 H+ = (UO2)2OH+3
(UO2)2(OH)2+2,(UO2)2(OH)2+2,(U|+6|O2)2(OH)2+2,aq,-5.62,0.08,47.8,0.5,,,,,2 UO2+2 2 H2O(l) -2 H+ = (UO2)2(OH)2+2
(UO2)3(OH)4+2,(UO2)3(OH)4+2,(U|+6|O2)3(OH)4+2,aq,-11.9,0.3,99.2,0.5,,,,,3 UO2+2 4 H2O(l) -4 H+ = (UO2)3(OH)4+2
(UO2)3(OH)5+,(UO2)3(OH)5+,(U|+6|O2)3(OH)5+,aq,-15.55,0.12,120.7,0.6,,,,,3 UO2+2 5 H2O(l) -5 H+ = (UO2)3(OH)5+
(UO2)3(OH)7-,(UO2)3(OH)7-,(U|+6|O2)3(OH)7-,aq,-32.2,0.8,,,,,,,3 UO2+2 7 H2O(l) -7 H+ = (UO2)3(OH)7-
(UO2)4(OH)7+,(UO2)4(OH)7+,(U|+6|O2)4(OH)7+,aq,-21.9,1,,,,,,,4 UO2+2 7 H2O(l) -7 H+ = (UO2)4(OH)7+
UO2F+,UO2F+,U|+6|O2F+,aq,5.16,0.06,-0.54,0.26,,,,,1 UO2+2 1 F- = UO2F+
UO2F2(aq),UO2F2(aq),U|+6|O2F2(aq),aq,8.83,0.08,-1.34,0.18,,,,,1 UO2+2 2 F- = UO2F2(aq)
