Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
ZnOH+,ZnOH+,ZnOH+,aq,-8.94,0.06,56.7,0.7,0,,15,350,1 Zn+2 1 H2O(l) -1 H+ = ZnOH+
Zn(OH)2(aq),Zn(OH)2(aq),Zn(OH)2(aq),aq,-17.89,0.15,107.1,3.1,-65,27,20,350,1 Zn+2 2 H2O(l) -2 H+ = Zn(OH)2(aq)
Zn(OH)3-,Zn(OH)3-,Zn(OH)3-,aq,-27.98,0.1,143.5,2.5,-196,23,12,350,1 Zn+2 3 H2O(l) -3 H+ = Zn(OH)3-
Zn(OH)4-2,Zn(OH)4-2,Zn(OH)4-2,aq,-40.35,0.22,178.3,5.8,-348,56,12,350,1 Zn+2 4 H2O(l) -4 H+ = Zn(OH)4-2
Zn2OH+3,Zn2OH+3,Zn2OH+3,aq,-7.9,0.3,,,,,,,2 Zn+2 1 H2O(l) -1 H+ = Zn2OH+3
ZnCl+,ZnCl+,ZnCl+,aq,0.4,0.09,,,,,,,1 Zn+2 1 Cl- = ZnCl+
ZnCl2(aq),ZnCl2(aq),ZnCl2(aq),aq,0.69,0.15,,,,,,,1 Zn+2 2 Cl- = ZnCl2(aq)
ZnCl3-,ZnCl3-,ZnCl3-,aq,0.48,0.54,,,,,,,1 Zn+2 3 Cl- = ZnCl3-
ZnCl4-2,ZnCl4-2,ZnCl4-2,aq,-2,,,,,,,,1 Zn+2 4 Cl- = ZnCl4-2
ZnCO3(aq),ZnCO3(aq),ZnCO3(aq),aq,4.75,0.06,,,,,,,1 Zn+2 1 CO3-2 = ZnCO3(aq)
Zn(CO3)2-2,Zn(CO3)2-2,Zn(CO3)2-2,aq,6.75,0.6,,,,,,,1 Zn+2 2 CO3-2 = Zn(CO3)2-2
ZnHCO3+,ZnHCO3+,ZnHCO3+,aq,1.62,0.1,,,,,,,1 Zn+2 1 HCO3- = ZnHCO3+
Zn2CO3+2,Zn2CO3+2,Zn2CO3+2,aq,5.3,0.4,,,,,,,2 Zn+2 1 CO3-2 = Zn2CO3+2
ZnH2PO4+,ZnH2PO4+,ZnH2PO4+,aq,0.9,0.2,,,,,,,1 Zn+2 1 H2PO4- = ZnH2PO4+
Zn(H2PO4)2(aq),Zn(H2PO4)2(aq),Zn(H2PO4)2(aq),aq,2,0.2,,,,,,,1 Zn+2 2 H2PO4- = Zn(H2PO4)2(aq)
Zn(H2PO4)(HPO4)-,Zn(H2PO4)(HPO4)-,Zn(H2PO4)(HPO4)-,aq,4,0.5,,,,,,,1 Zn+2 1 H2PO4- 1 HPO4-2 = Zn(H2PO4)(HPO4)-
ZnHPO4(aq),ZnHPO4(aq),ZnHPO4(aq),aq,3.3,0.2,,,,,,,1 Zn+2 1 HPO4-2 = ZnHPO4(aq)
Zn(HPO4)2-2,Zn(HPO4)2-2,Zn(HPO4)2-2,aq,7.1,0.2,,,,,,,1 Zn+2 2 HPO4-2 = Zn(HPO4)2-2
Zn(HPO4)3-4,Zn(HPO4)3-4,Zn(HPO4)3-4,aq,7.4,0.2,,,,,,,1 Zn+2 3 HPO4-2 = Zn(HPO4)3-4
Zn(HPO4)(PO4)-3,Zn(HPO4)(PO4)-3,Zn(HPO4)(PO4)-3,aq,12.5,0.2,,,,,,,1 Zn+2 1 HPO4-2 1 PO4-3 = Zn(HPO4)(PO4)-3
Zn(OH)2HPO4-2,Zn(OH)2HPO4-2,Zn(OH)2HPO4-2,aq,-17,0.3,,,,,,,1 Zn+2 2 H2O(l) 1 HPO4-2 -2 H+ = Zn(OH)2HPO4-2
ZnSO4(aq),ZnSO4(aq),ZnSO4(aq),aq,2.3,0.04,6.04,0.54,,,,,1 Zn+2 1 SO4-2 = ZnSO4(aq)
Zn(SO4)2-2,Zn(SO4)2-2,Zn(SO4)2-2,aq,3.2,0.2,10,5,,,15,65,1 Zn+2 2 SO4-2 = Zn(SO4)2-2
Zn(HS)2(aq),Zn(HS)2(aq),Zn(HS|-2|)2(aq),aq,9.3,0.17,-13.7,3.2,0,,50,100,1 Zn+2 2 HS- = Zn(HS)2(aq)
Zn(HS)3-,Zn(HS)3-,Zn(HS|-2|)3-,aq,13.3,0.05,-50.7,1.7,0,,25,100,1 Zn+2 3 HS- = Zn(HS)3-
ZnS(HS)-,ZnS(HS)-,ZnS|-2|(HS|-2|)-,aq,3.36,0.2,25.9,3,0,,75,100,1 Zn+2 2 HS- -1 H+ = ZnS(HS)-
