Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
UO2(am_hyd),UO2(am_hyd),U|+4|O2,s,-1.5,1,,,,,,,1 U+4 2 H2O(l) -4 H+ = UO2(am_hyd)
UO3w2(cr),Metaschoepite,U|+6|O3(H2O)2,s,-5.35,0.13,53.463,,-96.383,,,,1 UO2+2 3 H2O(l) -2 H+ = UO3w2(cr)
UF4w2.5(cr),UF4:2.5H2O(cr),U|+4|F4(H2O)2.5,s,30.12,0.7,-4.746,,,,,,1 U+4 4 F- 2.5 H2O(l) = UF4w2.5(cr)
U(OH)2SO4(cr) ,U(OH)2SO4(cr) ,U|+4|(OH)2SO4,s,3.17,0.5,,,,,,,1 U+4 1 SO4-2 2 H2O(l) -2 H+ = U(OH)2SO4(cr)
UO2CO3(cr),Rutherfordine,U|+6|O2CO3,s,14.76,0.02,2.740,,,,,,1 UO2+2 1 CO3-2 = UO2CO3(cr)
(UO2)3(PO4)2w4(cr),(UO2)3(PO4)2:4H2O(cr),(U|+6|O2)3(PO4)2(H2O)4,s,5.96,0.3,,,,,,,3 UO2+2 2 H3PO4(aq) 4 H2O(l) -6 H+ = (UO2)3(PO4)2w4(cr)
UO2HPO4w4(cr) ,Chernikovite,U|+6|O2HPO4(H2O)4,s,2.5,0.09,-18.895,,,,,,1 UO2+2 1 H3PO4(aq) 4 H2O(l) -2 H+ = UO2HPO4w4(cr)
Mg[(UO2)(PO4)]2w8(cr),Meta-saleite,Mg[(U|+6|O2)(PO4)]2(H2O)8,,49.2,1.2,-6.615,,,,,,2 UO2+2 1 Mg+2 2 PO4-3 8 H2O(l) = Mg[(UO2)(PO4)]2w8(cr)
CaU6O19w11(cr),Becquerelite,CaU|+6|6O19(H2O)11,s,-40.5,1.6,,,,,,,1 Ca+2 6 UO2+2 18 H2O(l) -14 H+ = CaU6O19w11(cr)
Ca[(UO2)(PO4)]2w6(cr),Meta-autunite,Ca[(U|+6|O2)(PO4)]2(H2O)6,s,50,1,-18.009,,,,,,2 UO2+2 1 Ca+2 2 PO4-3 6 H2O(l) = Ca[(UO2)(PO4)]2w6(cr)
Sr[(UO2)(PO4)]2w6(cr),Sr[(UO2)(PO4)]2:6H2O(cr),Sr[(U|+6|O2)(PO4)]2(H2O)6,s,51.3,1,-29.514,,,,,,2 UO2+2 1 Sr+2 2 PO4-3 6 H2O(l) = Sr[(UO2)(PO4)]2w6(cr)
Ba[(UO2)(PO4)]2w(cr),Meta-uranocircite_II,Ba[(U|+6|O2)(PO4)]2(H2O)6,s,52.2,1,-44.162,,,,,,2 UO2+2 1 Ba+2 2 PO4-3 6 H2O(l) = Ba[(UO2)(PO4)]2w(cr)
Li(UO2)(PO4)w4(cr),Li(UO2)(PO4):4H2O(cr),Li(U|+6|O2)(PO4)(H2O)4,s,25.5,1,-37.288,,,,,,1 UO2+2 1 Li+ 1 PO4-3 4 H2O(l) = Li(UO2)(PO4)w4(cr)
Na2U2O7w1(cr),Na2U2O7:H2O(cr),Na2U|+6|2O7(H2O)1,s,-24.4,0.4,,,,,,,2 Na+ 2 UO2+2 4 H2O(l) -6 H+ = Na2U2O7w1(cr)
Na(UO2)(PO4)w3(cr),Na(UO2)(PO4):3H2O(cr),Na(U|+6|O2)(PO4)(H2O)3,s,24.3,1,-27.236,,,,,,1 UO2+2 1 Na+ 1 PO4-3 3 H2O(l) = Na(UO2)(PO4)w3(cr)
K2U6O19w11(cr),Compreignacite,K2U|+6|6O19(H2O)11,s,-37.10,0.54,,,,,,,2 K+ 6 UO2+2 18 H2O(l) -14 H+ = K2U6O19w11(cr)
K(UO2)(PO4)w3(cr),K(UO2)(PO4):3H2O(cr),K(U|+6|O2)(PO4)(H2O)3,s,25.5,1,-40.869,,,,,,1 UO2+2 1 K+ 1 PO4-3 3 H2O(l) = K(UO2)(PO4)w3(cr)
Cs(UO2)(PO4)w2.5(cr) ,Cs(UO2)(PO4):2.5H2O(cr),Cs(U|+6|O2)(PO4)(H2O)2.5,s,25.9,1,-43.428,,,,,,1 UO2+2 1 Cs+ 1 PO4-3 2.5 H2O(l) = Cs(UO2)(PO4)w2.5(cr)
NH4(UO2)(PO4)w3(cr) ,NH4(UO2)(PO4):3H2O(cr),N|-3|H4(U|+6|O2)(PO4)(H2O)3 ,s,26.1,1,-45.176,,,,,,1 UO2+2 1 NH4+ 1 PO4-3 3 H2O(l) = NH4(UO2)(PO4)w3(cr)
Cu[(UO2)(PO4)]2w8(cr),Cu[(UO2)(PO4)]2:8H2O(cr),Cu[(U|+6|O2)(PO4)]2(H2O)8,s,52.8,0.3,-44.158,,,,,,2 UO2+2 1 Cu+2 2 PO4-3 8 H2O(l) = Cu[(UO2)(PO4)]2w8(cr)
Zn[(UO2)(PO4)]2w8(cr),Zn[(UO2)(PO4)]2:8H2O(cr),Zn[(U|+6|O2)(PO4)]2(H2O)8,s,49.8,1,-23.516,,,,,,2 UO2+2 1 Zn+2 2 PO4-3 8 H2O(l) = Zn[(UO2)(PO4)]2w8(cr)
