Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
H4Edta(cr),H4Edta(cr),H4Edta,s,3.8,0.19,-29,3,,,,,1 H4Edta(aq) = H4Edta(cr)
Mg(Oxa)w2(cr),Glushinskite,Mg(Oxa)(H2O)2,s,6.4,0.2,,,,,,,1 Mg+2 1 Oxa-2 2 H2O(l) = Mg(Oxa)w2(cr)
Ca(Oxa)w1(cr),Whewellite,Ca(Oxa)(H2O),s,8.73,0.06,-21.5,0.5,0,,15,50,1 Ca+2 1 Oxa-2 1 H2O(l) = Ca(Oxa)w1(cr)
Ca(Oxa)w2(cr),Weddelite,Ca(Oxa)(H2O)2,s,8.3,0.06,-25.2,1.1,0,,15,50,1 Ca+2 1 Oxa-2 2 H2O(l) = Ca(Oxa)w2(cr)
Ca(Oxa)w3(cr),Ca(Oxa):3H2O(cr),Ca(Oxa)(H2O)3,s,8.19,0.04,-29.7,1.3,0,,15,50,1 Ca+2 1 Oxa-2 3 H2O(l) = Ca(Oxa)w3(cr)
Ca3(Cit)2w4(cr),Ca3(Cit)2:4H2O(cr),Ca3(Cit)2(H2O)4,s,17.9,0.1,,,,,,,3 Ca+2 2 Cit-3 4 H2O(l) = Ca3(Cit)2w4(cr)
Ca(H3Isa)2(cr),Ca(H3Isa)2(cr),Ca(H3Isa)2,s,6.4,0.2,,,,,,,1 Ca+2 2 H3Isa- = Ca(H3Isa)2(cr)
Ni(Oxa)w2(cr),Ni(Oxa):2H2O(cr),Ni(Oxa)(H2O)2,s,-9.96,,,,,,,,1 Ni+2 1 Oxa-2 2 H2O(l) = Ni(Oxa)w2(cr)
U(Oxa)2w6(cr),U(Oxa)2:6H2O(cr),U|4|(Oxa)2(H2O)6,s,4.82,0.2,-10.4,1,-513,41,25,90,1 U(Oxa)2(aq) 6 H2O(l) = U(Oxa)2w6(cr)
UO2Oxaw3(cr),UO2Oxa:3H2O(cr),U|6|O2Oxa(H2O)3,s,1.8,0.27,-20.2,3.5,0,,0,100,1 UO2Oxa(aq) 3 H2O(l) = UO2Oxaw3(cr)
Np(Oxa)2w6(cr),Np(Oxa)2:6H2O(cr),Np|4|(Oxa)2(H2O)6,s,12.7,1,,,,,,,1 Np+4 2 H2Oxa(aq) 6 H2O(l) -4 H+ = Np(Oxa)2w6(cr)
Pu2(Oxa)3w10(cr),Pu2(Oxa)3:10H2O(cr),Pu|3|2(Oxa)3(H2O)10,s,7.5,,,,,,,,2 Pu+3 3 H2Oxa(aq) 10 H2O(l) -6 H+ = Pu2(Oxa)3w10(cr)
Pu(Oxa)2w6(cr),Pu(Oxa)2:6H2O(cr),Pu|4|(Oxa)2(H2O)6,s,4.6,0.2,,,,,,,1 Pu(Oxa)2(aq) 6 H2O(l) = Pu(Oxa)2w6(cr)
