Symbol,Name,Composition,label,type,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfGm_Ref,DfHm [kJ/mol],sigma DfHm [kJ/mol],DfHm_Ref,Sm [J/(K mol)],sigma Sm [J/(K mol)],Sm_Ref,Cpm [J/(K mol)],sigma Cpm [J/(K mol)],Cpm_Ref,Vm [cm3/mol],sigma Vm [cm3/mol],Vm_Ref,HKF_coefs,a1*10 [cal*mol-1*bar-1],a2*10-2 [cal*mol-1],a3 [cal*K*mol-1*bar-1],a4*10-4[cal*K*mol-1],c1 [cal*K-1*mol-1],c2,w,method
e-,electron,-,,d,0,0,1989COX/WAG,0,0,1989COX/WAG,65.34,0.002,1989COX/WAG,14.418,0.002,1998CHA,0,,,,,,,,,,,
H2O(l),H2O(l),H2O@,core,d,-237.14,0.041,1989COX/WAG,-285.83,0.04,1989COX/WAG,69.95,0.03,1989COX/WAG,75.351,,1989COX/WAG,18.068,,1989COX/WAG,,,,,,,,,
Cl-,Cl-,Cl-,core,d,-131.217,0.117,1989COX/WAG,-167.08,0.1,1989COX/WAG,56.6,0.2,1989COX/WAG,-123.115,,1988TAN/HEL,17.786,,1988TAN/HEL,,4.032,4.801,5.563,-2.847,-4.4,-5.714,1.456,hkf
Na+,Na+,Na+,core,d,-261.953,0.096,1989COX/WAG,-240.34,0.06,1989COX/WAG,58.45,0.15,1989COX/WAG,37.976,,1988TAN/HEL,-1.107,,1988TAN/HEL,,1.839,-2.285,3.256,-2.726,18.18,-2.981,0.3306,hkf
K+,K+,K+,core,d,-282.51,0.116,1989COX/WAG,-252.14,0.08,1989COX/WAG,101.2,0.2,1989COX/WAG,8.306,,1988TAN/HEL,9.068,,1988TAN/HEL,,3.559,-1.473,5.435,-2.712,7.4,-1.791,0.1927,hkf
Ca+2,Ca2+,Ca+2,core,d,-552.806,1.05,1989COX/WAG,-543,1,1989COX/WAG,-56.2,1,1989COX/WAG,-31.469,,1988TAN/HEL,-18.061,,1988SHO/HEL,,-0.1947,-7.252,5.297,-2.479,9,-2.522,1.237,hkf
Mg+2,Mg2+,Mg+2,core,d,-455.703,0.786,2024RAN/PAL,-467,0.6,1989COX/WAG,-135.9,1.7,2024RAN/PAL,-22.314,,1988TAN/HEL,-21.544,,1988SHO/HEL,,-0.822,-8.599,8.39,-2.39,20.8,-5.892,1.537,hkf
Fe+2,Fe2+,Fe+2,core,d,-90.72,0.64,2020LEM/TAY,-90.295,0.6,2020LEM/TAY,-102.171,3,2020LEM/TAY,-23,,2020LEM/TAY,-22.249,,1997SHO/SAS,,-0.8,-9.735,9.58,-2.377,16.018,-4.1544,1.419,hkf
Fe+3,Fe3+,Fe+3,core,d,-16.226,0.65,2020LEM/TAY,-50.056,0.973,2020LEM/TAY,-282.404,3.927,2020LEM/TAY,-108,,2020LEM/TAY,-37,,1997SHO/SAS,,-2.389,-13.614,11.109,-2.216,15.82,-8.293,2.69,hkf
Al+3,Al3+,Al+3,core,d,-487.738,1.3,2024MIR,-539.941,2.6,2024MIR,-342.8,5,2023HUM/THO,-134.5,,1988SHO/HEL,-44.399,,1988SHO/HEL,,-3.34,-17.11,14.99,-2.072,10.7,-8.06,2.871,hkf
