Symbol,Name,Formula,group,V0,Vm,Vm_Ref
Ac(OH)3(ag),_rdc_Ac(OH)3(aged),Ac(OH)3,hydroxide,46.56,46.56,Am(OH)3(cr)
Ac(OH)3(fr),_rdc_Ac(OH)3(fresh),Ac(OH)3,hydroxide,46.56,46.56,Am(OH)3(cr)
Ac2(Oxa)3(s),_rdc_Ac2(Oxa)3(s),Ac2(Oxa)3,organic,267.93,267.93,Ac2(C2O4)3·10H2O
Ag(cr),Ag(cr),Ag,native,10.27,10.27,(Robie and Hemingway* 1995)
Ag2CO3(cr),_rdc_Ag2CO3(cr),Ag2CO3,carbonate,45.38,45.38,(Haynes* 2016)
Ag2O(am),_rdc_Ag2O(am),Ag2O,oxide,34.18,34.18,materialsproject.org
Ag2O(cr),_rdc_Ag2O(cr),Ag2O,oxide,34.18,34.18,materialsproject.org
Ag2S(cr),_rdc_Ag2S(cr),Ag2S,sulphide,34.19,34.19,(Robie and Hemingway* 1995)
Ag2Se(alpha),Ag2Se(alpha),Ag2Se,selenide,36.34,36.34,materialsproject.org
Ag2SeO3(cr),_rdc_Ag2SeO3(cr),Ag2SeO3,selenate,57.12,57.12,materialsproject.org
Ag2SeO4(cr),_rdc_Ag2SeO4(cr),Ag2SeO4,selenate,62.17,62.17,materialsproject.org
Ag2SO4(s),_rdc_Ag2SO4(s),Ag2SO4,sulphate,57.42,57.42,materialsproject.org
Ag3PO4(s),_rdc_Ag3PO4(s),Ag3PO4,phosphate,65.5,65.5,materialsproject.org
AgBr(cr),_rdc_AgBr(cr),AgBr,bromide,28.99,28.99,(Robie and Hemingway* 1995)
AgCl(cr),_rdc_AgCl(cr),AgCl,chloride,25.73,25.73,(Robie and Hemingway* 1995)
AgCN(s),_rdc_AgCN(s),AgCN,cianide,43.19,43.19,materialsproject.org
AgI(cr),_rdc_AgI(cr),AgI,iodine,41.3,41.3,(Robie and Hemingway* 1995)
AgSeCN(cr),_rdc_AgSeCN(cr),AgSeCN,selenide-cianide,56.82,56.82,(Huttner and Knappe* 1930)
Al(OH)3(cr),_rdc_Gibbsite,Al(OH)3,hydroxide,31.96,31.96,(Robie and Hemingway* 1995)
Al2Si2O5(OH)4(cr),_rdc_Kaolinite,Al2Si2O5(OH)4,silicate-hydroxide,99.34,99.34,(Robie and Hemingway* 1995)
AlOOH(cr),_rdc_Boehmite,AlOOH,hydroxide,19.54,19.54,(Robie and Hemingway* 1995)
Am(OH)3(am),_rdc_Am(OH)3(am),Am(OH)3,hydroxide,46.56,46.56,rdc_Am(OH)3(cr)
Am(OH)3(cr),_rdc_Am(OH)3(cr),Am(OH)3,hydroxide,46.56,46.56,(Milligan et al.* 1968)
Am2(CO3)3(am_hyd),_rdc_Am2(CO3)3(am_hyd),Am2(CO3)3,carbonate,168.07,168.07,La2(CO3)3 ⋅ 5H2O
AmO2OH(am),_rdc_AmO2OH(am),AmO2OH,hydroxide,NA,,NA
AmOHCO3(am_hyd),_rdc_AmOHCO3(am_hyd),AmOHCO3,hydroxide-carbonate,88.96,88.96,EuOHCO3
