here _rdc_ is needed,,type,Symbol_2020,Symbol,Name,Composition,abbreviation,Ref,label,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfGm_Ref,DfHm [kJ/mol],sigma DfHm [kJ/mol],DfHm_Ref,Sm [J/(K mol)],sigma Sm [J/(K mol)],Sm_Ref,Cpm [J/(K mol)],sigma Cpm [J/(K mol)],Cpm_Ref,Vm [cm3/mol],sigma Vm [cm3/mol],Vm_Ref,Cpf(T)_coefs ,a0,a0_e,a1*T,a1_e,a2*T^-2,a2_e,a3*T^-0.5,a3_e,a4*T^2,a4_e,a8*T-1,Tmin,Tmax,solids -GEMS,Cpf(T),a0 + a1*T + a2*T^-2 + a3*T^-0.5 + a4*T^2 + a5*T^3 + + a6*T^4 + a7*T^-3 + a8*T^-1 + a9*T^0.5
,Si,d,SiO2(cr),SiO2(cr),Quartz,SiO2,qtz,2025MIR,core,,,1989COX/WAG,-910.7,1,1989COX/WAG,41.46,0.2,1989COX/WAG,44.586,0.3,1995ROB/HEM,22.69,0,1995ROB/HEM,,81.145,,0.01828,,-181000,,-698.5,,0.000005406,,,298,847,,,
na,Al,d,Al2O3(alpha),Al2O3(alpha),Corundum,Al2O3,crn,2025MIR,core,,,1989COX/WAG,-1675.7,1.3,1989COX/WAG,50.92,0.1,1989COX/WAG,79.095,0.1,1995ROB/HEM,25.59,0.01,1995ROB/HEM,,161.2,,-0.001352,,-1815000,,-1059,,0.0000005381,,,298,1000,,,
,,r,Al(OH)3(cr),Al(OH)3(cr),Gibbsite,Al(OH)3,gbs,2025MIR,core,,,1995ROB/HEM,-1293.13,1.19,1995ROB/HEM,68.44,0.3,1995ROB/HEM,91.719,0.3,1995ROB/HEM,31.96,0.02,1995ROB/HEM,1995POK/HEL,54.7,,0.17027,,-1222000,,,,,,,,,,,
,,r,Al(OH)3(s),Al(OH)3(s),_rdc_Bayerite,Al(OH)3,byr,2025MIR,recommended,,,2025MIR,-1289,2.5,2024RAN/PAL,,,,101.7,10,2025MIR,33.18,1,2025MIR,,,,,,,,,,,,,,,,,
,Fe,r,Fe2O3(alpha),Fe2O3(alpha),Hematite,Fe|3|2O3,hm,2025MIR,recommended,-739.76,4.6,2023HUM/THO,,,,87.404,0.209,1995ROB/HEM,104.029,,1995ROB/HEM,30.27,0.01,1995ROB/HEM,,1501.5,,-1.2146,,14123000,,-21493,,0.000569,,,298,950,,,
,,r,Fe3O4(cr),Fe3O4(cr),Magnetite,FeFe|3|2O4,mt,2025MIR,recommended,,,2020LEM/TAY,-1115.78,1.6,2013LEM/BER,145.89,0.3,2020LEM/TAY,150.864,0.3,1995ROB/HEM,44.52,0.08,1995ROB/HEM,,2659.1,,-2.5215,,20734000,,-36455,,0.0013677,,,298,800,,,
,,r,FeOOH(alpha),FeOOH(alpha),Goethite,Fe|3|OOH,goe,2025MIR,recommended,-489.537,1.996,2013LEM/BER,,,,59.7,0.5,2013LEM/BER,74.319,0.42,2013LEM/BER,20.82,0.04,1995ROB/HEM,,80.361,,-0.08756,,-594080,,,,0.00037689,,-2014.2,200,373,,,
,,r,FeOOH(gamma),FeOOH(gamma),Lepidocrocite,Fe|3|OOH,lp,2025MIR,recommended,-479.881,2.005,2023HUM/THO,,,,65.08,0.46,2013LEM/BER,69.135,0.56,2013LEM/BER,22.37,0.08,1995ROB/HEM,,90.981,,0.043899,,386790,,,,-0.000029818,,-10900,200,387,,,
,,rr,Fe(OH)3(mic),Fe(OH)3(mic),_rdc_Ferrihydrite-2line,Fe|3|(OH)3,fhy,2025MIR,recommended,,,2023HUM/THO,-826.7,2,2020LEM/TAY,,,,153.26,10,2020LEM/TAY,34.36,,1992WOL,,,,,,,,,,,,,,,,,
,Ca,r,Ca(OH)2(cr),Ca(OH)2(cr),Portlandite,Ca(OH)2,por,2025MIR,core,,,2024RAN/PAL,-985.16,1,2024RAN/PAL,83.4,0.4,2024RAN/PAL,87.488,0.1,2024RAN/PAL,33.06,0.02,1995ROB/HEM,,89.264,,0.033112,,-1035500,,,,,,,298,700,,,
,Mg,r,Mg(OH)2(s),Mg(OH)2(s),Brucite,Mg(OH)2,brc,2025MIR,recommended,,,2023HUM/THO,-923.35,1.4,,63.18,0.4,2024RAN/PAL,76.883,0.3,2024RAN/PAL,24.63,0.07,1995ROB/HEM,,93.393,,0.030121,,-2265900,,,,,,,298,600,,,
,CO3,r,CaCO3(calcite),CaCO3(calcite),Calcite,CaCO3,cal,2025MIR,recommended,,,2024RAN/PAL,-1207.5,1.2,2024RAN/PAL,91.71,0.2,2024RAN/PAL,83.472,0.42,2024RAN/PAL,36.93,0.01,1995ROB/HEM,,78.781,,0.056868,,-1090200,,,,,,,298,1200,,,
,,d,CaMg(CO3)2(cr),CaMg(CO3)2(cr),Dolomite,CaMg(CO3)3,dol,2025MIR,recommended,,,2024RAN/PAL,-2325.421,2,2024RAN/PAL,155.17,0.8,2024RAN/PAL,157.51,0.8,2024RAN/PAL,64.34,0.03,1995ROB/HEM,,82.795,,0.348,,-971210,,,,-0.00020378,,,298,650,,,
,,r,MgCO3(s),MgCO3(s),Magnesite,MgCO3,mgs,2025MIR,recommended,,,2024RAN/PAL,-1112.203,1.6,,65.1,0.6,2024RAN/PAL,76.108,0.8,2024RAN/PAL,28.02,0.01,1995ROB/HEM,,73.335,,0.06399,,-1449500,,,,,,,298,800,,,
,SO4,rr,CaSO4w2(cr),CaSO4w2(cr),_rdc_Gypsum,CaSO4(H2O)2,gy,2025MIR,recommended,,,2024RAN/PAL,,,2024RAN/PAL,193.8,0.3,2024RAN/PAL,187.2,0.2,2024RAN/PAL,74.69,0.22,1995ROB/HEM,,,,,,,,,,,,,,,,,
,,r,CaSO4(cr),CaSO4(cr),Anhydrite,CaSO4,anh,2025MIR,recommended,,,2024RAN/PAL,-1434.51,1.3,2024RAN/PAL,107.4,0.2,2024RAN/PAL,101.224,0.2,2024RAN/PAL,46.01,0.01,1995ROB/HEM,,372.8,,-0.1574,,1695000,,-4330.8,,0.0000799,,,298,1000,,,
na,,d,CaSiO3(cr),CaSiO3(cr),Wollastonite,CaSiO3,wo,2025MIR,recommended,,,1995ROB/HEM,-1634.8,1.4,1995ROB/HEM,81.7,0.1,1995ROB/HEM,86.193,0.1,1995ROB/HEM,39.9,0.03,1995ROB/HEM,,200.78,,-0.02589,,-157900,,-1826,,0.000007434,,,298,1400,,,
,,r,AlOOH(cr),AlOOH(cr),_rdc_Boehmite,AlOOH,bhm,2025MIR,recommended,,,2025MIR,,,,,,,54.24,,1995ROB/HEM,19.54,,1995ROB/HEM,,206,,-0.0349,,1030000,,-2640,,,,,298,600,,,
,,r,AlOOH(alpha),AlOOH(alpha),_rdc_Diaspore,AlOOH,dsp,2025MIR,supplemental,,,1995ROB/HEM,-1001.3,2.2,1995ROB/HEM,35.3,0.2,1995ROB/HEM,53.33,,1995ROB/HEM,17.76,0.03,1995ROB/HEM,,,,,,,,,,,,,,,,,
,,r,Al(OH)3(mcr),Al(OH)3(mcr),_rdc_Al(OH)3(mcr),Al(OH)3,,2025MIR,supplemental,,,2025MIR,-1275.9,3.5,2022LOT/GEI,,,,130,14,2025MIR,38.04,1,2022LOT/GEI,,,,,,,,,,,,,,,,,
,,r,AlOOH(mcr),AlOOH(mcr),_rdc_AlOOH(mcr),AlOOH,,2025MIR,supplemental,,,2025MIR,,,,70,15,2025MIR,77,20,2025MIR,29.15,1,2025MIR,,,,,,,,,,,,,,,,,
