,Symbol,Name,Composition,label,logK,sigma logK,logK_Ref,DrGm [kJ/mol],DrGm_Ref,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrHm_Ref,DrSm [J/(K mol)],sigma DrSm [J/(K mol)],DrSm_Ref,DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],DrCpm_Ref,DrVm [cm3/mol],sigma DrVm [cm3/mol],DrVm_Ref,T-min,T-max,Reaction,logKf(T)_coefficients,a0,a0_e,a1*T,a1_e,a2*T^-1,a2_e,a3*lnT,a3_e,logK test,
,AlOH+2,AlOH+2,AlOH+2,recommended,-4.97379003857119,0.13,2016BRO/EKB,,,55.96,0.536,2016BRO/EKB,,,,0,,2016BRO/EKB,,,,273,473,Al+3 + H2O(l) = AlOH+2 + H+,,4.83,0.09,,,-2923,28,,,,
,Al(OH)2+,Al(OH)2+,Al(OH)2+,recommended,-10.6330471239309,0.18,2016BRO/EKB,,,110.81,0.804,2016BRO/EKB,,,,0,,2016BRO/EKB,,,,273,473,Al+3  + 2H2O(l) = Al(OH)2+ + 2H+,,8.78,0.11,,,-5788,42,,,,
,Al(OH)3(aq),Al(OH)3(aq),Al(OH)3@,recommended,-15.6627100452792,0.44,2016BRO/EKB,,,135.182,2.049,2016BRO/EKB,,,,0,,2016BRO/EKB,,,,273,473,Al+3  + 3H2O(l) = Al(OH)3@ + 3H+,,8.02,0.26,,,-7061,107,,,,
refit BE2016 with DrCp = 0,Al(OH)4-,Al(OH)4-,Al(OH)4-,recommended,-22.8682508804293,0.3,2024bMIR,,,180.421,1.283,2024bMIR,,,,0,,2024bMIR,,,,273,473,Al+3 + 4H2O(l) = Al(OH)4- + 4H+,,8.74,0.2,,,-9424,67,,,,
Fe2,FeOH+,FeOH+,FeOH+,recommended,-9.43,0.1,2023HUM/THO,,,54.6,0.9,2023HUM/THO,,,,0,,2023HUM/THO,,,,298,573,Fe2+ + H2O(l) = FeOH+ + H+,,0,,,,-2851.94,,0,,-9.56545163897616,
,Fe(OH)2(aq),Fe(OH)2(aq),Fe(OH)2@,recommended,-20.52,0.08,2023HUM/THO,,,115.4,1,2023HUM/THO,,,,0,,2023HUM/THO,,,,298,573,Fe2+ + 2 H2O(l) = Fe(OH)2(aq) + 2 H+,,0,,,,-6027.73,,0,,-20.2170900940998,
,Fe(OH)3-,Fe(OH)3-,Fe(OH)3-,recommended,-32.68,0.15,2023HUM/THO,,,140.3,2.2,2023HUM/THO,,,,0,,2023HUM/THO,,,,298,573,Fe2+ + 3 H2O(l) = Fe(OH)3- + 3 H+,,0,,,,-7328.34,,0,,-24.5793565008856,
Fe3,FeOH+2,FeOH+2,Fe|3|OH+2,recommended,-2.2,0.02,2023HUM/THO,,,43.3,0.6,2023HUM/THO,,,,0,,2023HUM/THO,,,,298,573,Fe3+ + H2O(l) = FeOH2+ + H+,,0,,,,-2261.7,,0,,-7.5857885708364,
,Fe(OH)2+,Fe(OH)2+,Fe|3|(OH)2+,recommended,-5.71,0.1,2023HUM/THO,,,113.1,3,estimated,,,,0,,estimated,,,,298,573,Fe3+ + 2 H2O(l) = Fe(OH)2+ + 2 H+,,0,,,,-5907.59,,0,,-19.8141498235935,
,Fe(OH)3(aq),Fe(OH)3(aq),Fe|3|(OH)3@,recommended,-12.26,0.26,2023HUM/THO,,,146.3,4.8,2023HUM/THO,,,,-150,43,2023HUM/THO,,,,298,573,Fe3+ + 3 H2O(l) = Fe(OH)3(aq) + 3 H+,,52.48,,,,-9977.74,,-7.83499836857347,,-25.6305050326412,
,Fe(OH)4-,Fe(OH)4-,Fe|3|(OH)4-,recommended,-21.6,0.23,2023HUM/THO,,,146.8,1.8,2023HUM/THO,,,,0,,2023HUM/THO,,,,298,573,Fe3+ + 4 H2O(l) = Fe(OH)4- + 4 H+,,0,,,,-7667.85,,0,,-25.7181007436209,
Si,SiO(OH)3-,SiO(OH)3-,SiO(OH)3-,recommended,4.197,0.07,2024RAN/PAL,-23.955,calculated,-26.498,0.274,2024RAN/PAL,,,,0,,2024RAN/PAL,,,,273,523,Si(OH)4(aq) + OH- = SiO(OH)3- + H2O(l),,-0.45,0.05,,,1384.09,14.32,,,4.197,
,SiO2(OH)2-2,SiO2(OH)2-2,SiO2(OH)2-2,recommended,4.839,0.084,2025MIR,-27.621,calculated,-56.549,5,2025MIR,,,,0,,2025MIR,,,,273,423,Si(OH)4(aq) + 2OH- = SiO2(OH)2-2 + 2H2O(l),,-5.07,,,,2953.74,,,,4.839,
OK,CaSiO2(OH)2(aq),CaSiO2(OH)2(aq),CaSiO2(OH)2@,suplemental,4,0.1,2022KUL/MIR,,,,,,,,,,,,,,,298,373,Ca+2 + SiO2(OH)2-2 = CaSiO2(OH)2(aq),,,,,,,,,,,
,NH4+,,N|-3|H4+,recommended,119.134,,calculated,,,-783.9,,calculated,-348.4,,calculated,245.044,,calculated,,,,298,573,NO3- +10H+ + 8e- = NH4+ + 3H2O(l),,,,,-103.92,,,,44761.86,,12.7994622681914
,H2PO4-,H2PO4-,H2PO4-,recommended,,,,,,,,,,,,213.221,5,2025MIR,25.62,0.5,2025MIR,298,573,HPO4-2 + H+ = H2PO4-,,,,,,,,,,,
,H3PO4(aq),H3PO4(aq),H3PO4@,recommended,,,,,,,,,,,,340.221,5,2025MIR,42.62,0.5,2025MIR,298,573,HPO4-2 + 2H+ = H3PO4(aq),,,,,,,,,,,
