comment,Symbol,Name,Composition,agg_state,abbreviation,Ref,label,logK,sigma logK,logK_Ref,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrHm_Ref,DrSm [J/(K mol)],sigma DrSm [J/(K mol)],DrSm_Ref,DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],DrCpm_Ref,T-min,T-max,Reaction,logKf(T)_coefficients,a0,a0_e,a1*T,a1_e,a2*T^-1,a2_e,a3*lnT,a3_e
r,Fe(OH)3(mic),Ferrihydrite-2line,Fe|+3|(OH)3,s,fhy,2025MIR,recommended,3.5,0.4,2023HUM/THO,,,,,,,,,,273,373,Fe(OH)3(mic) + 3H+ = Fe+3 + 3H2O(l),,,,,,,,,
d,MgCO3(s),Magnesite,MgCO3,s,mgs,2025MIR,recommended,-7.85,0.229,2024RAN/PAL,,,,,,,,,,273,523,MgCO3(s) = Mg+2 + CO3-2,,,,,,,,,
d,Mg(OH)2(s),Brucite,Mg(OH)2,s,brc,2025MIR,recommended,17.11,0.2,2023HUM/THO,,,,,,,,,,273,523,Mg(OH)2(s) + H+ = Mg+2 + 2H2O(l),,,,,,,,,
r,CaSO4w2(cr),Gypsum,CaSO4(H2O)2,s,gy,2025MIR,recommended,4.61,0.05,2024RAN/PAL,1,0.1,2024RAN/PAL,91.6,1,2024RAN/PAL,335.396,3,2024RAN/PAL,273,423,Ca2+ + SO4-2 + 2H2O(l) = CaSO4w2(cr),,,,,,,,,
r,CaSO4w0.5(cr),Hemihydrate ,CaSO4(H2O)0.5,s,hh,2025MIR,recommended,-0.735,0.35,2018LI/ZEN,18.011,2,2018LI/ZEN,46.327,2,2018LI/ZEN,47.497,5,2018LI/ZEN,371,473,CaSO4w2(cr) = CaSO4w0.5(cr) + 1.5H2O(l) ,,,,,,,,,
r,SiO2(am),Silica(am),SiO2,s,siam,2025MIR,recommended,-2.692,0.02,2024RAN/PAL,13.444,0.209,2024RAN/PAL,-6.442,0.72,2024RAN/PAL,0,,2024RAN/PAL,273,423,SiO2(am) + 2H2O(l) = Si(OH)4(aq),,-0.336466,0.013877,,,-702.2267,5.5668,,
r,AlOOH(cr),Boehmite,AlOOH,s,bhm,2025MIR,recommended,7.61,0.5,2025MIR,-115.5,2.3,2025MIR,-241.7,5,,-38,40,2025MIR,273,623,AlOOH(cr) + 3H+ = Al+3 + 2H2O(l),,,,,,,,,
r,Al(OH)3(s),Bayerite,Al(OH)3,s,byr,2025MIR,recommended,-0.871,0.1,2024RAN/PAL,16.175,2,2024RAN/PAL,37.576,7,,212.332,40,2025MIR,273,373,Al(OH)3(s) + OH- = Al(OH)4-,,,,,,,,,
r,AlOOH(alpha),Diaspore,Al(OOH),s,dsp,2025MIR,supplemental,6.888,0.4,2025MIR,-110.3,3.4,2025MIR,-238.2,5,2025MIR,-37.13,10,2025MIR,423,623,AlOOH(alpha) + 3H+ = Al+3 + 2H2O(l),,,,,,,,,
r,Al(OH)3(mcr),Al(OH)3(mcr),Al(OH)3,s,,2025MIR,suplemental,-0.67,0.3,2012LOT/PEL,,,,-2.5,5,,,,2025MIR,273,343,Al(OH)3(mcr) + OH- = Al(OH)4-,,,,,,,,,
r,AlOOH(mcr),AlOOH(mcr),AlOOH,s,,2025MIR,suplemental,8.4,1,2025MIR,-129.3,6,2025MIR,,,,-60.8,20,2025MIR,273,423,AlOOH(mcr) + 3H+ = Al+3 + 2H2O(l),,,,,,,,,
