formula,name,mol_mass,valence,number,type,entropy,entropy_sigma,heat_capacity,heat_capacity_sigma,source
Ag,Silver,107.868,1,47,element,42.55,0.2,25.35,,NEA;SUPCRT
Al,Aluminum,26.9815,3,13,element,28.3,0.1,24.2,,NEA;SUPCRT
Ar,Argon,39.948,0,18,element,154.846,0.003,20.786,,NEA;SUPCRT
As,Arsenic,74.9216,5,33,element,35.1,,24.64,,NEA;SUPCRT
Au,Gold,196.967,1,79,element,47.4,,25.418,,SUCPRT;
B,Boron,10.812,3,5,element,5.9,0.08,11.087,,NEA;SUPCRT
Ba,Barium,137.328,2,56,element,62.42,,28.07,,NEA;SUPCRT
Be,Beryllium,,2,4,element,9.5,0.08,16.443,,NEA;SUPCRT
Bi,Bismuth,,3,83,element,56.74,,25.52,,NEA;SUPCRT
Br,Bromine,,-1,35,element,76.105,0.15,37.845,,NEA;SUPCRT
C,Carbon,,4,6,element,5.74,0.1,8.517,,NEA;SUPCRT
Ca,Calcium,,2,20,element,41.59,0.4,25.929,,NEA;SUPCRT
Cd,Cadmium,,2,48,element,51.8,0.15,26.02,0.04,NEA;SUPCRT
Ce,Cerium,140.12,3,58,element,72,,26.94,,SUCPRT;
Cl,Chlorine,,-1,17,element,111.5405,0.005,16.974,,NEA;SUPCRT
Co,Cobalt,58.9332,2,27,element,30.04,,24.81,,SUCPRT;
Cr,Chromium,51.9961,3,24,element,23.77,,23.35,,SUCPRT;
Cs,Cesium,,1,55,element,85.23,0.4,32.21,,NEA;SUPCRT
Cu,Copper,,2,29,element,33.15,0.08,24.44,,NEA;SUPCRT
Dy,Dysprosium,162.5,3,66,element,74.77,,28.16,,SUCPRT;
Er,Erbium,167.26,3,68,element,73.18,,28.12,,SUCPRT;
Eu,Europium,151.964,3,63,element,77.8,,27.65,,SUCPRT;
F,Fluorine,,-1,9,element,101.3955,0.0025,15.652,,NEA;SUPCRT
Fe,Iron,,2,26,element,27.085,,25.084,,NEA;SUPCRT
Ga,Gallium,69.71999,3,31,element,40.88,,25.86,,SUCPRT;
Gd,Gadolinium,,3,64,element,68.07,,37.03,,SUCPRT;
Ge,Germanium,,4,32,element,31.09,0.15,23.222,,NEA;SUPCRT
H,Hydrogen,,1,1,element,65.34,0.0015,14.418,,NEA;SUPCRT
He,Helium,,0,2,element,126.153,0.002,,,NEA;
Hf,Hafnium,,4,72,element,,,,,
Hg,Mercury,,2,80,element,75.9,0.12,,,NEA;
Ho,Holmium,,3,67,element,75.76,,27.15,,SUCPRT;
I,Iodine,,-1,53,element,58.07,0.15,27.219,,NEA;SUPCRT
In,Indium,,3,49,element,,,,,
Ir,Iridium,,4,77,element,,,,,
K,Potassium,,1,19,element,64.68,0.2,29.6,,NEA;SUPCRT
Kr,Krypton,,0,36,element,164.085,0.003,,,NEA;
La,Lanthanum,,3,57,element,,,,,
Li,Lithium,,1,3,element,29.12,0.2,24.86,,NEA;SUPCRT
Lu,Lutetium,,3,71,element,,,,,
Mg,Magnesium,,2,12,element,32.67,0.1,24.869,,NEA;SUPCRT
Mn,Manganese,,2,25,element,32.01,,26.32,,SUCPRT;
Mo,Molybdenum,,6,42,element,28.581,,24.06,,SUCPRT;
N,Nitrogen,,5,7,element,95.8045,0.002,14.562,,NEA;SUPCRT
Na,Sodium,,1,11,element,51.3,0.2,28.23,,NEA;SUPCRT
Nb,Niobium,,5,41,element,36.4,,24.6,,SUCPRT;
Nd,Neodymium,,3,60,element,,,,,
Ne,Neon,,0,10,element,146.328,0.003,,,NEA;
Ni,Nickel,,2,28,element,29.87,,26.07,,NEA;SUPCRT
O,Oxygen,,-2,8,element,102.576,0.0025,14.689,,NEA;SUPCRT
Os,Osmium,,4,76,element,,,,,
P,Phosphorus,,5,15,element,41.09,0.25,23.824,,NEA;SUPCRT
Pb,Lead,,2,82,element,64.8,0.3,26.65,0.1,NEA;SUPCRT
Pd,Palladium,,2,46,element,37.8,,25.9,,SUCPRT;
Pr,Praseodymium,,3,59,element,,,,,
Pt,Platinum,,2,78,element,,,,,
Ra,Radium,,2,88,element,71,,,,SUCPRT;
Rb,Rubidium,,1,37,element,76.78,0.3,,,NEA;
Re,Rhenium,,4,75,element,,,,,
