group,abbreviation,symbol,formula,H,H_error,S,V,Cp
garnet_olivine,alm,almandine,Fe3Al2Si3O12,-5260.65,1.31,342,11.525,342.741725135082
garnet_olivine,andr,andradite,Ca3Fe2Si3O12,-5769.08,1.56,316.4,13.204,351.827954497051
garnet_olivine,gr,grossular,Ca3Al2Si3O12,-6642.95,1.46,255,12.535,329.163882298891
garnet_olivine,knor,knorringite,Mg3Cr2Si3O12,-5687.75,3.88,317,11.738,351.091036173354
garnet_olivine,maj,majorite,Mg4Si4O12,-6050.33,9.62,255.2,11.457,316.750632167041
garnet_olivine,py,pyrope,Mg3Al2Si3Ol2,-6282.13,1.06,269.5,11.313,325.136920881172
garnet_olivine,spss,spessartine,Mn3Al2Si3O12,-5693.65,3.14,335.3,11.792,338.108462666191
garnet_olivine,chum,clinohumite,Mg9Si4O16(OH)2,-9609.82,2.49,443,19.785,549.153626368108
garnet_olivine,fa,fayalite,Fe2SiO4,-1477.74,0.68,151,4.631,132.036708173761
garnet_olivine,fo,forsterite,Mg2SiO4,-2172.57,0.57,95.1,4.366,118.671468240268
garnet_olivine,lrn,larnite,Ca2SiO4,-2307.04,0.9,127.6,5.16,127.710659540972
garnet_olivine,mont,monticellite,CaMgSiO4,-2251.31,0.52,109.5,5.148,123.019480881564
garnet_olivine,teph,tephroite,Mn2SiO4,-1733.95,1.05,155.9,4.899,129.289149485472
Aluminosilicates,and,andalusite,Al2SiO5,-2588.72,0.68,92.7,5.153,122.593595270448
Aluminosilicates,ky,kyanite,Al2SiO5,-2593.02,0.67,83.5,4.414,121.563642931118
Aluminosilicates,sill,sillimanite,Al2SiO5,-2585.85,0.68,95.4,4.986,123.708387643029
Aluminosilicates,amul,Al-mullite,Al2.5Si0.5O4.75,-2485.51,0.91,113,5.083,121.519027338914
Aluminosilicates,smul,Si-mullite,Al2SiO5,-2569.28,0.69,101.5,4.987,123.708387643029
Aluminosilicates,fctd,Fe-chloritoid,FeAl2SiO5(OH)2,-3208.31,0.8,167,6.98,188.553104409454
Aluminosilicates,mctd,Mg-chloritoid,MgAl2SiO5(OH)2,-3549.31,0.75,146,6.875,185.482574333771
Aluminosilicates,mnctd,Mn-chloritoid,MnAl2SiO5(OH)2,-3336.2,1.68,166,7.175,196.317754833486
Aluminosilicates,fst,Fe-staurolite,Fe4Al18Si7.5O44(OH)4,-23755.04,6.34,1010,44.88,1273.96116205413
Aluminosilicates,mst,Mg-staurolite,Mg4Al18Si7.5O44(OH)4,-24246.42,8.6,1034,45.46,1270.7024590075
Aluminosilicates,mnst,Mn-staurolite,Mn4Al18Si7.5O44(OH)4,-25124.32,6.28,910,44.26,1250.62038233439
Aluminosilicates,tpz,hydroxy-topaz,Al2SiO4(OH)2,-2900.76,0.96,100.5,5.339,159.09304865648
