formula,Al,C,Ca,Cl,Cr,Cu,Fe,H,K,Mg,Mn,Na,Ni,O,S,Si,Ti,Zr
Al2.5Si0.5O4.75,2.5,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0.5,0,0
Al2O3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Al2Si2O5(OH)4,2,0,0,0,0,0,0,4,0,0,0,0,0,9,0,2,0,0
Al2Si4O10(OH)2,2,0,0,0,0,0,0,2,0,0,0,0,0,12,0,4,0,0
Al2Si4O10(OH)2,2,0,0,0,0,0,0,2,0,0,0,0,0,12,0,4,0,0
Al2SiO4(OH)2,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0,0
Al2SiO5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
Al2SiO5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
Al2SiO5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
Al2SiO5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
AlAlO3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
AlO(OH),1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Ca0.5AlSi2O6,1,0,0.5,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0
Ca19Mg2Al11Si18O69(OH)9,11,0,19,0,0,0,0,9,0,2,0,0,0,78,0,18,0,0
Ca2Al2Si3O10(OH)2,2,0,2,0,0,0,0,2,0,0,0,0,0,12,0,3,0,0
Ca2Al2SiO7,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
Ca2Al3Si3O12(OH),3,0,2,0,0,0,0,1,0,0,0,0,0,13,0,3,0,0
Ca2Al3Si3O12(OH),3,0,2,0,0,0,0,1,0,0,0,0,0,13,0,3,0,0
Ca2Fe2AlSi3O12(OH),1,0,2,0,0,0,2,1,0,0,0,0,0,13,0,3,0,0
Ca2Fe5Si8O22(OH)2,0,0,2,0,0,0,5,2,0,0,0,0,0,24,0,8,0,0
Ca2FeAl2Si3O12(OH),2,0,2,0,0,0,1,1,0,0,0,0,0,13,0,3,0,0
Ca2FeAlSi3O10(OH)2,1,0,2,0,0,0,1,2,0,0,0,0,0,12,0,3,0,0
Ca2Mg3Al4Si6O22(OH)2,4,0,2,0,0,0,0,2,0,3,0,0,0,24,0,6,0,0
Ca2Mg5Si8O22,0,0,2,0,0,0,0,0,0,5,0,0,0,22,0,8,0,0
Ca2MgSi2O7,0,0,2,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0
Ca2MnAl2Si3O12(OH),2,0,2,0,0,0,0,1,0,0,1,0,0,13,0,3,0,0
Ca2SiO4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
Ca3Al2Si3O12,2,0,3,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0
Ca3Fe2Si3O12,0,0,3,0,0,0,2,0,0,0,0,0,0,12,0,3,0,0
Ca3MgSi2O8,0,0,3,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0
Ca3Si2O7,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0
Ca4Al6Si6CO27,6,1,4,0,0,0,0,0,0,0,0,0,0,27,0,6,0,0
Ca4Fe6Si6O21(OH)7,0,0,4,0,0,0,6,7,0,0,0,0,0,28,0,6,0,0
Ca4FeAl5Si6O21(OH)7,5,0,4,0,0,0,1,7,0,0,0,0,0,28,0,6,0,0
Ca4MgAl5Si6O21(OH)7,5,0,4,0,0,0,0,7,0,1,0,0,0,28,0,6,0,0
Ca5Si2C2O13,0,2,5,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0
Ca5Si2CO11,0,1,5,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0
CaAl2Si2O6(OH)4,2,0,1,0,0,0,0,4,0,0,0,0,0,10,0,2,0,0
CaAl2Si2O8,2,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0
CaAl2Si4O10(OH)4,2,0,1,0,0,0,0,4,0,0,0,0,0,14,0,4,0,0
CaAl2Si4O8(OH)8,2,0,1,0,0,0,0,8,0,0,0,0,0,16,0,4,0,0
CaAl2Si7O11(OH)14,2,0,1,0,0,0,0,14,0,0,0,0,0,25,0,7,0,0
CaAl2Si7O12(OH)12,2,0,1,0,0,0,0,12,0,0,0,0,0,24,0,7,0,0
CaAl2SiO6,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0
CaAl4Si2O10(OH)2,4,0,1,0,0,0,0,2,0,0,0,0,0,12,0,2,0,0
CaCO3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CaCO3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CaFe(CO3)2,0,2,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0
CaFeSi2O6,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,2,0,0
CaMg(CO3)2,0,2,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
CaMgSi2O6,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0
CaMgSiO4,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0
CaO,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CaSi2O5,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0
CaSiO3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
CaSiO3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
CaSiO3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
CaSiO3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
CaSO4,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
CaTiSiO5,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0
Cr2O3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
Cu2O,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
