XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
H2O,[],(G),298.15,20000,-231478.9532,188.7624364,-241804.9447,27.18002319,0.013809894,197012,0,1.72973E-06,-1.38644E-09,,,,,,,
BITOVNIT,NaCa4Al9Si11O40,(C),298.15,1400,-20073190.45,1019.919363,-20914969,1336.0502,0.2873721,-34530664,0,0,0,BITOVNIT, NaCa4Al9Si11O40,Bytownit,106.604796,10.6604796,Webmineral,data for Na+Ca=1 normalized forumula
ANDESIN,Na3Ca2Al7Si13O40,(C),298.15,900,-19365238.95,1034.977342,-20203859.25,1329.98485,0.26833945,-34216940,0,0,0,ANDESIN, Na3Ca2Al7Si13O40,Andesit,86.46991179,8.646991179,Webmineral,data for Na+Ca=1 normalized forumula
OLIGOKLAS,Na4CaAl6Si14O40,(C),298.15,1400,-19044718.19,1042.506849,-19881759.21,1301.7496,0.2898819,-32188186,0,0,0,OLIGOKLAS, Na4CaAl6Si14O40,Oligoklas,95.30639967,9.530639967,Webmineral,data for Na+Ca=1 normalized forumula
LABRADOR,NaCaAl3Si5O16,(C),298.15,1400,-7806851.728,412.4852675,-8142615.636,527.55996,0.1162874,-13343770,0,0,0,LABRADOR, NaCaAl3Si5O16,Labradorit,95.57639231,9.557639231,Webmineral,data for Na0.4Ca0.6Al1.6Si2.4O8
GEHLENITE,Ca2Al2SiO7,(C),298.15,1863,-3838417.953,198.2938937,-3986393.13,275.40872,0.02790061,-7818026,0,0,0,GEHLENITE, Ca2Al2SiO7,Gehlenit,90.22371287,9.022371287,Webmineral,
GROSSULAR,Ca3Al2Si3O12,(C),298.15,1700,-6364045.25,241.3916008,-6641757.311,456.19798,0.04919208,-13138802,0,0,0,GROSSULAR, Ca3Al2Si3O12,Grossular,125.2928968,12.52928968,Webmineral,
AMORTHITE,CaAl2Si2O8,(C),298.15,1826,-4052806.244,202.4730587,-4221479.273,296.95117,0.04337771,-13532004,0,0,0,AMORTHITE, CaAl2Si2O8,Anorthit,100.892688,10.0892688,Webmineral,data probably for Na0.05Ca0.95Al1.95Si2.05O8
CaAl2SiO6,[],(C),298.15,1700,-3160138.856,144.7475517,-3291179.303,233.16042,0.02112415,-7370446,0,0,0,CaAl2SiO6, CaAl2SiO6,Kushiroit,63.42337984,6.342337984,Mineralienatlas,
AMORTHITE,CaAl2Si2O8,(L),298.15,3000,-3889634.143,134.3969335,-4150041.92,380.653,0,0,0,0,0,,,,,,,
FTORFLOGOPIT,KMg3AlSi3F2O10,(C),298.15,1670,-6113175.715,317.5241434,-6369861.73,421.89738,0.07178028,-8976718,0,0,0,FTORFLOGOPIT, KMg3AlSi3F2O10,Fluorphlogopit,148.2575778,14.82575778,Webmineral,data for average solid solution
K2Al2Si6O16,[],(C),298.15,1473,-7576642.328,476.0637197,-7900838.574,571.98342,0.07730184,-19041016,0,0,0,K2Al2Si6O16, K2Al2Si6O16,Orthoclase,109.0865633,10.90865633,Webmineral,die Daten sind fÅr die einfache Formel
KALCILIT,KAlSiO4,(C),298.15,810,-2024511.302,133.0314463,-2108228.408,123.10569,0.07261688,-2225356,0,0,0,KALCILIT, KAlSiO4,Kalsilit,60.37497219,6.037497219,Webmineral,
FTORFLOGOPIT,KMg3AlSi3F2O10,(L),298.15,2500,-5679127.707,352.7790326,-6147590.358,537.5155,0,0,0,0,0,,,,,,,
KALIOPHILITE,K2Al2Si2O6,(C),298.15,1400,-4100637.524,266.0628993,-4215619.814,239.51858,0,0,0,0,0,KALIOPHILITE,KAlSiO4,,59.69012096,5.969012096,,Kaliophilite is KAlSiO4; Formel war anders
K2Al2Si6O16,[],(L),298.15,2500,-7655574.281,238.5803601,-7975697.846,765.489,0,0,0,0,0,,,,,,,
LEUCITE,K2Al2Si4O12,(C),298.15,1400,6313720.547,368.1370218,6067032.846,328.19818,0,0,0,0,0,LEUCITE, K2Al2Si4O12,,88.67752823,8.867752823,Webmineral,die Daten sind fÅr die einfache Formel
KAlSi3O8_GLASS,[GLASS],(C),298.15,1400,-3749351.496,263.3413101,-3903903.603,259.17868,0.07178028,-5977506,0,0,0,,,,,,,
MICROCLINE,K2Al2Si6O16,(C),298.15,1473,-7576543.307,439.2533197,-7911714.574,571.98342,0.07730184,-19041016,0,0,0,MICROCLINE, K2Al2Si6O16,,108.6770577,10.86770577,Webmineral,die Daten sind fÅr die einfache Formel
ANDULARIA,K2Al2Si6O16,(C),298.15,1473,-7579417.438,468.5343197,-7905858.574,571.98342,0.07730184,-19041016,0,0,0,ANDULARIA, K2Al2Si6O16,Adular,109.0865633,10.90865633,,das sind noch die Orthoklas Daten. die Daten sind fÅr die einfache Formel
CORDIERITE,Mg2Al4Si5O18,(C),298.15,1700,-8722020.749,407.0489168,-9109724.174,626.1951,0.0911894,-20078400,0,0,0,CORDIERITE, Mg2Al4Si5O18,Cordierit ,236.3118145,23.63118145,Webmineral,
Mg2Al4Si5O18,[],(C),298.15,2000,-8721993.754,407.2646242,-9109680.022,626.1951,0.0911894,-20078400,0,0,0,Mg2Al4Si5O18, Mg2Al4Si5O18,Indialit,234.7611132,23.47611132,Webmineral,
NEFELIN-SINT.,NaAlSiO4,(C),298.15,1796,-1991789.57,124.24675,-2074764.526,27.73329,0.2953198,0,0,0,0,NEFELIN-SINT., NaAlSiO4,Nephelin,54.90310454,5.490310454,Webmineral,data probably for Na0.75K0.25Al(SiO4)
