Symbol,T(degC),P(bar),gibbs_energy(J/mol),enthalpy(J/mol),entropy(J/K/mol),volume(J/bar),heat_capacity_cp(J/K/mol)
Ag(CO3)-,250,39.7620,-462323,-622178,-57.155,-4.103,-446.770
Ag(CO3)2-3,250,39.7620,-959520,-1360314,-273.096,-12.695,-1413.411
Ag(HS)@,250,39.7620,-16624,-13949,84.760,2.780,-141.685
Ag(HS)2-,250,39.7620,-45406,-31204,199.356,3.004,-167.166
Ag(OH)2-,250,39.7620,-267556,-401345,-2.860,-3.824,-398.063
Ag+,250,39.7620,57037,116750,101.150,-0.457,17.372
Ag+2,250,39.7620,290817,253550,-120.512,-4.825,-246.853
AgCl@,250,39.7620,-102870,-77627,136.001,2.287,10.803
AgCl2-,250,39.7620,-258480,-266185,173.889,2.359,-218.476
AgCl3-2,250,39.7620,-386462,-469371,130.802,2.633,-703.470
AgCl4-3,250,39.7620,-499235,-679469,45.540,2.040,-1164.083
AgF@,250,39.7620,-226182,-216845,99.857,0.912,65.679
AgOH@,250,39.7620,-110311,-130135,82.054,0.187,7.993
Al(OH)2+,250,39.7620,-894422,-991551,-15.385,-0.620,-61.259
Al(OH)2F@,250,39.7620,-1248307,-1309659,148.028,2.463,74.240
Al(OH)2F2-,250,39.7620,-1555815,-1662648,156.116,2.602,-380.347
Al(OH)3@,250,39.7620,-1122389,-1223571,109.799,0.356,-117.941
Al(OH)4-,250,39.7620,-1337152,-1480387,162.347,2.292,-134.189
Al(OH)F2@,250,39.7620,-1332927,-1341144,211.688,1.871,63.779
Al+3,250,39.7620,-401091,-583372,-444.015,-10.328,-519.078
AlF+2,250,39.7620,-757289,-893370,-260.679,-5.584,-302.642
AlF2+,250,39.7620,-1098843,-1202772,-104.197,-0.819,-85.668
AlF3@,250,39.7620,-1423789,-1514382,16.319,3.978,127.245
AlF4-,250,39.7620,-1724397,-1871422,3.475,2.031,-319.103
AlH3SiO4+2,250,39.7620,-1791268,-1927961,36.620,-3.344,-92.651
AlOH+2,250,39.7620,-651565,-789265,-225.869,-5.406,-289.265
Au(HS)2-,250,39.7620,-45975,-35143,195.690,6.200,-481.430
Au(OH)2-,250,39.7620,-282945,-426521,-18.805,0.461,-327.455
Au+,250,39.7620,138357,202454,112.384,1.093,-16.227
Au+3,250,39.7620,489283,380038,-293.106,-8.358,-434.669
AuCl@,250,39.7620,-50247,-13797,160.320,5.860,-14.148
AuCl3-2,250,39.7620,-328763,-418806,119.921,5.032,-781.547
AuCl4-,250,39.7620,-115217,-374862,-177.784,-6.134,-412.542
AuHS@,250,39.7620,-6022,28528,148.417,6.242,-150.039
Ca(SO4)@,250,39.7620,-1309737,-1458890,-9.498,0.657,-39.021
Ca+2,250,39.7620,-536977,-561709,-98.048,-4.354,-257.434
CaCl+,250,39.7620,-692550,-707616,21.233,-0.494,-46.058
CaCl2@,250,39.7620,-818915,-829540,130.529,3.774,116.957
CaCO3@,250,39.7620,-1098509,-1212990,-16.488,-1.423,-37.524
CaF+,250,39.7620,-837975,-858825,4.396,-2.806,-31.781
CaHCO3+,250,39.7620,-1172901,-1193953,162.100,0.854,101.160
CaHSiO3+,250,39.7620,-1580365,-1668828,40.694,-1.858,-9.858
CaOH+,250,39.7620,-719758,-768050,-10.150,0.337,-148.790
CaSiO3@,250,39.7620,-1516755,-1598383,53.758,-0.201,197.180
Ce(H2PO4)+2,250,39.7620,-1802232,-1999711,-79.343,-3.426,-162.945
Ce(SO4)+,250,39.7620,-1374712,-1592419,-160.244,-1.832,-268.344
Ce+3,250,39.7620,-617474,-754268,-331.934,-9.575,-526.169
Ce+4,250,39.7620,-409033,-613699,-498.746,-13.241,-605.093
CeCl+2,250,39.7620,-790125,-829314,-44.785,-6.067,-2.758
CeCl2+,250,39.7620,-939261,-1033507,-49.219,-0.768,-201.549
CeCl3@,250,39.7620,-1057583,-1221655,-81.885,3.967,-127.087
CeF+2,250,39.7620,-960797,-1020637,-90.040,-7.583,-187.575
CeF2+,250,39.7620,-1270452,-1364160,-60.050,-4.957,-125.626
CeF3@,250,39.7620,-1548457,-1737671,-147.130,-2.933,-83.616
CeO+,250,39.7620,-816453,-883887,-68.077,0.085,-248.025
CeO2-,250,39.7620,-940267,-1067997,-50.381,-0.432,-589.618
CeO2H@,250,39.7620,-1019092,-1125591,-6.347,2.799,-308.083
CeOH+2,250,39.7620,-854738,-932412,-86.218,-1.837,-288.686
CH4@,250,39.7620,-69159,-36583,214.494,6.867,324.518
Cl-,250,39.7620,-135006,-208253,-39.265,-1.857,-492.687
ClO-,250,39.7620,-38787,-142713,-40.447,-3.665,-465.775
ClO4-,250,39.7620,-48247,-140467,158.340,2.631,-274.365
CO@,250,39.7620,-158501,-68703,231.961,4.878,320.648
CO2@,250,39.7620,-425509,-370079,226.137,5.827,273.281
CO3-2,250,39.7620,-495414,-769816,-271.542,-9.053,-1082.442
Cu(HS)2-,250,39.7620,-68152,-61830,178.940,5.535,-225.324
Cu(OH)@,250,39.7620,-162229,-120389,194.566,-0.066,228.497
Cu(OH)2-,250,39.7620,-326366,-480839,-47.758,-4.445,-452.944
Cu+,250,39.7620,32937,82359,76.130,-1.059,-47.120
Cu+2,250,39.7620,88652,52350,-124.913,-5.685,-251.502
CuCl@,250,39.7620,-137441,-100684,152.686,2.304,41.321
CuCl+,250,39.7620,-68265,-84284,14.616,-1.461,-27.799
CuCl2-,250,39.7620,-285815,-302192,151.877,2.677,-315.698
CuCl2@,250,39.7620,-206501,-228321,104.254,2.879,176.267
CuCl3-,250,39.7620,-326676,-419930,68.469,1.624,-240.548
CuCl3-2,250,39.7620,-402731,-534406,32.233,1.956,-899.193
CuCl4-2,250,39.7620,-428734,-629487,-36.277,0.512,-684.645
CuCl4-3,250,39.7620,-518745,-700136,37.950,0.805,-1166.686
CuF+,250,39.7620,-214246,-252596,-33.888,-3.864,-38.903
CuHS@,250,39.7620,-57848,7341,198.986,2.526,20.947
CuO@,250,39.7620,-74826,-152468,-70.810,-3.962,-243.677
CuO2-2,250,39.7620,-134256,-392232,-282.678,-10.704,-1044.367
CuO2H-,250,39.7620,-246586,-381201,-47.060,-1.852,-207.136
CuOH+,250,39.7620,-124200,-167663,-5.651,-2.857,-61.969
Dy(H2PO4)+2,250,39.7620,-1783182,-1989391,-94.055,-3.789,-139.602
Dy(SO4)+,250,39.7620,-1400841,-1625405,-172.821,-3.275,-260.006
Dy+3,250,39.7620,-602847,-740747,-332.698,-9.303,-491.146
DyCl+2,250,39.7620,-766856,-859780,-145.920,-5.528,-189.429
DyCl2+,250,39.7620,-916015,-1014689,-56.104,-1.096,-81.290
DyCl3@,250,39.7620,-1044530,-1192017,-48.884,3.833,3.461
DyF+2,250,39.7620,-936061,-1052648,-196.933,-7.300,-329.609
DyF2+,250,39.7620,-1265977,-1344052,-28.506,-5.202,-56.520
DyF3@,250,39.7620,-1549433,-1706779,-85.260,-3.067,46.933
DyO+,250,39.7620,-799658,-881102,-91.767,-0.343,-245.986
DyO2-,250,39.7620,-953042,-1088797,-62.697,-1.081,-574.221
DyO2H@,250,39.7620,-1010261,-1118441,-10.382,2.551,-253.262
DyOH+2,250,39.7620,-840055,-930009,-108.044,-2.214,-282.842
Er(H2PO4)+2,250,39.7620,-1783050,-2004237,-123.822,-4.179,-161.415
Er(SO4)+,250,39.7620,-1401767,-1636020,-191.390,-2.210,-271.162
Er+3,250,39.7620,-604357,-751145,-350.593,-9.608,-501.235
ErCl+2,250,39.7620,-769672,-869454,-159.935,-5.830,-205.586
ErCl2+,250,39.7620,-915490,-1031287,-89.742,-1.490,-115.487
ErCl3@,250,39.7620,-1039779,-1216593,-105.656,3.490,-45.735
ErF+2,250,39.7620,-937653,-1060170,-209.175,-7.658,-332.653
ErF2+,250,39.7620,-1267473,-1359664,-56.260,-5.565,-89.093
ErF3@,250,39.7620,-1548624,-1728009,-128.224,-3.409,-2.263
ErO+,250,39.7620,-802649,-889131,-102.377,-0.528,-243.861
ErO2-,250,39.7620,-960656,-1098967,-68.552,-1.369,-566.699
ErO2H@,250,39.7620,-1016246,-1125584,-12.453,2.433,-228.529
ErOH+2,250,39.7620,-842831,-937433,-117.914,-2.388,-280.100
Eu(H2PO4)+2,250,39.7620,-1694693,-1903538,-98.102,-3.767,-161.932
Eu(OH)+2,250,39.7620,-753705,-840539,-100.435,-2.095,-285.613
Eu(SO4)+,250,39.7620,-1312761,-1536827,-169.107,-3.185,-267.896
Eu+3,250,39.7620,-514421,-651929,-330.234,-9.256,-496.699
Eu+4,250,39.7620,122684,-91675,-514.506,-13.337,-610.848
EuCl+2,250,39.7620,-680367,-759575,-117.986,-5.634,-137.823
EuCl2+,250,39.7620,-828944,-929784,-58.529,-0.977,-123.342
EuCl3@,250,39.7620,-951247,-1121724,-90.576,3.743,-89.249
EuF+2,250,39.7620,-849862,-951977,-167.555,-7.352,-287.499
EuF2+,250,39.7620,-1163767,-1257928,-57.328,-5.228,-107.884
EuF3@,250,39.7620,-1450543,-1636069,-136.994,-3.156,-45.777
EuO+,250,39.7620,-718165,-796071,-83.368,-0.190,-246.728
EuO2-,250,39.7620,-849796,-984241,-58.507,-0.857,-580.231
EuO2H@,250,39.7620,-929866,-1030255,6.591,3.519,-165.790
EuOH+2,250,39.7620,-752177,-839012,-100.435,-2.095,-285.613
F-,250,39.7620,-270613,-375560,-105.582,-4.521,-520.524
Fe(CO3)@,250,39.7620,-626286,-777432,-94.719,-1.593,-37.016
Fe(HCO3)+,250,39.7620,-699864,-761242,76.873,-0.252,47.212
Fe+2,250,39.7620,-64956,-110161,-145.338,-5.356,-268.551
Fe+3,250,39.7620,51901,-87003,-361.681,-9.254,-478.276
FeCl+,250,39.7620,-218553,-248747,-15.838,-1.261,-57.151
FeCl+2,250,39.7620,-116009,-225793,-205.214,-5.836,-268.640
FeCl2@,250,39.7620,-355249,-304389,239.822,3.214,112.463
FeCl2+,250,39.7620,-277668,-346342,-25.825,-0.791,42.356
FeCl3@,250,39.7620,-407922,-502445,25.388,4.128,262.431
FeF+,250,39.7620,-363597,-416136,-64.333,-3.624,-74.993
FeF+2,250,39.7620,-310801,-373870,-121.700,-7.454,-230.105
FeF2+,250,39.7620,-625603,-713626,-74.372,-5.915,-88.839
FeF3@,250,39.7620,-909197,-1085231,-147.581,-3.684,14.591
FeO@,250,39.7620,-204034,-258500,-30.142,-1.537,35.087
FeO+,250,39.7620,-201405,-290405,-133.355,-5.908,-234.709
FeO2-,250,39.7620,-364695,-497657,-84.455,-3.621,-536.524
FeO2H-,250,39.7620,-387767,-533504,-72.015,-5.869,-394.412
FeO2H@,250,39.7620,-425896,-524034,-17.886,1.012,-155.108
FeOH+,250,39.7620,-268350,-320027,-24.774,-3.150,-71.452
FeOH+2,250,39.7620,-215173,-310918,-146.248,-5.647,-269.319
Gd(H2PO4)+2,250,39.7620,-1789529,-1981250,-70.412,-3.516,-148.627
Gd(SO4)+,250,39.7620,-1363366,-1576163,-153.097,-3.083,-260.305
Gd+3,250,39.7620,-607249,-733261,-313.399,-9.178,-496.076
GdCl+2,250,39.7620,-771644,-851282,-124.342,-5.331,-189.254
GdCl2+,250,39.7620,-921164,-1010778,-42.604,-0.791,-110.761
GdCl3@,250,39.7620,-1048535,-1195233,-50.671,3.877,-76.004
GdF+2,250,39.7620,-941481,-1034415,-155.540,-7.166,-284.231
GdF2+,250,39.7620,-1264102,-1346994,-41.210,-5.055,-96.561
GdF3@,250,39.7620,-1545456,-1716816,-115.085,-3.023,-32.531
GdO+,250,39.7620,-804093,-871702,-68.965,0.074,-248.179
GdO2-,250,39.7620,-952262,-1079786,-50.623,-0.454,-589.040
GdO2H@,250,39.7620,-1011429,-1115517,-6.452,2.799,-306.298
GdOH+2,250,39.7620,-844992,-921805,-86.563,-1.848,-287.921
H+,250,39.7620,0,0,0.000,0.000,0.000
H2@,250,39.7620,-5590,32220,146.797,5.071,249.761
H2O@,250,39.7620,-258113,-268161,113.638,2.255,87.737
H2O2@,250,39.7620,-169861,-177021,177.588,4.220,114.687
H2P2O7-2,250,39.7620,-2046735,-2302845,116.895,-1.829,-703.619
H2PO2-,250,39.7620,-532072,-633279,58.351,-0.899,-369.640
H2PO3-,250,39.7620,-876637,-979366,113.955,-1.411,-311.074
H2PO4-,250,39.7620,-1147765,-1316207,46.877,0.017,-377.637
H2S@,250,39.7620,-66862,-2357,213.453,4.044,177.121
H2S2O3@,250,39.7620,-585398,-601023,256.585,5.714,216.842
H2S2O4@,250,39.7620,-674474,-697211,301.280,6.976,274.614
H3P2O7-,250,39.7620,-2078746,-2261486,256.164,3.322,-150.423
H3PO2@,250,39.7620,-562559,-591733,196.176,4.613,138.719
H3PO3@,250,39.7620,-904952,-938587,246.012,3.164,203.102
H3PO4@,250,39.7620,-1184813,-1264687,216.411,5.984,163.390
H4P2O7@,250,39.7620,-2107104,-2215090,398.067,8.127,399.707
HCl@,250,39.7620,-139757,-137997,104.171,4.170,192.264
HClO@,250,39.7620,-115102,-107499,173.748,3.724,109.703
HCO3-,250,39.7620,-605545,-711095,51.356,-1.574,-376.913
HF@,250,39.7620,-325122,-308013,127.729,1.495,60.326
HF2-,250,39.7620,-596565,-692770,6.153,-0.957,-442.966
HMoO4-,250,39.7620,-899203,-987637,155.606,1.429,-248.904
Ho(H2PO4)+2,250,39.7620,-1795382,-2001556,-94.091,-3.858,-146.466
Ho(SO4)+,250,39.7620,-1412240,-1636794,-171.457,-3.250,-262.936
Ho+3,250,39.7620,-614638,-752266,-331.772,-9.419,-496.379
HO2-,250,39.7620,-63070,-202895,-75.895,-3.593,-502.239
HoCl+2,250,39.7620,-779723,-866386,-133.651,-5.643,-168.614
HoCl2+,250,39.7620,-927888,-1027879,-58.318,-1.162,-95.775
HoCl3@,250,39.7620,-1054981,-1208876,-60.841,3.699,-26.812
HoF+2,250,39.7620,-948594,-1059363,-185.509,-7.383,-317.016
HoF2+,250,39.7620,-1277189,-1359783,-37.314,-5.303,-73.274
HoF3@,250,39.7620,-1559778,-1725730,-101.401,-3.201,16.659
HoO+,250,39.7620,-812324,-891921,-88.177,-0.284,-246.451
HoO2-,250,39.7620,-965045,-1100082,-61.181,-0.990,-577.107
HoO2H@,250,39.7620,-1023861,-1131799,-9.780,2.584,-261.422
HoOH+2,250,39.7620,-852622,-941039,-104.963,-2.161,-284.149
HP2O7-3,250,39.7620,-1969391,-2357613,-137.622,-8.044,-1344.570
HPO3-2,250,39.7620,-802446,-1036984,-138.068,-7.560,-951.082
HPO4-2,250,39.7620,-1064433,-1373698,-222.305,-7.829,-1025.656
HS-,250,39.7620,3483,-49851,-9.417,-1.419,-456.827
HS2O3-,250,39.7620,-560558,-655332,105.106,0.137,-320.633
HS2O4-,250,39.7620,-650866,-753078,149.184,1.502,-272.579
HSiO3-,250,39.7620,-1016028,-1170340,-34.404,-3.326,-433.136
HSnO2-,250,39.7620,-404660,-557880,-72.123,-2.246,-512.575
HSO3-,250,39.7620,-557820,-640168,110.504,0.653,-322.294
HSO4-,250,39.7620,-783990,-899429,105.760,0.732,-317.760
HSO5-,250,39.7620,-692490,-760996,253.953,3.159,-152.981
HWO4-,250,39.7620,-969502,-1060667,152.861,1.402,-248.691
K(HSO4)@,250,39.7620,-1083428,-1076950,335.476,5.937,171.968
K(SO4)-,250,39.7620,-1061565,-1178646,102.307,0.120,-340.581
K+,250,39.7620,-300496,-244659,106.355,0.671,-23.374
KAlO2@,250,39.7620,-1134665,-1141348,157.125,3.647,26.307
KCl@,250,39.7620,-442513,-407757,166.866,2.784,-99.344
KCO3-,250,39.7620,-820782,-953838,-1.597,-2.533,-439.942
KHCO3@,250,39.7620,-917168,-906225,273.654,4.909,120.270
KOH@,250,39.7620,-454900,-466017,111.305,1.169,-10.021
La(H2PO4)+2,250,39.7620,-1809216,-2009639,-93.625,-3.407,-163.055
La(SO4)+,250,39.7620,-1421884,-1649305,-187.351,-1.870,-295.679
La+3,250,39.7620,-627157,-755060,-323.695,-8.654,-479.633
LaCl+2,250,39.7620,-796052,-847079,-76.018,-5.423,-46.155
LaCl2+,250,39.7620,-948148,-1026149,-26.772,-0.383,-113.522
LaCl3@,250,39.7620,-1064290,-1227839,-89.518,4.146,-100.597
LaF+2,250,39.7620,-966446,-1026290,-98.653,-7.024,-165.492
LaF2+,250,39.7620,-1276628,-1365075,-58.520,-4.849,-113.442
LaF3@,250,39.7620,-1553671,-1734736,-140.956,-2.754,-57.125
LaO+,250,39.7620,-813458,-882958,-79.162,-0.111,-246.854
LaO2-,250,39.7620,-936124,-1063057,-56.065,-0.753,-582.412
LaO2H@,250,39.7620,-1017091,-1118894,-8.098,2.680,-281.565
LaOH+2,250,39.7620,-860735,-939309,-96.511,-2.029,-286.063
Lu(H2PO4)+2,250,39.7620,-1776180,-2002688,-146.686,-4.598,-158.366
Lu(SO4)+,250,39.7620,-1394918,-1633595,-212.304,-3.526,-272.878
Lu+3,250,39.7620,-598016,-747960,-369.099,-9.900,-502.005
LuCl+2,250,39.7620,-754044,-900416,-261.657,-6.077,-362.278
LuCl2+,250,39.7620,-905448,-1031540,-122.083,-1.993,-110.704
LuCl3@,250,39.7620,-1028231,-1204545,-117.390,3.193,-2.221
LuF+2,250,39.7620,-930546,-1060594,-236.233,-7.993,-355.161
LuF2+,250,39.7620,-1265413,-1349811,-53.554,-5.909,-67.932
LuF3@,250,39.7620,-1547445,-1714513,-117.362,-3.707,41.250
LuO+,250,39.7620,-799139,-889090,-121.698,-0.883,-239.800
LuO2-,250,39.7620,-958068,-1094887,-78.296,-1.874,-549.231
LuO2H@,250,39.7620,-1013200,-1117598,-15.770,2.228,-183.653
LuOH+2,250,39.7620,-836774,-934036,-135.614,-2.703,-274.306
Mg+2,250,39.7620,-423266,-482586,-169.248,-5.419,-259.409
MgCl+,250,39.7620,-579496,-628591,-48.895,-1.462,-61.515
MgCl2@,250,39.7620,-703781,-744764,67.416,3.300,142.094
MgCO3@,250,39.7620,-973224,-1148068,-136.956,-1.819,-45.527
MgF+,250,39.7620,-725134,-780233,-66.208,-3.721,-37.036
MgHCO3+,250,39.7620,-1057689,-1121696,74.906,-0.200,56.020
MgHSiO3+,250,39.7620,-1462914,-1595833,-49.369,-2.892,-36.077
MgOH+,250,39.7620,-617828,-671937,-26.353,-1.342,-42.182
MgSiO3@,250,39.7620,-1403604,-1514525,-7.321,-0.630,278.949
MgSO4@,250,39.7620,-1194967,-1378744,-80.447,0.380,-20.275
MoO4-2,250,39.7620,-832401,-1068790,-127.284,-5.403,-957.259
Na(SO4)-,250,39.7620,-1031925,-1163385,67.409,0.149,-360.524
Na+,250,39.7620,-272485,-226011,80.831,-0.557,-12.836
NaAl(OH)2F2@,250,39.7620,-1815790,-1691579,589.754,4.710,86.123
NaAl(OH)3F@,250,39.7620,-1743319,-1761013,356.411,5.313,96.329
