Symbol,Name,Composition,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
B(OH)3(aq),B(OH)3(aq),B(OH)3(aq),-969.268,,-1072.8,,162.4,,,
Br-,Br-,Br-,-103.85,,-121.41,,82.55,,,
Cl-,Cl-,Cl-,-131.217,,-167.08,,56.6,,,
Cs+,Cs+,Cs+,-291.456,,-258,,132.1,,,
e-,e-,-,0,,0,,65.34,,14.418,
F-,F-,F-,-281.523,,-335.35,,-13.8,,,
H+,H+,H+,0,,0,,0,,0,
H2O(l),H2O(l),H2O(l),-237.14,,-285.83,,69.95,,75.351,
HAsO4-2,HAsO4-2,HAsO4-2,-714.592,,-906.34,,-1.7,,,
HCO3-,HCO3-,HCO3-,-586.875,,-690.215,,98.4,,,
HPO4-2,HPO4-2,HPO4-2,-1095.985,,-1299,,-33.5,,,
I-,I-,I-,-51.724,,-56.78,,106.45,,,
NO3-,NO3-,NO3-,-110.794,,-206.85,,146.7,,,
SO4-2,SO4-2,SO4-2,-744.004,,-909.34,,18.5,,,
