#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
1,Ag(aq),1,Ag(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
26,Ag(CN)2-,27,Ag(CN)2-,0,,0,,0,,,,0.23,0.1,,,0,,0,
27,Ag(CN)3-2,28,Ag(CN)3-2,0,,0,,0,,,,0.3,0.2,,,0,,0,
21,Ag(HS)2-,22,Ag(HS)2-,0,,0,,0,,,,0.1,,,,0,,0,
3,Ag(OH)2-,4,Ag(OH)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
28,Ag(OH)CN-,29,Ag(OH)CN-,0,,0,,0,,,,0.05,0.12,,,0,,0,
29,Ag(SeCN)3-2,30,Ag(SeCN)3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
,Ag+,2,Ag+,0,0.01,0,0.01,,,0,,0,,0,,0,,0,
22,Ag2S(HS)2-2,23,Ag2S(HS)2-2,0,,0,,0,,,,0.1,,,,0,,0,
25,Ag2Se(aq),26,Ag2Se(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
9,AgBr(aq),10,AgBr(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
10,AgBr2-,11,AgBr2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
11,AgBr3-2,12,AgBr3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
12,AgBr4-3,13,AgBr4-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
5,AgCl(aq),6,AgCl(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
6,AgCl2-,7,AgCl2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
7,AgCl3-2,8,AgCl3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
8,AgCl4-3,9,AgCl4-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
17,AgCO3-,18,AgCO3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
4,AgF(aq),5,AgF(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
18,AgHPO4-,19,AgHPO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
20,AgHS(aq),21,AgHS(aq),0,,0,,0,,0,,0,,0,,0,,0,
13,AgI(aq),14,AgI(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
14,AgI2-,15,AgI2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
15,AgI3-2,16,AgI3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
16,AgI4-3,17,AgI4-3,0,,0,,0,,,,-0.15,0.1,,,0,,0,
2,AgOH(aq),3,AgOH(aq),0,,0,,0,,0,,0,,0,,0,0.1,0,0.1
24,AgSeO3-,25,AgSeO3-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
23,AgSeO4-,24,AgSeO4-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
19,AgSO4-,20,AgSO4-,0,,0,,0,,,,-0.11,0.09,,,0,,0,
